	Title	Location	Company	Salary	Synopsis	origin	mean_annual_salary
0	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Abilene	170000.0
1	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.	Abilene	145000.0
2	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.	Abilene	125491.0
3	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…	Abilene	262000.0
4	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.	Abilene	183000.0
5	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.	Abilene	110000.0
6	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Abilene	66560.0
7	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…	Abilene	137500.5
8	Data Scientist	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$4,089 a week	Selects features for data mining, which may include building and optimizing classifiers using machine-learning techniques; explores, examines, and extracts data…	Albuquerque	198316.5
9	Biological Sciences Bureau Data Scientist	Albuquerque, NM	State of New Mexico	$35,253 - $61,340 a year	Work is performed both at computers to analyze data, research methods, write reports and procedures and in the laboratory, both BSL2 and BSL3.	Albuquerque	48296.5
10	Senior Data Scientist at Rent-to-Own Startup	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	Albuquerque	155000.0
11	Head of Machine Learning - Document Analysis and NLP	Remote in Albuquerque, NM 87105+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…	Albuquerque	170000.0
12	Statistician	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$2,964 - $4,078 a month	The qualified candidate should have in-depth knowledge of and experience with: behavioral health and human services-related research and evaluation;…	Albuquerque	42252.0
13	Data Plane Engineer	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	Albuquerque	170000.0
14	Sr Statistician	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$3,553 - $5,151 a month	The qualified candidate should have in-depth knowledge of and experience with: behavioral health and human services-related research and statistics;…	Albuquerque	52224.0
15	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.	Albuquerque	125491.0
16	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Albuquerque	151000.0
17	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.	Albuquerque	110000.0
18	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Albuquerque	66560.0
19	Principal ML & NLP Engineer	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	Albuquerque	170000.0
20	Data Scientist	Albuquerque, NM 87106 (University Hts area)+2 locations	University of New Mexico	$4,089 a week	Selects features for data mining, which may include building and optimizing classifiers using machine-learning techniques; explores, examines, and extracts data…	Albuquerque	198316.5
21	Senior Data Scientist at Rent-to-Own Startup	Remote in Albuquerque, NM 87105+5 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	Albuquerque	155000.0
22	Senior Data Scientist/Machine Learning Engineer	Remote in Albuquerque, NM 87105+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	Albuquerque	170000.0
23	Machine Learning Engineer, Platform	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	Albuquerque	170000.0
24	ML Engineer at Sleep Startup	Remote in Albuquerque, NM 87105+1 location	Recruiting From Scratch	$180,000 - $250,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	Albuquerque	215000.0
25	Head of Machine Learning - Document Analysis and NLP	Remote in Albuquerque, NM 87105+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…	Albuquerque	170000.0
26	Senior Data Scientist	Remote in Washington, DC 20001	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.	Alexandria	160000.0
27	Principal Data Scientist	Dulles, VA 20166	Global Wireless Solutions, Inc.	$140,000 - $150,000 a year	Strong trend analysis, data weighting/extrapolation, bias reduction, data aggregation techniques, and automation skills are required.	Alexandria	145000.0
28	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Experience organizing and analyzing data sets using data analytical tools, and creating and implementing data collection and analysis tools, utilizing…	Alexandria	86190.0
29	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.	Alexandria	112100.0
