	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Charlottesville, VA 22902+2 locations	S&P Global	None	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
1	9070 - Intelligence Data Scientist*	Charlottesville, VA 22911	Integral	 $101K - $128K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
2	Bioinformatics Data Scientist	Charlottesville, VA 22911	Signature Science, LLC	None	A bioinformatics data scientist is responsible for providing experimental design consulting and data analysis for large, high-throughput genomic experiments,…
3	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	 $115K - $146K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
4	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	 $127K - $161K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
5	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	 $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
6	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	 $107K - $135K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
7	Senior HR Workday Business/Data Analyst	Hybrid remote in Charlottesville, VA	The Rector & Visitors of the University of...	None	This position requires advanced Workday expertise and strong functional understanding of the data architecture within Workday.
8	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	 $125K - $158K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
9	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	 $94.1K - $119K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
10	School of Data Science Director of Development	Hybrid remote in Ivy, VA	The Rector & Visitors of the University of...	None	SDS crosses disciplines, departments, schools and colleges to leverage UVA’s combined capabilities in data science and to create meaningful partnerships with…
11	Data Scientist - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	 $83.2K - $105K a year	Understand and design the data flow.Experience analyzing data from multiple sensors and fusing together to generate system assessments.
12	Data Scientist - Defense & Intelligence	Charlottesville, VA 22903 (Downtown area)	Elder Research Inc	 $105K - $132K a year	Knowledge and experience in data wrangling, advanced statistical data analysis and modeling.3+ years of experience in a data science role.
13	Senior Data Scientist	Charlottesville, VA 22903	Luna Labs USA LLC	 $120K - $151K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
14	Data and Machine Learning Specialist	Charlottesville, VA 22910	Catalytic Data Science	 $101K - $127K a year	A self-motivated data scientist with machine learning (ML) experience.Extensive experience applying ML techniques to large scale genomics and/or high…
15	Data Scientist	Charlottesville, VA 22902	CCRi	None	As a data scientist, your technical responsibilities will include design, research, and development.Experience with geospatial data and analytics.
16	Principal Machine Learning Engineer	Remote in Charlottesville, VA 22902	SafeGuard Cyber	 $161K - $204K a year	By securing new communication channels, our customers can focus on driving growth and revenue.We are looking for an experienced Principal Machine Learning…
17	Software Engineer Machine Learning / Signal Processing (All...	Madison, VA 22727	ARiA	 $94K - $119K a year	Using deep learning to understand the relevant physical features in acoustic scattering data for use in a project on remediating underwater sites contaminated…
18	Senior Data Scientist	Charlottesville, VA	CCRi	None	Multiple years of experience as a data scientist, machine learning engineer, or similar role.Experience with geospatial data and analytics.
19	Machine Learning Engineer	Charlottesville, VA 22902	CCRi	None	Experience with geospatial data and analytics.Curious: You enjoy peeling apart a problem and examining the interrelationships between data and how they can be…
20	Mid-level Data Scientist	Charlottesville, VA+1 location	Lightstorm Research	 $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
21	Mid Data Scientist	Charlottesville, VA 22911+2 locations	Prescient Edge Federal	 $94.1K - $119K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
22	Data Engineer - Data Science Platforms & Infrastructure	Charlottesville, VA 22902	S&P Global	None	Working with our data scientists to turn large-scale messy, diverse, and often unstructured data into a source of meaningful insights for our customers.
23	Senior Financial Analyst, Technology and Data Science	Charlottesville, VA 22902	S&P Global	None	The Role: Senior Financial Analyst, Technology and Data Science.The Impact: This role will be a key member of the finance team supporting the S&P Global Market…
24	Senior Data Scientist	Charlottesville, VA 22903+1 location	Luna Labs USA LLC	 $120K - $151K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
25	Data Scientist	Charlottesville, VA 22902+2 locations	CCRi	None	As a data scientist, your technical responsibilities will include design, research, and development.Experience with geospatial data and analytics.
26	R&D Scientist/Engineer (All Locations)	Madison, VA 22727	ARiA	 $103K - $130K a year	Coordination with ARiA scientists and engineers in the development of algorithms and software products.Using deep learning to understand the relevant physical…
27	Director, West Coast Activities	Charlottesville, VA 22903 (BRSC area)	Focused Ultrasound Foundation	 $75.5K - $95.5K a year	Ability to analyze data, think critically; demonstrated problem solving skills.This individual will be responsible for cultivating and stewarding high-level…
28	IT Project Manager - (US - Remote)	Remote in Charlottesville, VA 22902	OpenSource Connections	 $87.3K - $111K a year	Leading the initiation, planning, execution, monitoring, and closing of multiple projects varying in scope between 3-24 months and 1-5 OSC engineers and data…
29	Cyber Security Software Engineer	Charlottesville, VA 22903	Luna Labs USA LLC	 $99.3K - $126K a year	The Performance Systems and Analytics (PSA) Group of Luna Labs strives to provide our customers with decision-ready analytics from previously inaccessible data.
30	Front End Engineer	Charlottesville, VA 22910	Catalytic Data Science	 $114K - $144K a year	The ideal candidate would have experience designing and developing microservice-based enterprise software.JavaScript React library and Redux state container.
31	Software Developer	Charlottesville, VA 22902 (Downtown area)	Silverchair Science and Communications	 $83K - $105K a year	Expert understanding of Object-Oriented design, data structures, and algorithms.What that really means is we use and create advanced technologies to connect…
32	GIS Application Developer / Analyst, New Markets	Remote in Charlottesville, VA 22902	Apex Clean Energy	 $91K - $115K a year	Comfortable with open-source tools for geospatial data science (Jupyter Notebook, GeoPandas, pyproj, Shapely, GDAL, GRASS, RasterIO, PostgreSQL, Plotly / Dash).
33	Associate Engineer - Materials and Mechanical Engineering	Charlottesville, VA 22903	Luna Labs USA LLC	 $68.2K - $86.4K a year	O LabVIEW for data acquisition and visualization.O Python or MATLAB for simulations and data processing.Record, process, and interpret raw data and contribute…
34	Mechanical Engineer - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	 $86.5K - $110K a year	Post process and analyze data.Set up, run experiments or tests, and collect data.An ideal candidate would have a strong Mechanical Engineering background with…
35	Electronics Engineer - Digital Back End (4653) - UPDATED	Charlottesville, VA 22903	Associated Universities, Inc.	 $105K - $133K a year	The successful candidate will be responsible for managing the effort of a small, motivated engineering team, with responsibility for delivering the hardware to…
36	Software Engineer IV (4709)	Charlottesville, VA 22903	Associated Universities, Inc.	 $103K - $131K a year	Planning skills and appropriate management of a team of expert developers and scientists are essential.The NA ALMA Software Group is responsible for the data…
37	Senior Frontend Engineer - UI/UX Development and Design	Charlottesville, VA	CCRi	None	Use data visualization tools/toolkits such as d3 or similar libraries.This requires a keen focus on creating powerful user-interfaces that enable all of the…
38	Frontend Software Engineer - UI/UX Development and Design	Charlottesville, VA 22901 (29 North area)	CCRi	None	Use data visualization tools/toolkits such as d3 or similar libraries.This requires a keen focus on keeping the interface intuitive while still enabling all of…
39	Firmware Engineer - Embedded Systems & Wireless Radios	Charlottesville, VA 22903	Luna Labs USA LLC	 $73.6K - $93.2K a year	Candidates should be comfortable working independently or with minimal guidance in the lab and development environment; able to help develop requirements and…
