	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Albuquerque, NM+1 location	Laulima Government Services	Estimated $106K - $134K a year	5+ years relevant experience working on AI/ML/data science products.Develop data models for the repository/Data Lake to support machine learning/articifical…
1	Data Scientist	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$4,089 a week	Selects features for data mining, which may include building and optimizing classifiers using machine-learning techniques; explores, examines, and extracts data…
2	Biological Sciences Bureau Data Scientist	Albuquerque, NM	State of New Mexico	$35,253 - $61,340 a year	Work is performed both at computers to analyze data, research methods, write reports and procedures and in the laboratory, both BSL2 and BSL3.
3	Senior Data Scientist at Rent-to-Own Startup	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
4	Sr. Data Scientist	Albuquerque, NM	Alaka`ina Foundation Family of Companies	Estimated $119K - $151K a year	5+ years relevant experience working on AI/ML/data science products.Develop data models for the repository/Data Lake to support machine learning/articifical…
5	Machine Learning Algorithm Developer	Albuquerque, NM 87110 (Uptown area)	Verus Research	None	Demonstrated experience in storing, processing, manipulating, and analyzing large quantities of data.The Machine Learning Algorithm Developer will make…
6	Vice President Data Insights	Albuquerque, NM 87111 (Cielito Lindo area)	Sandia Laboratory Federal Credit Union	Estimated $102K - $129K a year	Builds and manages a team of cross-functional data analysts, data scientists, data engineers and data architects.
7	Head of Machine Learning - Document Analysis and NLP	Remote in Albuquerque, NM 87105+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
8	Applied Mathematician/Machine Learning Specialist	Kirtland AFB, NM 87117	BlueHalo	Estimated $79.9K - $101K a year	A qualified applicant will be required to participate in the formulation of analytical and machine learning solutions to complex data problems by creating…
9	Statistician	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$2,964 - $4,078 a month	The qualified candidate should have in-depth knowledge of and experience with: behavioral health and human services-related research and evaluation;…
10	Machine Learning Scientist II	Albuquerque, NM 87123	Encantado Technical Solutions	Estimated $104K - $132K a year	Provide IT support to the Applied Machine Intelligence department which produces state-of-the-art technologies and expertise in machine learning, deep learning…
11	Data Plane Engineer	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
12	Machine Learning/Computer Vision Software Lead	Albuquerque, NM 87123	The AEgis Technologies Group	Estimated $85.2K - $108K a year	A solid background in algorithms and data science.Capability to apply data science skills within Matlab or Python frameworks to quickly develop, train, and…
13	Sr Statistician	Albuquerque, NM 87106 (University Hts area)	University of New Mexico	$3,553 - $5,151 a month	The qualified candidate should have in-depth knowledge of and experience with: behavioral health and human services-related research and statistics;…
14	NLP Engineer at Speech to Text Start Up	Remote in Albuquerque, NM 87105	Recruiting From Scratch	Estimated $122K - $154K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
15	Machine Learning Scientist II	Albuquerque, NM 87123	Edgewater Federal Solutions, Inc.	Estimated $80K - $101K a year	The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment,…
16	Kubernetes and Docker Cloud Developer	Remote in Albuquerque, NM	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
17	Sr. Data Architect	Albuquerque, NM	Alaka`ina Foundation Family of Companies	Estimated $130K - $164K a year	Experience building and working with data pipelines and large data sets.Experience with schema design and data modeling.The Sr Data Architect will answer:
18	Machine Learning Engineer II	Albuquerque, NM 87123	Encantado Technical Solutions	Estimated $96.4K - $122K a year	Provide IT support to the Applied Machine Intelligence department which produces state-of-the-art technologies and expertise in machine learning, deep learning…
19	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
20	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
21	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
22	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
23	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
24	Machine Learning Engineer II	Albuquerque, NM 87123	Edgewater Federal Solutions, Inc.	Estimated $96.4K - $122K a year	The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment,…
25	Principal ML & NLP Engineer	Remote in Albuquerque, NM 87105	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
26	Data Scientist	Albuquerque, NM 87106 (University Hts area)+2 locations	University of New Mexico	$4,089 a week	Selects features for data mining, which may include building and optimizing classifiers using machine-learning techniques; explores, examines, and extracts data…
