	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist	Remote in Washington, DC 20001	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
1	Data Scientist	Remote in McLean, VA	SYNTASA	Estimated $97.9K - $124K a year	Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches.
2	Data Scientist	Remote in Arlington County, VA	Pluribus Digital	Estimated $122K - $154K a year	Provide and support large-scale file manipulation, data modeling, data mapping, data testing, data quality, and documentation preparation.
3	Senior Data Scientist	Remote in Arlington, VA	Storyblocks	Estimated $128K - $162K a year	We value data scientists who think critically and effectively weigh the benefits of machine learning implementations to deliver maximum value.
4	Early career data scientist / analyst / statistical genetici...	Washington, DC	Data Tecnica	None	This will focus on running and refining standard analysis, data management and data visualization workflows.Scope of research: Supporting cloud based analysis…
5	Data Scientist	Chantilly, VA 20151+1 location	Dezign Concepts LLC	Estimated $135K - $171K a year	Demonstrated experience ETLing data into common data models utilizing common data engineering services.Demonstrated experience designing and building data…
6	Principal Data Scientist	Dulles, VA 20166	Global Wireless Solutions, Inc.	$140,000 - $150,000 a year	Strong trend analysis, data weighting/extrapolation, bias reduction, data aggregation techniques, and automation skills are required.
7	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Experience organizing and analyzing data sets using data analytical tools, and creating and implementing data collection and analysis tools, utilizing…
8	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
9	Data Scientist	McLean, VA	Avantus Federal	Estimated $115K - $146K a year	The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical.
10	Data Scientist	Chantilly, VA 20151	CEQUAL Solutions, INC	$125,000 - $160,000 a year	Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.
11	Data Scientist (Junior)	Springfield, VA+1 location	Allen Integrated Solutions	Estimated $74K - $93.8K a year	Demonstrated experience developing descriptive, predictive, or prescriptive analytics to sense-make structured and unstructured data.
12	Data Scientist	Arlington, VA 22209 (North Rosslyn area)	Synectics for Management Decisions Inc	Estimated $96.8K - $123K a year	Design time forecasting models to improve the existing division summary and director division dashboards using scripting languages Python/R.
13	Data Analyst (Scientist)	Washington, DC	Aurotech, Inc.	Estimated $105K - $133K a year	Independently using data to answer questions.Using methods of exploratory data analysis and.Demonstrating ability to identify when data is insufficient.
14	Data Scientist - Remote Opportunity	Remote in Sterling, VA 20166	Gravy Analytics	Estimated $102K - $130K a year	Demonstrated experience with production data, ability to access data and use data extracts, ability to construct and manipulate large data sets of structured…
15	Junior Data Scientist	Alexandria, VA 22310	CALIBRE Systems, Inc.	Estimated $60.3K - $76.3K a year	Integrate data sources into our data warehouse.Ability to proficiently write at least one scripting language in order to retrieve data from a source,…
16	Data Scientist Associate	Arlington, VA 22202 (Aurora Highlands area)	American Institutes for Research	None	Develop systems for maintaining and checking the accuracy of data for assigned projects.Support efforts to collect, compile, validate, interpret, and analyze…
17	Data Scientist	Temporarily Remote in Washington, DC	U.S. Mint	$106,823 - $138,868 a year	Develop algorithms that extract, transform, and load data from operational data stores into data marts and/or a data warehouse, develop the algorithms that…
18	Senior Data Scientist	Remote in Arlington, VA	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…
19	Data Scientist (Remote)	Remote in Alexandria, VA+1 location	Steel Point Solutions L	Estimated $124K - $157K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
20	Data Scientist	Arlington, VA	Sophinea Corporation	Estimated $89K - $113K a year	Experience consolidating information from various data sources.Gain a deep understanding of key business and data requirements to design and develop dashboards…
21	Data Scientist (Remote)	Remote in Washington, DC 20005	BlueLabs	$75,000 a year	Collaborate with engineers, data scientists, program managers and external stakeholders to troubleshoot problems and proactively create solutions.
22	Data Scientist	Reston, VA	ISE Data Systems	Estimated $88.8K - $112K a year	Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s…
23	Data Scientist	Remote in McLean, VA	xScion® is hiring!	Estimated $123K - $156K a year	To manipulate data and drawing insights from large data sets.Develop custom data models and algorithms to apply to data sets.
24	Senior Data Scientist	Washington, DC	MissionWired	$85,000 - $135,000 a year	Experience managing data warehouses and/or data lakes;Ability to build and optimize data pipelines, architectures, and data sets;
25	Data Scientist	McLean, VA 22102	courtney.swan@trssllc.com	Estimated $98.1K - $124K a year	Exploring existing data for insights, and recommends additional sources of data for improvement.Working with interdisciplinary engineering and research teams…
26	Data Scientist (Remote)	Remote in Reston, VA 20190	Improvix Technologies	Estimated $107K - $135K a year	Strong data visualization skills (Tableau preferred).Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the…
27	Data Scientist I	McLean, VA 22102	Iridium Satellite, LLC	Estimated $52.6K - $66.6K a year	Assist with mining data from primary and secondary sources and reorganizing data into formats that can be easily read by either human or machine.
28	Data Scientist (ALL LEVELS)	Remote in Reston, VA 20191+2 locations	Noblis	Estimated $108K - $137K a year	The data scientist will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object…
29	Data Scientist	Washington, DC 20591 (Southwest Federal Center area)	US Federal Aviation Administration	$112,187 - $173,922 a year	Identifies risks in the NAS through the use of data sets, such as voice data, track data, incident/accident data, maps, etc.
30	Data Scientist /Data Engineer /AIML Engineer	Falls Church, VA	NNData	Estimated $113K - $142K a year	Assists to design and build relational databases for data storage or processing.Cleans and maintains the database by removing and deleting old data.
31	Data Scientist	McLean, VA+3 locations	Coverent	Estimated $100K - $127K a year	Experience extracting insights from social media data using data analysis techniques.General understanding of data coding, data integrity, and statistical…
32	Lead Data Scientist	Arlington, VA 22209 (North Rosslyn area)	Redhorse	Estimated $126K - $160K a year	Manage a Data Science delivery team of one data scientist and two data analysts performing work on the government-provided PANDA platform.
33	Data Scientist	Springfield, VA+3 locations	Accenture Federal Services	Up to $10,000 a month	Explores data sets and verifies data quality to gain an understanding of relevant data, then identifies differences in data distribution that could affect…
34	Data Scientist	Arlington, VA 22202 (Aurora Highlands area)	Areté	Estimated $89K - $113K a year	Mathematical ability and experience with physical data;Train deep neural network (DNN) and feature-based algorithms for classification and regression on…
35	Senior Data Scientist	Herndon, VA	Wärtsilä	Estimated $136K - $172K a year	Turn data models and algorithms into software and evaluate model effectiveness by conducting tests on large sets of historical data.
36	Data Scientist - Level I	Arlington, VA 22209 (North Rosslyn area)+2 locations	Redhorse	Estimated $73.1K - $92.5K a year	Experience in an ML engineer or data scientist role building ML models.Experience with integrated development environments, data integration, data…
37	Data Scientist	Washington, DC 20005 (Downtown area)	Ardent	Estimated $97.4K - $123K a year	Contribute technical input to data standardization and data governance processes and policies.We are seeking a Data Scientist to create AI/ML models and assist…
38	Data Scientist	Falls Church, VA 22042	Core Interface Corporation	Estimated $89.5K - $113K a year	Working with large, complex, and disparate data sets.Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation.
39	Data Analyst Senior	McLean, VA 22102	Employment Enterprises	$60 an hour	Analyze data quality issues: profiling, analyzing, identifying proper data sources using SQL.Move product towards desired end state by gaining an understanding…
40	Data Scientist	McLean, VA	Byte Systems	Estimated $158K - $200K a year	(Desired) Demonstrated experience enabling effective data discovery and data integration to support analysis from diverse sources.
41	Senior Data Analyst	Arlington, VA 22203 (Ashton Heights area)	OTHSolutions	$140,000 - $160,000 a year	In-depth understanding of data modeling methodologies, database optimization, data mining and segmentation techniques.Data analytics: 10 years (Required).
42	Data Scientist	McLean, VA	Cognitio	Estimated $125K - $158K a year	Experience working with data manipulation, analytic/business insight tools, and data visualization experience.
43	Data Scientist	Washington, DC	RIVA Solutions, Inc.	Estimated $98.2K - $124K a year	Ability to identify, retrieve, manipulate, relate and exploit multiple structured and unstructured data sets from various sources, including building or…
44	Data Scientist	Washington, DC 20001 (Shaw area)	Analytica	Estimated $98.9K - $125K a year	Three (3)+ years in data science, data engineering, as a statistician, or a related quantitative field.Experience querying data from relational databases using…
45	Economist / Statistician	Washington, DC	US Consumer Financial Protection Bureau	$83,282 - $170,560 a year	U.S Citizens or U.S. Nationals; No prior federal experience is required.
46	Business Intelligence Data Analyst	Remote in Arlington, VA	Interos, Inc.	$72,000 - $96,000 a year	Perform hands-on work with data analysis, data visualization, data validation and quality assurance.Rigorously and creatively mine and analyze data; ensure…
47	Data Scientist 15-DM0107	Chantilly, VA 20152+1 location	Probity Inc.	Estimated $125K - $158K a year	Ability to leverage multiple data management tools to organize relevant information and make decisions.Business analytics (supporting data-driven decisions…
48	Data Scientist- J8 WAD	Vienna, VA 22180	Group W	Estimated $114K - $144K a year	Archive study data and retrieve data from previous studies included in the archives.Experience with developing R scripts for pre-processing, post-processing,…
49	Jr. Data Scientist/Data Scientist	Arlington, VA 22203 (Bluemont area)	Innovative Defense Technologies (IDT)	Estimated $95.7K - $121K a year	Previous experience in a ML or data scientist role and a track record of building ML or DL models.Experience using data visualization principles and tools.
50	Junior Data Scientist | TS/SCI	Springfield, VA 22150	Connect Talent Solutions	Estimated $85.6K - $108K a year	You will combine analytic, Python, and R skills to discover and solve data problems obscured to the layman by the sheer volume of data, apply fuzzy matching and…
51	Senior Data Scientist	Remote in Washington, DC	whiteSpace	Estimated $126K - $160K a year	Create patterns and practices that will shape our culture of data engineering and data science through out the delivery lifecycle.
