	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist, Customer Engagement Analytics	Irvine, CA	Zillow	$127,100 - $203,000 a year	Extensive experience querying multi-terabyte-sized noisy data sets such as clickstream data.Serve as a mentor and resource to other data scientists on the team…
1	Part-Time Associate Data Scientist	Los Angeles, CA	Internet Brands	Estimated $43.9K - $55.7K a year	Enhancing data collection procedures to include information that is relevant for building analytic systems.Processing, cleansing, and verifying the integrity…
2	Bioinformatics/Data Scientist	Monrovia, CA 91016	ChromoLogic, LLC	$80,000 - $130,000 a year	Applying statistics towards biological data: 2 years (Required).Collaborate with engineers and scientists to validate models and develop stand-alone packages.
3	Data Scientist (JO-2204-159264)	Remote in Irvine, CA 92618	Ledgent Technology	$150,000 - $185,000 a year	Data Science Mathematical background- solving algorithms/solutions.Must not afraid to fail and work on their own.Nice to have - working in Cloud environments.
4	Public Health Data Scientist	Los Angeles, CA+2 locations	Healthcare Staffing Professionals, Inc.	$53.71 an hour	Build pipelines of clean data and deliver data in an easily consumable way for epidemiologists and other data analysts.Paid Holidays, Paid Sick Time, PTO.
5	Staff Data Scientist	Remote in Irvine, CA 92612	CyberCoders	$180,000 - $225,000 a year	Work closely with data engineers to implement data systems in production.8+ years data Science experience.Large data sets / distributed applications.
6	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
7	Senior Data Scientist	Hybrid remote in Irvine, CA	Harnham	$170,000 - $200,000 a year	COMPANY: A growing start up that is working with healthcare data and financial data to create new medical products.Tackle R&D and new innovation problems.
8	Data Scientist	Cerritos, CA 90703	REVOLVE	Estimated $127K - $161K a year	Conduct complex analysis and build models to uncover key learning form data, leading to appropriate strategy recommendations.PhD in a quantitative field.
9	Senior Data Scientist	Remote in Los Angeles, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
10	Data Scientist	Los Angeles, CA	AEG Worldwide	Estimated $88.7K - $112K a year	You will gain hands on experience utilizing the rich set of ticketing data at AXS, building and deploying scalable data science models and tools.
11	Sr. Data Scientist	Los Angeles, CA	AEG Worldwide	Estimated $119K - $150K a year	Work collaboratively with Strategy team to determine data needs and help design, prepare, clean, and maintain large transactional, inventory, financial and…
12	Data Scientist Associate-CXI	Long Beach, CA 90806	SCAN Health Plan	Estimated $74K - $93.6K a year	Data sources including operational data, prospect data, call center data, core admin data, provider data, VOC data, clinical data, and external data.
13	Data Scientist	Orange, CA	Gustaine	Estimated $107K - $135K a year	You will lead and drive programs in areas such as statistical algorithms for processing massive time series data, statistical risk modeling and development of…
14	Senior Data Scientist	Irvine, CA	MobilityWare	Estimated $133K - $169K a year	Work with the data engineering team on data definition, ETL, data ingestion, data merge, data cleaning and troubleshoot issues for very large datasets.
15	Cloud CSM, Specialised in Alteryx Machine Learning, Digital...	Irvine, CA	Alteryx, Inc.	None	The Cloud CSM is responsible for ensuring the success of Alteryx's Cloud Products through creating a scalable and repeatable framework for our CSMs & customers…
16	Data Scientist	Los Angeles, CA	Dworo.io	$70,000 - $90,000 a year	Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.
17	Senior Data Scientist	Remote in Ontario, CA	Jerry	Estimated $128K - $163K a year	You will join a team of data engineers, data analysts and data scientists.Partner with other data scientists to evolve, optimize and integrate machine learning…
18	Data Scientist - Ads Optimization	Remote in Long Beach, CA+1 location	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
19	Data Scientist	Irvine, CA 92618 (Irvine Health and Science Complex area)	Exponent	None	Providing expertise to multi-disciplinary engineering teams in foundational data science domains, including data management, programming, statistics, and data…
20	Mission Data Scientist	Hawthorne, CA	Epirus	Estimated $128K - $162K a year	Experience in data analysis and data exploitation.Analyze data from Epirus test events.The Mission Data Scientist develops pipelines to store and analyze data…
21	Data Scientist	Newport Beach, CA	Elevate Technical Consulting	$90,000 - $160,000 a year	Experience with selecting and implementing data warehousing technology.Conduct Data Analysis and Reporting.Perform Data Warehousing and ETL.
22	Data Scientist	Hybrid remote in Los Angeles, CA+1 location	Tatari	Estimated $108K - $136K a year	Automate data-driven tasks; design processes that require zero intervention.Ability to manipulate, analyze, and interpret large amounts of data and to organize…
23	Data Analyst/Scientist	Gardena, CA	Cover Technologies	Estimated $93.3K - $118K a year	Experience with data visualization tools.Building data analysis tools and queries to support business operations.Excel, Microsoft Office, SQL, Python.
24	Data Scientist (Remote)	Remote in Los Angeles, CA 90071	Manufacturers Bank	Estimated $112K - $142K a year	In addition, the data scientist will assist in ensuring internal controls and documentation is complete and accurate.
25	Sr. Data Analyst	Remote in Los Angeles, CA 90007	HopSkipDrive	Estimated $71K - $90K a year	Create training materials and conduct data trainings that empower coworkers to use data to better perform at their roles.A Data Science background is a plus.
26	Digital Manufacturing Data Scientist	Irvine, CA 92602 (Lower Peters Canyon area)	Caltrol Inc	$73,067 - $162,608 a year	Develop data solutions for the business needs of our manufacturing clients using data dashboarding, data structuring, data analytics and/or machine learning.
27	Senior Data Scientist	Remote in Los Angeles, CA	TWO NIL	Estimated $138K - $174K a year	Guide and mentor junior data scientists in best practice regarding methodology.Collaborate with Data Engineering in productionizing and deploying data science…
28	Principal Data Scientist	Newport Beach, CA 92660	Obsidian Security	Estimated $148K - $188K a year	Experience with large volumes of data, algorithms and prototyping.7+ years of experience applying statistical/ML algorithms and techniques to real world data.
29	Data Scientist	Remote in Los Angeles, CA	Circle	Estimated $126K - $160K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
30	Associate Data Scientist	Los Angeles, CA	USC	$90,000 - $110,000 a year	Experience working with and creating data models and data architecture, and using data visualization tools (e.g., Tableau, D3.js).
31	Data Scientist	Los Angeles, CA	Core Digital Media	Estimated $107K - $135K a year	The data scientist will lean on their impressive written, verbal, and presentation skills to continually share their data analysis, propose new project ideas,…
32	Sr. Data Scientist, Cloud	Irvine, CA+1 location	Rivian Automotive	Estimated $125K - $158K a year	Work with battery scientists to improve state of health estimation for batteries based on field data models.Build a scalable battery fault identification using…
33	Data Scientist (100% Remote)	Remote in Los Angeles, CA 90006	Frontdoor	Estimated $127K - $160K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
34	Senior Data Scientist (Remote)	Irvine, CA 92614 (San Joaquin Marsh area)	Sureprep LLC	Estimated $104K - $132K a year	The candidate’s time will be focused on research while also helping to drive required data pipelining and ML-engineering efforts.
35	Sr. Data Scientist, Modeling	Cypress, CA 90630	Yamaha Motor	Estimated $122K - $154K a year	5+ years of experience in data capture and data queries using tools, such as SQL, SAS, etc. is required.5+ years of experience in data analytics, financial…
36	Senior Data Scientist at Rent-to-Own Startup	Remote in Los Angeles, CA 90013	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
37	148: Lead Data Scientist	Los Angeles, CA	Dataspace	From $175,000 a year	Why data science job seekers work with Dataspace.5-7 years of professional experience in data science or a related field.
38	Senior Information Technology Data Analyst	Hybrid remote in Tustin, CA 92780	The Management Trust	$80,000 - $90,000 a year	Supervise the team of data and software analysts.Helping Employee-Owners resolve help desk issues related to the main ERP application data.
39	Data Scientist - Measurement	Los Angeles, CA	Foursquare	Estimated $98.4K - $125K a year	Strong background manipulating big data (EDA, data quality mitigation).Conduct ad-hoc data investigation and data-driven approaches for insights extraction.
40	Data Scientist	Los Angeles, CA	AXS	Estimated $88.7K - $112K a year	You will gain hands on experience utilizing the rich set of ticketing data at AXS, building and deploying scalable data science models and tools.
41	Software Engineer, Gameplay AI	Irvine, CA 92618	Blizzard Entertainment	None	Work with designers, artists and other engineers to bring AI characters to life.Develop simple AI solutions to challenging AI problems within the performance…
42	Manager, Business Intelligence & Data Science Enablement	Aliso Viejo, CA	PlayStation Global	Estimated $140K - $177K a year	7 to 10 years' experience in business intelligence, data analytics and data engineering and data science enablement.Experience with SQL and Big Data.
43	Data Scientist	Los Angeles, CA+2 locations	sharethrough	Estimated $113K - $143K a year	Present findings to data scientists and product managers to influence product roadmaps.Work with our data engineering team to make the data needed for your…
44	Lead Data Scientist	Remote in Los Angeles, CA	SameSky Health	Estimated $146K - $185K a year	Lead a team of data scientists, machine learning engineers, and big data specialists.Ensure data quality and integrity.Visualize data and create reports.
45	Data Scientist (Remote)	Remote in Los Angeles, CA 90001	Steel Point Solutions L	Estimated $130K - $165K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
46	Data Scientist - Internal Audit and Risk Control	Los Angeles, CA	TikTok	Estimated $106K - $134K a year	Participate in the deployment, testing, launch and subsequent optimization of the data model in the data development for internal systems.
47	Data Scientist	Remote in Los Angeles, CA	Mythical Games	Estimated $116K - $147K a year	Collaborate with the data and analytics team, marketing team, and marketplace teams.We are looking for a highly-skilled Data Scientist with experience…
48	Data Scientist	Los Angeles, CA+2 locations	sharethrough	Estimated $113K - $143K a year	We’re looking for data scientist who share our passion for building data-driven products, as well as the belief data should be tightly integrated into the…
49	Digital Marketing - Data Analyst	Costa Mesa, CA 92626	Mantek Solutions	$38 an hour	Partner with IT, BI and Operations team to help identify and mend data gaps, source issues, and data inaccuracies.Location Costa Mesa, California 92626.
50	Statistician	Newport Beach, CA 92660	Wave Neuroscience	$85,000 - $105,000 a year	Will be expected to data mine output from clinical scales, scores, and time series biometric data to provide insight into relations within the data.
51	Data Scientist – Python, R, NLP	Irvine, CA	Food People	Estimated $114K - $144K a year	Deal with with unstructured text, structured business data, and semi-structured relationship data.Experience developing and shipping a data science product.
52	Sr. Data Analyst	Remote in Santa Ana, CA 92701	FutureRecruit	$42 - $45 an hour	Partner with data stewards and data owners in developing data standards for critical data elements.Expertise in data modeling and data visualization tools.
53	Data Scientist	Newport Beach, CA	Elevate Technical Consulting	$90,000 - $160,000 a year	Experience with selecting and implementing data warehousing technology.Elevate Consulting is a high growth Technology Consulting company based in Newport Beach…
54	Cloud CSM, Specialised in Alteryx Machine Learning, Digital...	Irvine, CA	Alteryx, Inc.	None	We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual.Start-up or big tech?Why can’t we have both?
55	Senior Data Scientist, Computer Vision	Irvine, CA 92618	Blizzard Entertainment	Estimated $147K - $186K a year	Blizzard data scientists design and deploy data-powered products and services that serve the business and development of Blizzard games every day.
56	Sr Principal Business Systems Data Analyst (Eligible for FT...	Remote in Redondo Beach, CA 90278	Northrop Grumman	$103,900 - $155,900 a year	Lead projects to integrate and manage data from disparate data sources.Translate data to inform the end user of key data, metrics, trends, and actionable…
57	Senior/Lead/Staff Data Scientist, Strategy & Analytics	Los Angeles, CA	TikTok	Estimated $150K - $190K a year	Experience with data visualization tools (e.g. Tableau).Expert experience developing large and complex data pipelines using SQL.Familiar with Python or R.
58	NLP Research Scientist	Remote in Irvine, CA	Invitae	Estimated $126K - $159K a year	Formulate healthcare data structuring challenges into ML/NLP solvable problems.In this role, you help build our unstructured data extraction pipeline.
59	Senior Data Scientist/Machine Learning Engineer	Remote in Los Angeles, CA 90013+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
60	Data Scientist	Hybrid remote in Torrance, CA 90501	Aioi Nissay Dowa Insurance Services USA	Estimated $113K - $143K a year	Explores and finds meaning in high volumes of data and extracts actionable Executes data querying, data cleansing, and experiment design.
61	Data Scientist, Analytics	Remote in Los Angeles, CA	Grindr	Estimated $99.5K - $126K a year	Experience with a data visualization tool (e.g. Looker, Tableau).Support different business squads at Grindr in understanding the drivers of user engagement by…
62	Machine Learning Engineer Data Analytics	Commerce, CA 90040	Commerce Casino	Estimated $114K - $145K a year	Hands on experience writing data processing and data pipeline for model development including gathering and building datasets to collect intents, joining and…
63	Statistician	La Mirada, CA 90638	SO CAL FCA BASEBALL	Estimated $40.3K - $51.1K a year	Relationship with Jesus and desire to grow as a disciple and servant.Passionate about baseball / previous baseball experience & knowledge.
64	Senior Data Analyst	Remote in Vernon, CA	Reformation	Estimated $99.5K - $126K a year	Be a critical team member in building and fine tuning the current data platform (data pipelines -> transformations -> visualizations).
65	Data Scientist	Manhattan Beach, CA 90266	Fisker Inc	Estimated $106K - $135K a year	Collaborate with ML Ops, system/software engineers, test engineers, and data scientists to commercialize the ideas with excellent user experience.
66	Senior Data Scientist	Corona, CA	CEDENT	Estimated $96.8K - $123K a year	The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting…
