	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist	Atlanta, GA	Harnham	$130,000 - $150,000 a year	Able to interpret and understand statistical data.Extract existing and new data sets using SQL.Interpret and graph real-time streaming data.
1	Data Scientist	Remote in Atlanta, GA 30333	Peraton	Up to $171,288 a year	Experience with data visualization tools.Demonstrates intermediate proficiency in computational skills and level of experience building data models using R,…
2	Data Scientist	Atlanta, GA 30332 (Georgia Tech area)+2 locations	Georgia Tech	Estimated $82.3K - $104K a year	Ability to work with large data sets, develop sophisticated models and algorithms combining disparate data sets.Up to two years of job-related experience.
3	Data Scientist	Remote in Atlanta, GA 30319	BCD Travel Corporate	Estimated $87.7K - $111K a year	Design and create algorithms to efficiently mine data from large data sets and apply treatments, filters and conditions to the data.
4	Data Scientist	Atlanta, GA	Starr Companies	Estimated $102K - $130K a year	Previous experience as a data scientist in a professional setting.Deep understanding of the various tools available to in a data scientist’s toolkit.
5	Associate Data Scientist	Remote in Atlanta, GA	Verusen	Estimated $94.2K - $119K a year	As a Data scientist at Verusen, you will be supported by several highly- skilled data scientists.Help deliver supply chain optimization projects, with the…
6	Lead Data Scientist, Visual AI (Remote)	Remote in Atlanta, GA 30301+1 location	Home Depot / THD	$150,000 - $220,000 a year	Demonstrated expertise in predictive modeling, data mining and data analysis.As a Lead Data Scientist, you will be responsible for large data science projects,…
7	Senior Data Scientist at Rent-to-Own Startup	Remote in Atlanta, GA 30322	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
8	Data Scientist	Remote in Atlanta, GA	CBL Solutions	Estimated $77K - $97.6K a year	Can manage large sets of data to tell a story.Note: Client will Sponsor / Transfer H1-B for Suitable consultants.*.
9	Data Scientist	Atlanta, GA	Humanity	Estimated $101K - $128K a year	Enable better decisions using the data.Maintains data integrity by working to eliminate redundancy.Develops data models to meet the needs of the organization…
10	Data Scientist - Authentication	Remote in Atlanta, GA 30308	Pindrop	Estimated $128K - $162K a year	Experience with data visualization is a plus.3+ years of experience in a data science role.You will be working with a group of enthusiastic data scientists…
11	Data Scientist	Remote in Atlanta, GA 30301+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
12	Senior Data Scientist	Remote in Atlanta, GA 30363	Calendly	Estimated $124K - $157K a year	Assist in the development of a data architecture to support data science, machine learning and analytics.The right person for the job will have experience with…
13	Data Scientist	Decatur, GA 30030 (Downtown area)	Utility Associates, Inc.	Estimated $89.5K - $113K a year	Identify valuable data sources and automate the collectionof data.Assess the effectiveness and accuracy of new data sourcesand data gathering techniques.
14	Data Scientist	Suwanee, GA 30024	XL Softek	Estimated $93.7K - $119K a year	Manage data engineers and perform hands-on data analysis and modeling massive data sets.Perform data preprocessing, implement data mining techniques and…
15	Data Scientist	Atlanta, GA	LifeBell AI	Estimated $103K - $130K a year	You'll work closely with our CTO, CSO, data science core, and engineering teams.Work across the entire machine learning pipeline, including data exploration,…
16	Data Scientist	Remote in Atlanta, GA	Circle	Estimated $116K - $146K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
17	Public Health Data Scientist – Junior Level	Temporarily Remote in Atlanta, GA 30322+1 location	Metas Solutions	Estimated $75.1K - $95.1K a year	Assisting and/or guiding junior data scientists in data analysis efforts and model construction/design/implementation.Master's in public health preferred.
18	Data Scientist - Buckhead	Atlanta, GA 30326 (North Buckhead area)	Cortland	Estimated $84.9K - $108K a year	Experience working with a large volume of data with ability to solve performance issues.Demonstrated proficiency in Python and SQL; additional knowledge of…
19	Data Scientist, Client Analysis (All levels)	Remote in Atlanta, GA	Socure	Estimated $106K - $134K a year	You have 3+ years experience in data science, data analysis, or analytics engineering.You know how to tell stories with data (dashboarding, building…
20	Senior Data Scientist	Atlanta, GA 30301 (Buckhead area)	Elder Research Inc	Estimated $117K - $149K a year	Exploration, cleaning, and wrangling to understand available data.4-8 years of work experience in data science or a related technical field.
21	Statistician/Data Scientist	Atlanta, GA 30318	9Rooftops	Estimated $115K - $146K a year	O Communication skills to ask questions of clients and internal partners to clarify data definitions, data structure and data generation biases.
22	Senior/Lead Data Scientist	Atlanta, GA 30326 (Lenox area)+1 location	Salesforce	$82,400 a year	Each team is made up of data scientists, engineers, growth analysts, and information management experts who are dedicated to driving product strategy with data…
23	Research/Data Analyst Senior	Atlanta, GA	TECH AVEEV LLC	Estimated $81.1K - $103K a year	Provide timely and accurate data to fulfill internal and external data requests.Collaborate with external research partners to ensure understanding of data…
24	Senior Data Scientist/Machine Learning Engineer	Atlanta, GA 30326 (Lenox area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
25	Data Scientist	Atlanta, GA	Intone Networks	Estimated $94.7K - $120K a year	Prior experience or a role designing, developing, or executing CDP use cases to solve high quality customer experience requirements Exceptional ability to…
26	Senior Data Scientist	Remote in Atlanta, GA 30339	The RiverStone Group	Estimated $116K - $147K a year	Ability to tell meaningful stories with data.You will also perform ad-hoc statistical and data science analyses.
27	Data Scientist (Remote)	Remote in Atlanta, GA 30301	Steel Point Solutions L	Estimated $126K - $160K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
28	Data Scientist	Alpharetta, GA 30022+1 location	LifeQ	Estimated $90K - $114K a year	At least 3 years relevant industry experience in data science related work (data cleaning and manipulation, feature engineering, modeling, predictive analytics,…
29	Data Science Developer	Atlanta, GA 30307 (Lake Claire area)	Brilliant Infotech	$70 - $75 an hour	Responsible for the design, development, coding, testing, debugging and documentation of applications to satisfy the requirements of one or more user areas.
30	Senior Data Scientist	Atlanta, GA 30339	Oversight Systems Inc	Estimated $121K - $153K a year	Strong communication and data presentation skills.Strong SQL experience in processing and analyzing data.Ability to analyze a wide variety of data: structured…
31	Senior Data Scientist	Atlanta, GA 30328	Azurity Pharmaceuticals, Inc.	Estimated $121K - $153K a year	Collaborate with Data Engineer to support the data modelling and testing during projects.5+ years of experience in a statistical and/or data science role.
32	Data Scientist	Remote in Atlanta, GA	CBI Remote	Estimated $123K - $156K a year	Exposure to big data technologies.Experience working with data warehouses Eg: Redshift and other similar database systems.
33	Senior Data Scientist	Atlanta, GA 30326 (North Buckhead area)	CoStar Group	None	Develop custom data models and algorithms to apply to data sets.To query & manipulate data and draw insights from large data sets.
34	Senior Data Analyst	Suwanee, GA 30024	Mayzo, Inc.	$85,000 - $100,000 a year	Maintain internal data warehouse tables and views, creating and changing as required.Able to bring structure to ambiguous problems and derive insights from…
35	Data Scientist	Atlanta, GA	BeVera Solutions	None	Extensive background in data mining and statistical analysis.Minimum of 8 years of practical experience with SAS, ETL, data processing, database programming,…
36	Research/Data Analyst Senior (679071)	Atlanta, GA	Samjose Infotech	$42 - $61 an hour	Provide timely and accurate data to fulfill internal and external data requests.Collaborate with external research partners to ensure understanding of data…
37	Data Scientist - Marketing Science Lead	Atlanta, GA 30309 (Midtown area)	Tombras	Estimated $104K - $132K a year	Identify new and innovative data sets that can be used to improve existing modeling work, or deliver net new models.
