	Title	Location	Company	Salary	Synopsis
0	Jr. Data Scientist	Austin, TX	Insight Global	$60 - $80 an hour	Working on call center data.This Data Scientist will be joining the Customer Operations team involved in analyzing call center data.
1	Marketing Data Scientist	Austin, TX	Synergis	$119,809 - $255,131 a year	Provide insight at scale through building automated reports and data pipelines.Experience with turning data into insights at scale using algorithms and machine…
2	Data Scientist	Remote in Austin, TX 78704	ClosedLoop	Estimated $108K - $136K a year	Train and educate customer data scientists on best practices for data science in healthcare.ClosedLoop data scientists utilize our platform and work alongside…
3	Data Scientist	Remote in Austin, TX	Urbint	Estimated $108K - $137K a year	You will develop machine learning solutions for well-defined data science problems, with focus on speed to value (mvp & iterative approach).
4	Junior Data Scientist	Austin, TX 78735	Kestra Financial	Estimated $84.2K - $107K a year	Create complex data pipelines, while learning Kestra's newly developed big data ecosystem.Intermediate Python/R programming skills, data aggregations, data…
5	Sr. Data Scientist	Austin, TX	Dutech Systems	$70 - $80 an hour	Data science and data governance: 8 years (Preferred).Knowledge of local, state, and federal laws and regulations relevant to data science and data governance;…
6	Data Scientist I (22-0623)	Austin, TX 78741 (Pleasant Valley area)	Office of the Attorney General of Texas	$6,999 - $9,583 a month	Develops data quality measures, analyzes data quality results, and implements necessary changes to ensure data quality improvement.Ability to travel up to 5%.
7	Data Scientist	Remote in Austin, TX 73301+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
8	Senior Data Scientist	Remote in Austin, TX	Honor	Estimated $144K - $182K a year	We're looking for generalist data scientists who are excited to jump into new problems and write production-quality code.
9	Data Scientist	Remote in Austin, TX	Signifyd	$95,000 a year	Work with distributed data pipelines.Design experiments and collect data.We also improve the e-commerce shopping experience for individuals by reducing the…
10	Data Scientist - remote	Remote in Austin, TX 78758	Kershner Trading	Estimated $114K - $145K a year	A passion for analyzing large data sets.Work with a team of Data Scientists to analyze data and create intraday algorithmic trading strategies.
11	Data Scientist I (22-0623)	Austin, TX 78741 (Pleasant Valley area)	OFFICE OF THE ATTORNEY GENERAL	$6,999 - $9,583 a month	Develops data quality measures, analyzes data quality results, and implements necessary changes to ensure data quality improvement.Ability to travel up to 5%.
12	Junior Data Scientist	Austin, TX	ANALYTOS	Estimated $67.6K - $85.6K a year	Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools.
13	Data Scientist (100% Remote)	Remote in Austin, TX 78703	Frontdoor	Estimated $124K - $157K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
14	Senior Data Scientist	Remote in Austin, TX	Homeward	Estimated $139K - $177K a year	Partner with data engineering and analytics teams to drive data-driven decision making throughout the business and define the data models required to support it…
15	Data Scientist II	Remote in Austin, TX	Braze	Estimated $96.7K - $122K a year	Build processes to help catalog, maintain, and share the above with fellow data scientists and engineers.Explore and analyze the billions of daily data points…
16	Data Scientist	Remote in Austin, TX 78758	Kershner Trading Group	Estimated $114K - $144K a year	A passion for analyzing large data sets.Work with a team of Data Scientists to analyze data and create intraday algorithmic trading strategies.
17	NLP Data Scientist (Remote)	Remote in Austin, TX 73301	Celsius	$110,000 - $175,000 a year	As a senior member of the data science team, play a key role in the team while mentoring junior data scientists.Deep learning experience is an advantage.
18	Data Scientist, Staff	Remote in Austin, TX 78701+1 location	Guideline, Inc.	Estimated $141K - $179K a year	Guide all stages in the data science project lifecycle, from prototype to production to operationalization.Experience in full-cycle data science development,…
19	Data Scientist	Hybrid remote in Austin, TX	YETI	Estimated $110K - $139K a year	Experience with data visualization tools (e.g. Tableau, PowerBI).Collaborate with Data Engineer(s) to support data modelling and testing during projects.
