	Title	Location	Company	Salary	Synopsis
0	Director, Data Science- SMB Labs	Remote in California	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
1	Data Analytics/Business Intelligence Manager	Bakersfield, CA 93309 (Park Stockdale area)	Omni Family Health	Estimated $100K - $127K a year	Troubleshoots data submission errors and data error issue.Develops a data verification process to assure data is accurate and justified.
2	Manager, Data Scientist Vehicle Data & Monetization	California	Hyundai Motor America	Estimated $129K - $163K a year	~ Conduct exploratory data analysis.Able to aggregate, gather and manipulate data.~ Act as subject matter expert regarding vehicle data.
3	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Helping clean data and implement validation layers.Can collaborate with non-computational scientists.Desire to build a data science ecosystem from the ground…
5	Sr. Principal Data Scientist	Remote in California	Northrop Grumman	$125,800 - $188,600 a year	Creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.
6	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
7	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
8	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
9	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
10	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
11	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
12	Senior Director of Machine Learning Research	California	Harnham	$225,000 - $275,000 a year	The Senior Director of Machine Learning will be responsible for utilizing an integrated and multi-modal approach to drug discovery.
13	Director, Data Science- SMB Labs	Remote in California	Indeed	$214,000 - $310,000 a year	Help our recruiting team attract and evaluate top economists, machine learning engineers, and scientists.In this role, you will lead teams of machine learning…
14	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.In this role, you’ll get to:
15	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Establishing expected data formats across the company.Helping clean data and implement validation layers.Can collaborate with non-computational scientists.
16	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
17	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	Molly Williams is working exclusively with an award winning, globally recognised CRO who are looking for a Senior statistical Programmer.
18	Director, Statistical Programming	United States	Parexel - USA	Estimated $89.4K - $113K a year	Parexel is looking for a Director of Statistical Programming to join their FSO team!As a Director, you will be responsible to lead, manage and support the…
19	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
20	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
21	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
22	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
