	Title	Location	Company	Salary	Synopsis
0	Data Scientist - Development Program	Fort Meade, MD+1 location	National Security Agency	$86,389 - $116,788 a year	Exploratory data analysis and exploratory model-fitting to reveal data features of interest.Applying scientific methods to data evaluation, performing…
1	Sr. Data Scientist	Columbia, MD 21046	Bigbear.ai	Estimated $126K - $160K a year	Data Scientist* to help develop the shaping of requirements for the machine learning and predictive analytics solutions, guide and significantly contribute to…
2	Data Scientist with Python experience	Baltimore, MD 21207	FSS Government Solutions	Estimated $95.7K - $121K a year	Ability to draw insights from sparsely labeled textual data.Provide data-driven approaches to tackle various business and NLP problems.
3	Senior Data Scientist	Remote in Baltimore, MD 21202	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
4	Data Science Practitioner	Remote in Baltimore, MD	Seneca Resources	$88,110 - $174,230 a year	Ability to draw insights from sparsely labeled textual data.Provide data-driven approaches to tackle various business and NLP problems.
5	Data Scientist	Annapolis Junction, MD 20701	Erias Ventures LLC	$150,000 - $245,000 a year	This position involves working collaboratively with system engineers, software engineers, and analytic engineers to analyze and visualize complex data sets.
6	Data Scientist	Fort Meade, MD 20755	Ops Tech Alliance	$105,000 - $250,000 a year	Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming,…
7	Sr. Data Scientist	Owings Mills, MD 21117	Vision	Up to $120,000 a year	Explores data patterns using existing data science tools.Uses data to understand the data profile and its limitations and applies it to business solutions.
8	Data Scientist	Annapolis Junction, MD 20701+1 location	Varen Technologies	Estimated $117K - $148K a year	Develop experiments to collect data or models to simulate data when required data are unavailable.A data scientist will develop machine learning, data mining,…
9	1628 Data Scientist	Annapolis, MD	Infoorigin inc	$125,000 - $175,000 a year	The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…
10	Data Scientist	Linthicum Heights, MD 21090	IAMUS Consulting	Estimated $91.1K - $115K a year	Candidates must also have some familiarity and understanding of Cloud Systems Engineering, data science, and big data.
11	Data Scientist- Multiple Levels	Annapolis Junction, MD 20701	Red Alpha LLC	Estimated $132K - $167K a year	For entry-level data scientists, 0-3 years of experience on Data Science projects.For mid-level data scientists, 3-6 years of experience on Data Science…
12	Data Scientist	Woodlawn, MD 21207	SOFTEK	$100,000 - $150,000 a year	Data manipulation and data engineering experience involving structured and unstructured data.Data manipulation expertise involving data extractions, data…
13	Data Scientist - Level 1	Fort Meade, MD	OPS Consulting, LLC	Estimated $82.6K - $105K a year	OPS Consulting is seeking candidates for Data Scientists.The position requires experience with:Shall have a minimum of one year experience.
