	Title	Location	Company	Salary	Synopsis
0	Associate Data Engineer	Baton Rouge, LA 70806+1 location	Blue Cross Blue Shield of Louisiana	Estimated $74.6K - $94.4K a year	Support of a data warehousing, data mart, data lake, and/or business intelligence environment.Supports the management of data migrations/conversions and…
1	Level II Senior Data Analyst Eddy Current - Geisma	Geismar, LA 70734	Versa Integrity group, Inc.	Estimated $61.8K - $78.2K a year	(Must be willing to Travel).Set-up and calibrate all equipment, interpret, evaluate, and document results using standardized report templates.
2	Kubernetes and Docker Cloud Developer	Remote in Baton Rouge, LA	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
3	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
4	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
5	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
6	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
7	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
8	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
9	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
10	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
11	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
