	Title	Location	Company	Salary	Synopsis
0	Data Scientist, Zoom Phone	Remote in San Francisco Bay Area, CA	Zoom Video Communications, Inc.	Estimated $97.3K - $123K a year	Analyze usage and behavioral data using statistical techniques and build data models that enable insights and power dashboards.Hear from our leadership team.
1	Data Scientist	Hybrid remote in San Francisco, CA	Upgrade	Estimated $112K - $142K a year	Develop and implement statistical/machine learning models for various business areas, including Credit Risk, Fraud, Marketing, and Operations.
2	Meta Data Scientist- 4196010	Walnut Creek, CA+1 location	Accenture	$39.60 - $72.74 an hour	Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…
3	Jr. Data Scientist	San Francisco, CA	Aroopa	Estimated $110K - $139K a year	Experience with statistics/machine learning packages such as Spark MLlib, Python (scikit-learn, pandas, numpy, scipy, Matplotlib), Keras, TensorFlow, PyTorch…
4	Data Scientist	Remote in San Francisco, CA 94107+2 locations	Embark Trucks	Estimated $111K - $141K a year	As a data scientist on the Product team, you will be expected to leverage your skills in computer science, statistics, and data analysis to generate key…
5	Data Scientist	Remote in San Francisco, CA+2 locations	Stitch Fix	Estimated $118K - $149K a year	This is a full-stack data scientist role where you will get to work closely with stakeholders to identify impactful problems and build algorithmic solutions.
6	Data Scientist, TikTok Creation and Consumption	San Francisco, CA	TikTok	Estimated $107K - $136K a year	3+ years of industry experience in data science, conducting quantitative analysis and implementing data science solutions.
7	Data Analyst	Remote in San Francisco, CA	Morning Consult	Estimated $60.7K - $76.9K a year	This role requires getting your hands dirty with all aspects of the public opinion data collection and client delivery process, from managing survey vendors to…
8	Data Scientist	Richmond, CA 94804 (Marina Bay area)	SunPower	Estimated $97.1K - $123K a year	Significant experience developing automated data flows.We are looking for candidates with experience developing data models, ETL data flows, and AWS…
9	Data Scientist	Temporarily Remote in San Francisco, CA	Surya Systems	Estimated $116K - $148K a year	Experience in applied data science, analytics, data storytelling.Apply your expertise in quantitative analysis, data mining, and the presentation of data to…
10	Data Scientist (Remote, US-based)	Remote in San Francisco, CA 94103+1 location	SentiLink	Estimated $121K - $153K a year	Work with engineering, risk operations, and data acquisitions to access necessary data, maintain data quality, and support data access.
11	Senior Data Scientist, Analytics	Hybrid remote in San Francisco, CA 94107+3 locations	Discord	$184,700 a year	If you’re passionate about data, impact, and working on an amazing team, read on!You will: Partner with teams through the full lifecycle of data analytics from…
12	Data Scientist	Remote in San Francisco, CA+4 locations	Faire	Estimated $105K - $133K a year	At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time.
13	Data Scientist	Remote in San Francisco, CA 94104+1 location	Grammarly, Inc.	Estimated $122K - $155K a year	To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three time zones of…
14	Senior Data Scientist	San Francisco, CA	MetaMap	Estimated $126K - $159K a year	Identify opportunities to collect additional telemetry data to strengthen our core identity and reputation data and models.
15	Data Scientist	San Francisco, CA	Quantapore	Estimated $123K - $155K a year	Experience with optical microscopy data sets.You will work with bench scientists and engineers from the molecular biology, chemistry, software, hardware and…
16	Data Scientist	San Francisco, CA	CBOE	Estimated $83.8K - $106K a year	Present information using data visualization techniques.Process/validate structured and unstructured data.Create value-added derived data & analytics.
17	Senior Data Scientist	San Francisco, CA 94107 (South of Market area)	Unity Technologies	Estimated $138K - $174K a year	Good communication skills to help collaboration with other data scientists and engineers.Enthusiasm about machine learning and data science.
18	Machine Learning & NLP Data Scientist	Temporarily Remote in San Francisco, CA	HANUMAYAMMA INNOVATIONS AND TECHNOLOGIES	Estimated $127K - $161K a year	We are looking for data science & machine learning (ML) engineer with exclusive knowledge of Macroeconomic, Government Finance Analytics, Budgets, and develop…
19	Data Scientist, Client Services	Remote in San Francisco, CA	Morning Consult	None	This could include developing R packages to clean data, evaluate/interpret results, streamline data collection, or present data in new ways.
20	Data Scientist, Applied Data Science	San Francisco, CA+1 location	Kyte	Estimated $107K - $136K a year	Minimum 2+ years of hands on experience in data science.To support ongoing as well as ad hoc data challenges of the business.
21	Senior Data Scientist	Remote in San Francisco, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
22	Senior Data Scientist, Core Data Science	San Francisco, CA	Kyte	Estimated $148K - $188K a year	Build and architect large scale data pipelines that allow for scalable training and processing of geospatial data sets.
23	Data Scientist	Remote in San Francisco, CA	CBI Remote	Estimated $134K - $170K a year	Exposure to big data technologies.Experience working with data warehouses Eg: Redshift and other similar database systems.
24	Sr. Data Scientist	Remote in San Francisco, CA	Zapier Job Board	Estimated $155K - $196K a year	This includes mastery of at least one data visualization tool.Ensure all teams have insight to data and can answer their own first-order questions.
25	Quantitative Policy Analyst or Data Scientist	San Francisco, CA 94104 (Financial District/South Beach area)	Mission Analytics Group	Estimated $87.5K - $111K a year	Developing interactive data dashboards in Power BI and other data visualizations.Prior work experience in data visualization for policy and program staff.
