	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Denver, CO 80238	CyberCoders	$100,000 - $110,000 a year	Data Scientist If you are a Data Scientist with experience, please read on! Top Reasons to Work with Us 1. We have a great collaborative team culture and we…
1	Data Scientist (Junior)	Remote in Louisville, CO	BDSA	$90,000 - $110,000 a year	Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data…
2	Data Scientist, Economic and Policy Research	Hybrid remote in Boulder, CO 80309	University of Colorado Boulder	$65,000 - $80,000 a year	Job Summary The Leeds School of Business at the University of Colorado Boulder encourages applications for a Data Scientist of Economic and Policy Research.…
3	Data Scientist	Denver, CO	AT&T	$75 - $85 an hour	*Data Scientist* *Client: DOT FOODS* *Location: Onsite in Denver, CO* *Minimum Exp: 10+ yrs.* *Need senior candidate* *Data Scientist - Advanced Analytics…
4	Data Scientist	Remote in Boulder, CO 80302	Techstars	$125,000 - $175,000 a year	Techstars seeks an experienced Data Scientist to join a growing team of investment professionals shaping our fund and investment strategy in support of…
5	Staff Data Scientist	Remote in Denver, CO	DispatchHealth	$180,000 - $210,000 a year	Company Description We are building the world's largest in-home care system. Healthcare is rapidly moving into the home, creating an enormous market…
6	Senior Data Scientist	Remote in Denver, CO	Gtmhub	$130,000 - $160,000 a year	Description Gtmhub is seeking an incredible Senior Data Scientist with 5+ years experience to join our growing Analytics, Research, and Insights team and…
7	Data Scientist	Broomfield, CO 80021	Renewable Energy Systems	$76,500 - $100,000 a year	Come join the world’s largest independent renewable energy company active in wind, solar, energy storage and transmission and distribution. Our vision is to…
8	Data Assimilation / Machine Learning Scientist	Remote in Boulder, CO+1 location	Tomorrow.io	$100,000 - $160,000 a year	The tomorrow.io space numerical weather prediction (NWP) and data assimilation (DA) R&D department is a group of scientists, mathematicians, and engineers. We…
9	Athletics Gameday Statistician	Denver, CO	The University Of Denver	Estimated $62.4K - $79K a year	Job no: 494161 Work type: Staff Part-Time Location: Denver, CO Categories: Athletics / Recreation The Division of Athletics & Recreation at the University of…
10	Data Scientist	Remote in Denver, CO	GutCheck	$90,000 - $110,000 a year	The Opportunity GutCheck has a portfolio of cutting-edge research products and we are taking it to the next level. We are looking for a Data Scientist to…
11	Data Scientist	Remote in Denver, CO 80202	Switchfly	$110,000 - $130,000 a year	*\*\*REMOTE CANDIDATES IN MOUNTAIN TIME ZONE WILL BE CONSIDERED\*\** Imagine loving what you do and where you do it! At Switchfly, the Data Scientist will…
12	Data Scientist (3-5 years experience)	Broomfield, CO	DataLab USA	$75,000 - $100,000 a year	DataLab USA_™_ is an analytics and technology driven database marketing consultancy. We combine sophisticated technology, cutting edge analytics and an…
13	Data Scientist - Utility Reliability (Jr - Sr) - REMOTE	Hybrid remote in Denver, CO	E Source	$75,000 - $100,000 a year	Are you a data scientist looking to join an industry-leading team? E Source develops groundbreaking data science applications that change the way utilities…
14	Senior Data Scientist	Remote in Denver, CO	Snapdocs	$153,850 - $178,750 a year	Snapdocs is a rapidly growing company backed by investors like Sequoia, Y Combinator, F-Prime and Tiger Global. We're an innovative team taking on the…
15	Data Scientist, Distill	Boulder, CO 80302 (Whittier area)	TIFIN	Estimated $98.8K - $125K a year	Responsible for following consistent practices to ensure data integrity and deal with imperfections in data.Strong familiarity with unstructured data.
