	Title	Location	Company	Salary	Synopsis
0	Associate Data Scientist	Orange, CT 06477	Avangrid	Estimated $67.6K - $85.6K a year	Familiarity with data management tools.Building tools to automate data collection.Correlating similar data to find actionable results.
1	Jr. Data Scientist	Stamford, CT	Insight Global	$60 - $80 an hour	Working on call center data.This Data Scientist will be joining the Customer Operations team involved in analyzing call center data.
2	Principal Data Scientist	Stamford, CT 06901 (Downtown area)	Brooksource	$80 - $85 an hour	This can be mixed between data analytics, statistics and Data Science.The Data Science team is focused on creating real-time data analytics/machine learning…
3	Data Science Manager - Metadata	Remote in Connecticut	Indeed	$198,000 - $288,000 a year	Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring.Provide project direction and feedback.
4	Data Scientist	New Haven, CT 06511 (Prospect Hill area)	BankMobile	Estimated $90.5K - $115K a year	Exposure to Azure cloud data tools.Demonstrated data visualization skills using tools like Power BI.Critical thinking and problem-solving skills are essential…
5	Data Scientist	Stamford, CT+3 locations	Insight Global	$45 - $60 an hour	On a day-to-day basis, this Data Scientist will spend 60% of their day in model creation, 30% pulling and analyzing data, and 10% presenting pulled data to…
6	Senior Data Scientist at Rent-to-Own Startup	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
7	Statistician - Remote	Remote in Fairfield, CT	Penfield Search Partners	Estimated $99.1K - $125K a year	Strong hands-on experience with JMP and working knowledge of other statistical and data processing software e.g. SAS and/or R.
8	Sr Data Scientist	Stamford, CT	Humanity	Estimated $91.4K - $116K a year	Passionate about data maintenance, data quality control and all other important data analysis techniques.Lead large-scale exploratory data analyses for new…
9	Senior Data Scientist	Stamford, CT	Tenerity	Estimated $138K - $175K a year	Are you a passionate data scientist?Process various data types on the cloud (e.g., Data Lakes or Data Warehouses), augment and explore new data sources,…
10	Principal Data Scientist	Stamford, CT	Insight Global	$50 - $75 an hour	Working on call center data.This Principal Data Scientist will be joining the Customer Operations team involved in analyzing call center data.
11	Associate Data Scientist	Stamford, CT	Humanity	Estimated $61.2K - $77.4K a year	Internship in a role as a data scientist.Establish links across existing data sources and find new, interesting data correlations.
12	Machine Learning Engineer	Stamford, CT 06905 (Downtown area)	APT College	$140,000 - $150,000 a year	Building ETL pipelines to work with clean data.Extensive knowledge of ML frameworks (like Keras or PyTorch), libraries, data structures, data modeling, and…
13	Data Plane Engineer	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:
14	Lead Data Scientist	Stamford, CT	Humanity	Estimated $127K - $160K a year	Basic understanding of data architecture, data warehouse and data marts.Lead large-scale exploratory data analyses for new data sources or new uses for…
15	Head of Machine Learning - Document Analysis and NLP	Remote in Fairfield, CT 06824+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
16	Dir, Data Science	Stamford, CT	Humanity	Estimated $82.8K - $105K a year	Basic understanding of data architecture, data warehouse and data marts.Data pre-processing, exploratory data analysis using a variety of techniques.
17	Senior Data Analyst	Stamford, CT	Tudor Investment Corporation	Estimated $75.6K - $95.8K a year	When new data services are needed, the Senior Data Analyst will evaluate potential data sources and cost/resources.BA/BS with strong academic background.
18	NLP Engineer at Speech to Text Start Up	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	Estimated $124K - $157K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
19	Software Engineer/Data Science Analyst	New Haven, CT 06511 (Long Wharf area)	BioXcel Therapeutics	Estimated $99.6K - $126K a year	And of data engineering (model lifecycle, data storage, lineage).Experience mining and integrating databases and developing data visualizations.
20	Sr Data Scientist	Stamford, CT 06902 (Waterside area)	Gartner	Estimated $117K - $148K a year	Data analytics with multi-dimensional data.Practical, intuitive problem solver with a demonstrated ability to translate business objectives into actionable…
21	Machine Learning Engineer	Stamford, CT 06902 (South End area)	Point Pickup Technologies	Estimated $91.1K - $115K a year	Extensive knowledge of ML frameworks (like Keras or PyTorch), libraries, data structures, data modeling, and software architecture.
22	Junior Programmer/AI Developer	Stamford, CT 06902 (Downtown area)	Mirador, LLC	Estimated $75.9K - $96.1K a year	Build and maintain code to manage data received from heterogenous data formats including web-based sources, internal/external databases, flat files,…
23	Sr. Data Analyst	Stamford, CT	Humanity	Estimated $80K - $101K a year	Identify data sources and data attributes across and outside the company that will support the business needs.Analyze data to provide meaningful insights.
24	Data Science Engineer	Remote in Stamford, CT 06902	General Reinsurance Corporation	Estimated $117K - $148K a year	Engage in the evolution of data analytics based on the strategic objective of being a data-oriented and analytics-driven company.
25	Senior Manager, Clinical Data Management	New Haven, CT (Downtown area)	Alexion Pharmaceuticals,Inc.	Estimated $113K - $143K a year	High proficiency with technology associated with current and evolving data management practices, including electronic data capture and data aggregating, with…
26	Kubernetes and Docker Cloud Developer	Remote in Bridgeport, CT+2 locations	Frontier Technology Inc.	Estimated $104K - $131K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
27	Senior Consultant, Machine Learning & Operations	Stamford, CT	EXL Services	Estimated $106K - $134K a year	Collaborate with data scientists, data engineers, and other MLOps Engineers to solve complex problems and create unique solutions for MLOps.
28	Sr. Data Analyst/Manager	Stamford, CT	Insight Global	$50 - $68 an hour	6+ years of data analysis experience.Strong SQL skills (pulling data, writing complex queries).This person will be responsible for analyzing large amounts of…
29	Statistical Programmer - Remote	Remote in Fairfield, CT	Penfield Search Partners	Estimated $95.9K - $121K a year	Find data issue at analysis level during ADaM, TFL and report to data management.Experience in mapping oncology data.Experience with CDISC ADaM is a must.
30	Statistical Programmer/Outcome Research Stat Analyst - Remot...	Remote in Fairfield, CT	Penfield Search Partners	Estimated $85K - $108K a year	Strong programming skills in SAS / R programming and data analysis.Develop and implement rigorous QC processes and programming templates to ensure quality of…
31	Sr. Clinical Science SAS Programmer (Data Management side)/...	Remote in Fairfield, CT	Penfield Search Partners	Estimated $97.1K - $123K a year	Focused on developing and maintaining programming via SAS to support CSAI-OS review of clinical data as part of the integrated cross-function data cleaning…
32	SAT / ACT Tutor	Westport, CT 06880	Freudigman & Billings, LLC	From $75,000 a year	F&B was founded by cognitive scientists who wanted to see the patterns under the noise in standardized tests.Think back to your standardized testing experience…
33	Scientist II	Ridgefield, CT 06877	MaxisIT Inc	$35 - $38 an hour	Proficiency with computers and familiarity with data analysis software (GraphPad, FlowJo, etc) is a plus.Design, plan and execute experiments in an independent…
34	Scientist I, Medicinal Chemistry	New Haven, CT (Downtown area)+3 locations	Alexion Pharmaceuticals,Inc.	Estimated $82.9K - $105K a year	Act as an exemplary, data-driven scientist.Analyze screening data, perform literature reviews, design, propose, and execute medicinal chemistry plans,…
35	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
36	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
37	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
38	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
39	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
40	Software Data Engineer	New Haven, CT 06511 (Long Wharf area)	BioXcel Therapeutics	Estimated $97K - $123K a year	Experience mining and integrating databases and developing data visualizations.He/She will work with the Artificial Intelligence and neuroscience group to…
41	Associate Director, Statistical Programming Early Phase	Hybrid remote in New Haven, CT	Alexion Pharmaceuticals,Inc.	Estimated $116K - $146K a year	Provide training to internal staff on various data standards topics.Practical experience of leading data standards initiatives (internal or external).
42	Principal ML & NLP Engineer	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
43	Machine Learning & Operations Lead	Stamford, CT	EXL Services	Estimated $117K - $148K a year	Collaborate with data scientists, data engineers, and other key stakeholders to solve complex problems and create unique solutions for MLOps.
44	Principal Clinical Data Manager	New Haven, CT (Downtown area)	Alexion Pharmaceuticals,Inc.	Estimated $149K - $189K a year	High proficiency with technology associated with current and evolving data management practices, including electronic data capture and data aggregating, with…
45	Data Scientist	Stamford, CT 06902 (Waterside area)	Gartner	Estimated $86.6K - $110K a year	Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Given the broad areas that we are responsible for,…
46	Senior Data Scientist	Stamford, CT	Tenerity	Estimated $138K - $175K a year	Process various data types on the cloud (e.g., Data Lakes or Data Warehouses), augment and explore new data sources, translate complex data into meaningful…
47	Senior Director, Clinical Data Management	New Haven, CT (Downtown area)+1 location	Alexion Pharmaceuticals,Inc.	Estimated $152K - $193K a year	High proficiency with technology associated with current and evolving data management practices, including electronic data capture and data aggregating, with…
48	Director, People Analytics & Data Science	Stamford, CT 06902 (Waterside area)	Gartner	Estimated $136K - $172K a year	Analytical thinker who has experience and proficiency with various programming languages (e.g., Java, Python), statistical packages (e.g., SPSS, R, MatLab,…
49	Senior Data Scientist at Rent-to-Own Startup	Remote in Fairfield, CT 06824+11 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
50	Senior Data Scientist/Machine Learning Engineer	Remote in Fairfield, CT 06824+3 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
51	Data Plane Engineer	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
52	Machine Learning Engineer, Platform	Remote in Fairfield, CT 06824+1 location	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
53	Machine Learning & Operations Lead	Stamford, CT+1 location	EXL Services	None	Collaborate with data scientists, data engineers, and other key stakeholders to solve complex problems and create unique solutions for MLOps.
54	Senior Data Scientist	Trumbull, CT	Health Plan One	Estimated $104K - $132K a year	Understanding of various data structures and common methods in data transformation.Provide day to day supervision and oversight to team of data scientists.
55	Senior Data Scientist/Machine Learning Engineer	Remote in Fairfield, CT 06824+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
56	Machine Learning & Operations Lead	Stamford, CT	EXL Services	None	Collaborate with data scientists, data engineers, and other key stakeholders to solve complex problems and create unique solutions for MLOps.
57	Senior Consultant, Machine Learning & Operations	Stamford, CT	EXL Services	None	Collaborate with data scientists, data engineers, and other MLOps Engineers to solve complex problems and create unique solutions for MLOps.
58	Associate Data Scientist	Stamford, CT+3 locations	Humanity	Estimated $68K - $86.2K a year	Internship in a role as a data scientist.Establish links across existing data sources and find new, interesting data correlations.
59	Sr. Data Analyst	Stamford, CT	Humanity	Estimated $96.6K - $122K a year	Identify data sources and data attributes across and outside the company that will support the business needs.Analyze data to provide meaningful insights.
60	Data Scientist	Stamford, CT 06902 (Waterside area)+1 location	Gartner	Estimated $86.6K - $110K a year	Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Given the broad areas that we are responsible for,…
61	Senior Director, Clinical Data Management	New Haven, CT (Downtown area)+2 locations	Alexion Pharmaceuticals,Inc.	Estimated $152K - $193K a year	High proficiency with technology associated with current and evolving data management practices, including electronic data capture and data aggregating, with…
62	Senior Data Scientist/Machine Learning Engineer	Remote in Fairfield, CT 06824+9 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
