	Title	Location	Company	Salary	Synopsis
0	Head of Data Science	Boston, NY+1 location	Ropes & Gray	Estimated $110K - $140K a year	Advise clients on strategies for building their own internal data science capabilities.Substantive experience with data extraction / manipulation using Python…
1	Data Analyst Senior	Williamsville, NY 14221	Associated Bank	Estimated $85.9K - $109K a year	Position requires understanding of the data sources with use of data mining, data collection, data mapping and data ownership.
2	Software Engineer - Machine Learning	Buffalo, NY 14225	CUBRC INC	Estimated $87.9K - $111K a year	The successful candidate will join a team of researchers and software developers to implement advanced data analysis algorithms and technologies using machine…
3	Kubernetes and Docker Cloud Developer	Remote in Buffalo, NY	Frontier Technology Inc.	Estimated $102K - $129K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
4	Data Scientist - Analytics	Remote in Buffalo, NY 14202	Anthology Inc	Estimated $100K - $127K a year	Raw data is inherently not consumable; the data scientist transforms this data into actionable summaries and models that empower our member campuses to make…
5	Data Scientist	Buffalo, NY 14211 (Grider area)	Edison Welding Institute Inc	Estimated $80.3K - $102K a year	Instrument sensors and plan data acquisition.Demonstrated expertise in data modeling including schema development and metadata curation.
6	Data Science Lead (Remote Available) - iMDS	Remote in Buffalo, NY 14202	iMedia Brands, Inc	Estimated $121K - $153K a year	Assess the effectiveness and accuracy of new data sources and data gathering techniques.Selection of the idea data science technologies and tools as part of…
7	Statistical Programmer - Entry Level	Amherst, NY 14226+1 location	Frontier Science	Estimated $58.2K - $73.8K a year	As a Statistical Programmer, this role is responsible for supporting the organization’s statisticians, data managers, and other staff through the use of SAS in…
8	Software Engineer - Machine Learning	Buffalo, NY 14225	CUBRC INC	Estimated $96.7K - $122K a year	The successful candidate will join a team of researchers and software developers to implement advanced data analysis algorithms and technologies using machine…
9	Head of Data Science	Boston, NY+1 location	Ropes & Gray	Estimated $120K - $152K a year	Advise clients on strategies for building their own internal data science capabilities.Substantive experience with data extraction / manipulation using Python…
10	Data Analyst Senior	Williamsville, NY 14221	Associated Bank	Estimated $83.4K - $106K a year	Position requires understanding of the data sources with use of data mining, data collection, data mapping and data ownership.
11	Kubernetes and Docker Cloud Developer	Remote in Buffalo, NY	Frontier Technology Inc.	Estimated $98K - $124K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
12	Data Scientist - Analytics	Remote in Buffalo, NY 14202	Anthology Inc	Estimated $98.9K - $125K a year	Raw data is inherently not consumable; the data scientist transforms this data into actionable summaries and models that empower our member campuses to make…
13	Data Scientist	Buffalo, NY 14211 (Grider area)	Edison Welding Institute Inc	Estimated $78.6K - $99.6K a year	Instrument sensors and plan data acquisition.Demonstrated expertise in data modeling including schema development and metadata curation.
14	Data Scientist	Remote in Buffalo, NY 14203	SomaDetect	None	Work collaboratively with other data scientists, software developers and engineers to integrate algorithms into a complete product.
15	Statistical Programmer - Entry Level	Amherst, NY 14226+1 location	Frontier Science	Estimated $66.8K - $84.6K a year	As a Statistical Programmer, this role is responsible for supporting the organization’s statisticians, data managers, and other staff through the use of SAS in…
16	Data Science Lead (Remote Available) - iMDS	Remote in Buffalo, NY 14202	iMedia Brands, Inc	Estimated $122K - $155K a year	Assess the effectiveness and accuracy of new data sources and data gathering techniques.Selection of the idea data science technologies and tools as part of…
