	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Charlotte, NC 28202	Driven Brands, Inc.	Estimated $110K - $139K a year	Mentor and guide data scientist and analysts in statistics and machine learning.2-4 years of experience in a data scientist, or similar, role building and…
1	Data Mining Analyst-salary with sizable lead incentives	Charlotte, NC 28202 (Downtown Charlotte area)	Linden Thomas & Company	$35,000 - $50,000 a year	Utilizing programming languages (python, C#, java, etc.) to scrape data from websites.Rapidly growing, nationally recognized private wealth management firm is…
2	Senior Director of Data Science	Remote in Charlotte, NC 28244	DIRECTV	$169,300 - $338,500 a year	The DIRECTV Chief Data Office is looking for a creative, highly motivated Director of Data Science to provide technical and thought leadership to a team of data…
3	Senior Data Scientist	Remote in Charlotte, NC 28204	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
4	Senior Data Scientist	Temporarily Remote in Charlotte, NC	Brooksource	$120,000 - $130,000 a year	Research latest and best solutions to solve data challenges at hand.Proficient modeling in Python, data wrangling in SQL relational database.
5	Data Scientist	Hybrid remote in Charlotte, NC	Comcentric	Estimated $101K - $127K a year	Create data visualizations, reports, dashboards, and data audits.Build, deploy, and maintain data management systems and front-end data.
6	Data Scientist with background in Lending/mortgage/banking e...	Charlotte, NC	Resiliency LLC	Estimated $105K - $132K a year	Support data science projects such as customer segmentation and predictive analysis, provide input to quarterly forecasting process and short-term projection.
7	Senior Data Analyst	Charlotte, NC	Eteam Infoservices Private Limited	$55 - $60 an hour	The client is looking for two Senior Data Analysts to support our Enterprise Data Governance Program initiatives focused on data quality and analytics.
8	Prinicipal Data Scientist – Consumer Finance	Hybrid remote in Charlotte, NC 28203	AccruePartners	$120,000 - $140,000 a year	5 to 10 years of analytics and data science work experience.Knowledge of statistics, and skills with exploratory data analysis using Python, R or SAS.
9	Marketing Data Scientist	Charlotte, NC	Townsquare Interactive	Estimated $73.5K - $93.1K a year	2-4 years of experience in analytics/data science fields.Experience collaborating with senior management, translating data-driven insights into decisions and…
10	Data Scientist	Remote in Charlotte, NC	Circle	Estimated $114K - $144K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
11	Student Employee - Data Science	Charlotte, NC 28262 (University City North area)+4 locations	Electric Power Research Institute	Estimated $69.2K - $87.6K a year	Candidates will support subject matter experts and data scientists in a variety of data analysis tasks that may include: literature review; data review and…
