	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Charlottesville, VA 22902+2 locations	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
1	Bioinformatics Data Scientist	Charlottesville, VA 22911	Signature Science, LLC	None	A bioinformatics data scientist is responsible for providing experimental design consulting and data analysis for large, high-throughput genomic experiments,…
2	Data and Machine Learning Specialist	Charlottesville, VA 22910	Catalytic Data Science	Estimated $103K - $130K a year	A self-motivated data scientist with machine learning (ML) experience.Extensive experience applying ML techniques to large scale genomics and/or high…
3	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $87.7K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
4	Data Scientist - Performance Systems and Analytics	Charlottesville, VA 22903	Luna Labs USA LLC	Estimated $83.2K - $105K a year	Understand and design the data flow.Experience analyzing data from multiple sensors and fusing together to generate system assessments.
5	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	Estimated $115K - $146K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
6	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	Estimated $107K - $135K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
7	Senior Data Scientist	Charlottesville, VA 22903	Luna Labs USA LLC	Estimated $120K - $151K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
8	Data Scientist - Defense & Intelligence	Charlottesville, VA 22903 (Downtown area)	Elder Research Inc	Estimated $105K - $132K a year	Knowledge and experience in data wrangling, advanced statistical data analysis and modeling.3+ years of experience in a data science role.
9	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	Estimated $127K - $161K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
10	Intelligence Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	Estimated $98.5K - $125K a year	Conduct data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis as well as use scientific techniques…
11	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $125K - $158K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
12	Senior HR Workday Business/Data Analyst	Hybrid remote in Charlottesville, VA	The Rector & Visitors of the University of...	$110,000 - $120,000 a year	This position requires advanced Workday expertise and strong functional understanding of the data architecture within Workday.
13	9070 - Intelligence Data Scientist*	Charlottesville, VA 22911	Integral	Estimated $101K - $128K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
14	Principal Machine Learning Engineer	Remote in Charlottesville, VA 22902	SafeGuard Cyber	Estimated $161K - $204K a year	By securing new communication channels, our customers can focus on driving growth and revenue.We are looking for an experienced Principal Machine Learning…
