	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in Ohio	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Senior Data Scientist	Mason, OH 45040	FRISS | fraud, risk & compliance	Estimated $106K - $134K a year	You are experienced with statistical computer languages to manipulate data and draw insights, as well as working with and creating data architectures.
2	Associate, Data Science	Remote in Cincinnati, OH 45202	ENGINE Group	Estimated $51K - $64.6K a year	Learn the use and limitations of data from various sources, big data, behavioral data, client data, and how to leverage it to solve client needs.
3	Data Scientist	Cincinnati, OH 45202 (Central Business District area)	The E.W. Scripps Company	Estimated $84.5K - $107K a year	Develop of data flows and acquisition strategies to facilitate the capture and sharing of data and analytics within the organization.
4	Data Scientist	Cincinnati, OH 45255	Reliable Transportation Solutions	Estimated $68.5K - $86.7K a year	Proven desire and ability to stay engaged with current data trends and stay a lifelong learner.Work directly with the COO, our Dev Team, and team leaders to…
5	Data Scientist	Cincinnati, OH	Softnice Inc	$47,887 - $70,758 a year	Ability to handle different file formats, data structures to consume data for analysis.Strong data exploration, manipulation, visualization skills with Python…
6	Data annotation specialist	Hybrid remote in Cincinnati, OH 45202	ThorDrive Inc	$18 - $22 an hour	Communication with labeling company: delivering data and job description and checking the schedule.Sampling key frame (image containing important target…
7	Senior Data Scientist	Remote in Cincinnati, OH 45236	Claritas Llc	Estimated $108K - $137K a year	Innovative thinking around different methods to enhance data offerings.Experience working with cloud based or big data technologies.
8	Associate Data Scientist I	Mason, OH	UST Global	Estimated $83.8K - $106K a year	Analyze data for trends and patterns, and Interpret data with a clear objective in mind.7+ years’ experience in data science.
9	IT Data and Business Analyst (Entry Level)	Hamilton, OH 45015	United Performance Metals, LLC	Estimated $50.1K - $63.5K a year	Participate in, encourage, and enable a culture that promotes data-driven decisions backed by investigation and collaboration around data.
10	Senior Data Scientist	Cincinnati, OH	Illumination Works LLC	Estimated $127K - $160K a year	Experience with data sourcing, data cleansing, and data preparation.Integrate and extract relevant information from large amounts of structured and…
