	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Cleveland, OH 44139	Superior Beverage Group	Estimated $74.8K - $94.8K a year	Build custom data sources using your data wrangling skills.Gather data inputs from multiple sources and develop workflows for processing data.
1	Sr. Data Scientist I - CRM	Brook Park, OH 44142	Bridgestone Retail Operations, LLC.	Estimated $111K - $141K a year	Ability to work with large data sets from multiple data sources.Manipulates large data sets from multiple data sources to derive insights or create new…
2	Principal Statistical Analyst/Data Scientist	Brook Park, OH 44142	Bridgestone Retail Operations, LLC.	Estimated $128K - $162K a year	Manipulates large data sets from multiple data sources to derive insights or create new analytical solutions.Expert in Predictive Learning and Machine Learning…
3	Senior Data Analyst	Remote in Ohio	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Data Scientist	Cleveland, OH 44114 (Downtown area)	Metlife Legal Plans	Estimated $84.2K - $107K a year	At least 5 years of experience in a data science or data analyst related role.Proficiency in handling imperfect and complex data.
5	Research Data Scientist	Hybrid remote in Wickliffe, OH 44092+3 locations	Lubrizol Corporation	Estimated $92.1K - $117K a year	Create predictive models by mining complex data.Ability to mine complex data resulting in practical insights.Lead efforts in algorithm and method development.
6	Associate Data Scientist	Beachwood, OH 44122	INISGHT2PROFIT	Estimated $71.7K - $90.7K a year	Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering, strategic pricing and implementation.
7	Sr. Data Analyst	Broadview Heights, OH	Sotera Health	Estimated $83.8K - $106K a year	Experience with complex data environments – developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting; leveraging…
8	Data Scientist	Glenwillow, OH 44139	Superior Central Bev Master	Estimated $74.8K - $94.8K a year	Build custom data sources using your data wrangling skills.Gather data inputs from multiple sources and develop workflows for processing data.
9	Mathematician	Cleveland, OH 44144	Arrow International	Estimated $64.4K - $81.6K a year	Advanced data analysis and reporting skills.Create complex data tables, simulations, and QA testing to demonstrate probability-based game play, volatility,…
10	Practice Lead, Data Science	Remote in Cleveland, OH 44113+2 locations	Pandata, LLC	$100,000 - $120,000 a year	Provide thought leadership and produce content to drive sales and delivery of innovative data science consulting solutions.Prior experience scaling a startup.
11	Data Scientist	Cleveland, OH 44114 (Downtown area)	AmTrust Financial Services, Inc.	Estimated $76.3K - $96.7K a year	As a Data Scientist, you will unveil insights in our data that will allow us to improve the decision-making process both at an operational and strategic level.
12	Data Plane Engineer	Remote in Cleveland, OH 44109	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
13	Data Science Associate - Leadership Development Program	Avon Lake, OH+1 location	Avient	Estimated $45.5K - $57.7K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
14	Data Analyst Mid or Senior Remote	Remote in Mayfield Village, OH+1 location	Progressive	$54,800 - $88,400 a year	As a Data Analyst on the Personal Lines Quality Management (PLQM) Analytics team, you’ll create high risk Rate Revision controls by working with Product…
