	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Washington, DC	US Federal Aviation Administration	$112,187 - $173,922 a year	U.S. Citizens, Nationals or those who owe allegiance to the U.S.Also open to those eligible for 30% or more Disabled.
1	Early career data scientist / analyst / statistical genetici...	Washington, DC	Data Tecnica	None	This will focus on running and refining standard analysis, data management and data visualization workflows.Scope of research: Supporting cloud based analysis…
2	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
3	Data Analyst (Scientist)	Washington, DC	Aurotech, Inc.	Estimated $105K - $133K a year	Independently using data to answer questions.Using methods of exploratory data analysis and.Demonstrating ability to identify when data is insufficient.
4	Data Scientist	Arlington, VA	Two Six Technologies	Estimated $90.6K - $115K a year	Track record of turning data insights into product growth opportunities.Use neural networks and other techniques to leverage our unlabeled data.
5	Senior Data Scientist	Washington, DC	MissionWired	$85,000 - $135,000 a year	Experience managing data warehouses and/or data lakes;Ability to build and optimize data pipelines, architectures, and data sets;
6	Data Scientist	Arlington, VA	Sealing Technologies, Inc.	Estimated $100K - $127K a year	Develop custom data models and algorithms to apply to data sets.The ideal candidate is adept at mining large data sets to breakdown data, find trends, as well…
7	Data Scientist	Remote in McLean, VA	SYNTASA	Estimated $97.9K - $124K a year	Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches.
8	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$101,500 - $156,100 a year	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.
9	Data Scientist	Temporarily Remote in Washington, DC	U.S. Mint	$106,823 - $138,868 a year	Develop algorithms that extract, transform, and load data from operational data stores into data marts and/or a data warehouse, develop the algorithms that…
10	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Experience organizing and analyzing data sets using data analytical tools, and creating and implementing data collection and analysis tools, utilizing…
11	Senior Data Scientist	Remote in Arlington, VA	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…
12	Data Scientist	McLean, VA 22102+3 locations	Peraton	Up to $140,421 a year	Handle processing and index requests against high-volume collections of data and high-velocity data streams.Requires strong technical and computational skills …
13	Data Scientist Associate	Arlington, VA 22202 (Aurora Highlands area)	American Institutes for Research	None	Develop systems for maintaining and checking the accuracy of data for assigned projects.Support efforts to collect, compile, validate, interpret, and analyze…
14	Data Scientist	Bethesda, MD 20810	GAP Solutions, Inc.	Estimated $83.1K - $105K a year	Assist with technical data science consultations across a broad range of ODSET and NIAID activities; has technical expertise in subareas of data science.
15	Data Scientist (Junior)	Springfield, VA+1 location	Allen Integrated Solutions	Estimated $74K - $93.8K a year	Demonstrated experience developing descriptive, predictive, or prescriptive analytics to sense-make structured and unstructured data.
16	Senior Data Scientist	Remote in Washington, DC	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
17	Lead Data Scientist	Temporarily Remote in McLean, VA	Harmonia Holdings Group, LLC	Estimated $114K - $144K a year	Should have demonstrated experience overseeing enterprise-level data analytic efforts of similar size and scope to this contract.
18	Senior Data Scientist	McLean, VA 22102	Piper Companies	Estimated $128K - $162K a year	Autonomous end-to-end statistical model creation, Including but not limited to identifying objectives, compiling data, sampling/prepping data, feature selection…
19	Senior Data Scientist	McLean, VA 22102	Peraton	Up to $244,150 a year	Handle processing and index requests against high-volume collections of data and high-velocity data streams.Has used advance tools and computational skills to…
20	Data Scientist	Bethesda, MD 20892	Dovel Technologies, LLC	Estimated $113K - $143K a year	Conduct educational courses on data science and data sharing techniques.Provide support on integration of data acquisition software and data analysis…
21	Data Scientist (Temporary)	Washington, DC 20005 (Downtown area)	Municipal Securities Rulemaking Board	Estimated $76K - $96.2K a year	Transform data trends into presentation charts and graphs (data visualization).Assists with data mining and data analysis in relation to minority…
22	Data Scientist (Remote)	Remote in Washington, DC	Kitcheck	Estimated $126K - $159K a year	Prior professional experience as a data scientist.Demonstrable history of contributing on data pipelines, predictive models and data-centered projects.
23	Data Scientist (College)	Washington, DC	Customer Value Partners, Inc	Estimated $77.1K - $97.7K a year	Collaborate with the project team to perform data analysis and build systems using data for descriptive or predictive analytics.SQL and the use of databases.
24	Lead Data Scientist	Bethesda, MD	CALIBRE Systems, Inc.	Estimated $111K - $140K a year	We are seeking a Lead Data Scientist who will work with a team of scientists to develop novel computational methods and software tools for analyzing…
25	Data Scientist	Bowie, MD	Exponent	Estimated $90.7K - $115K a year	Experience or capabilities in such subject areas as statistical data mining, analysis of reliability and life data, experimental design, or quality control…
26	Data Scientist	McLean, VA 22106+1 location	Varen Technologies	Estimated $114K - $144K a year	Experience working with data manipulation, analytic/business insight tools, and data visualization experience.TS/SCI clearance with polygraph required.
27	Business Intelligence Data Analyst	Remote in Arlington, VA	Interos, Inc.	$72,000 - $96,000 a year	Perform hands-on work with data analysis, data visualization, data validation and quality assurance.Rigorously and creatively mine and analyze data; ensure…
28	Data Scientist I	Washington, DC 20005 (Downtown area)	NCQA	Estimated $68K - $86K a year	Support senior data and research scientists.May have experience with survey data analysis.Working with claims-based data a plus.
29	Data Scientist/Data Engineer	Vienna, VA	SOSi	Estimated $95.4K - $121K a year	Providing models to help prep and clean data sets for usage throughout the data-pipeline.Working within the data-engineering team to propose and implement AI…
30	Data Scientist, Client Services	Remote in Washington, DC 20005	Morning Consult	None	This could include developing R packages to clean data, evaluate/interpret results, streamline data collection, or present data in new ways.
31	Data Scientist	Washington, DC	AArete	Estimated $93.4K - $118K a year	Develop custom data models and algorithms to apply to data sets.Experience performing data quality assurance and manipulation and.
32	Data Scientist III - 100% Remote	Remote in Bethesda, MD 20814	Radian	$116,400 - $180,400 a year	Deep experience with data pipelines, data tools, and data organization for analytics.Comprehensive understanding of data structures, data modeling and software…
33	Data Science Trainee	Rockville, MD 20852+1 location	Axle Informatics	None	Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.
34	Data Scientist	McLean, VA	Cognitio	Estimated $125K - $158K a year	Experience working with data manipulation, analytic/business insight tools, and data visualization experience.
35	Data Scientist	McLean, VA	Byte Systems	Estimated $158K - $200K a year	(Desired) Demonstrated experience enabling effective data discovery and data integration to support analysis from diverse sources.
36	Data Scientist	McLean, VA	Avantus Federal	Estimated $115K - $146K a year	The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical.
37	Data Scientist	Falls Church, VA 22042	Core Interface Corporation	Estimated $89.5K - $113K a year	Working with large, complex, and disparate data sets.Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation.
38	Data Scientist	Bethesda, MD 20814	LiveAction	Estimated $105K - $133K a year	This person will function as a member of a team of data scientists responsible for the ThreatEye NDR portfolio.3+ Years Data Science Experience.
39	Data Scientist	Remote in Annapolis Junction, MD 20701	Federal Data Systems, Inc	Estimated $101K - $128K a year	FedData Technology Solutions, LLC is seeking a Data Scientist with Data Analytics (DA), Artificial Intelligence (AI) and Machine Learning (ML) for hands on work…
40	EERC - Junior Data Scientist	Washington, DC 20032 (Anacostia area)	Prescient Edge Federal	Estimated $69.2K - $87.6K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
41	Data Scientist	Washington, DC	QVine Corporation	Estimated $98.1K - $124K a year	The Data Scientist handles raw data (e.g. structured, unstructured, and mixed datasets), and analyzes data through the application of various statistical…
42	Senior Data Scientist	Merrifield, VA 22082	VSolvit LLC	Estimated $129K - $164K a year	Create insights from existing DEA data, and drive the collection of new data and ways to address new data.Work with large DEA data using descriptive statistics…
43	Image Data Scientist	Lorton, VA	QinetiQ	Estimated $123K - $156K a year	Perform Radar data processing as an expert aiding and leading a team of data scientists to apply machine learning techniques to Radar imagery.
44	Economist / Statistician	Washington, DC	US Consumer Financial Protection Bureau	$83,282 - $170,560 a year	U.S Citizens or U.S. Nationals; No prior federal experience is required.
45	Data Scientist	Arlington, VA 22202 (Aurora Highlands area)	Areté	Estimated $89K - $113K a year	Mathematical ability and experience with physical data;Train deep neural network (DNN) and feature-based algorithms for classification and regression on…
46	Project Manager Consultant - Data Platform and Search Applic...	Washington, DC 20577 (Downtown area)	Inter-American Development Bank	Estimated $104K - $132K a year	Continuously monitor data related to product performance, feedback and adoption.Gather inputs for project requirements via research, data analysis, and…
47	Data Scientist, Washington DC	Washington, DC	Rhombus	Estimated $117K - $148K a year	Validation and quality assurance of data, models and results.Large-scale data processing and implementing batch processing pipelines in HPC or cloud…
48	Data Scientist	McLean, VA+3 locations	Coverent	Estimated $100K - $127K a year	Experience extracting insights from social media data using data analysis techniques.General understanding of data coding, data integrity, and statistical…
