	Title	Location	Company	Salary	Synopsis
0	Data Scientist - Aerospace	Remote in Colorado Springs, CO 80919	Peraton	Up to $202,400 a year	Analyzes space weather data to determine designs and calculations related to Time series data from LaGrange station keeping satellites.
1	Data Scientist	Remote in Colorado Springs, CO 80919+1 location	ISSAC Corp	Estimated $84.1K - $106K a year	Helping customers exploit their data in novel ways.Have a degree and experience in data science.Have BIG data experience – actual experience not academic or…
2	Senior Data Scientist at Rent-to-Own Startup	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
3	Machine Learning-Data Engineer	Colorado Springs, CO 80919 (Northwest Colorado Springs area)	Verizon	$117,000 - $218,000 a year	Design, review, and optimize data ingestion and transformation processes in streaming, relational databases, and/or NoSQL in cloud environments, to deliver the…
4	Principal Data Scientist	Colorado Springs, CO 80919 (Northwest Colorado Springs area)+2 locations	Verizon	$108,000 - $200,000 a year	Expertise in data management and data analysis in relational database and in Hadoop.Serving as a subject matter expert on machine learning and predictive…
5	Data Analyst Clinical Quality Sr-Clinical Data Resources	Colorado Springs, CO+1 location	UCHealth	$33.82 - $50.73 an hour	Performs and reports advanced data analysis.Educates users with varying expertise in data analytics.5 years of relevant data analysis work experience.
6	Senior Data Scientist	Colorado Springs, CO 80914 (Powers area)	Prescient Edge Federal	Estimated $117K - $148K a year	Prescient Edge is seeking a Senior Data Scientist to support a Federal government client.A competitive salary with performance bonus opportunities.
7	Data Scientist SME TS/SCI	Colorado Springs, CO 80916 (Southeast Colorado Springs area)	KBR	$135,000 - $180,000 a year	Experience in data warehousing, data modeling, and/or data analysis.Develop conceptual, logical, and physical data models to support data analysis.
8	Training and Placement in java, salesforce, Data Science	Colorado Springs, CO 80903 (Central Colorado Springs area)	TechIntelli Solutions, Inc.	$50,000 - $90,000 a year	Big data Developer and all technology's related to IT.These training programs will last approximately 4 to 5 weeks.
9	Senior Data Scientist/Machine Learning Engineer	Remote in Colorado Springs, CO 80903+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
10	Staff Data Scientist - REMOTE USA	Remote in Colorado Springs, CO	Mandiant	$160,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.
11	TSR Data Science SE5	Colorado Springs, CO	MOSAIC Technologies Group	Estimated $140K - $177K a year	Maintaining awareness of commercial data standards and community data standardization activities.This includes systems and data architecture and integration,…
12	INTELLIGENCE INTEGRATOR / DATA SCIENTIST	Colorado Springs, CO	Ignite Fueling Innovation	$80,000 - $120,000 a year	Provide database consultation, graphical data visualizations, and recommendations for quantitative data selection, intelligence collection & integration;
13	Data Scientist (Teleworking |Some On-site work)	Colorado Springs, CO 80912	PeopleTec, Inc.	Estimated $89.5K - $113K a year	Develop the most valuable data product for data analytics.Able to understand various data structures and common methods in data transformation.
14	Data Plane Engineer	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
15	CDOC Statistical Analyst I (Colorado Springs)	Colorado Springs, CO	State of Colorado Job Opportunities	$4,500 - $6,588 a month	Identify priority areas for research, including data management, and collaborate with program staff to improve the tracking and reporting of quality data…
16	Senior Data Scientist	Colorado Springs, CO	IPS, Inc.	$103,677 - $198,992 a year	Develop the most valuable data product for data analytics.Able to understand various data structures and common methods in data transformation.
17	Software Engineer Machine Learning/Data Scientist	Colorado Springs, CO 80920 (Briargate area)	Sanborn Map Company	$70,000 - $105,000 a year	Familiarity with exploiting remote sensing data and imagery data.Familiar with working and handling big data.Deliver ML/DL projects from beginning to end.
18	Data Scientist SME TS/SCI	Colorado Springs, CO 80903 (East Colorado Springs area)	Cortina Solutions	Estimated $132K - $167K a year	Experience in data warehousing, data modeling, and/or data analysis.Develop conceptual, logical, and physical data models to support data analysis.
19	NLP Engineer at Speech to Text Start Up	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	Estimated $122K - $155K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
20	Artificial Intelligence (AI) / Machine Learning (ML) Special...	Colorado Springs, CO 80902	Jacobs	$214,000 - $236,000 a year	Creates AI / ML models to run systematic processes on raw data and selecting models that pull the most relevant information from collected data to assist…
21	Program and Data Analyst	Colorado Springs, CO	Lukos	Estimated $99.7K - $126K a year	Minimum of 5 years working in data analytics.You will conduct data analysis of a variety of systems (some cloud based) to help develop business decision…
22	Data Engineer Mid-Level	Colorado Springs, CO 80912	IPS, Inc.	$80,000 - $135,000 a year	Proficient in data security management.Big data: 2 years (Preferred).Design, create, build & maintain ETL data pipelines.
23	Hybrid Data Scientist (Mid - Sr. Level)	Colorado Springs, CO 80912	BlueHalo	Estimated $89.8K - $114K a year	Develop the most valuable data product for data analytics.Able to understand various data structures and common methods in data transformation.
24	Machine Learning Engineer	Colorado Springs, CO	IPS, Inc.	$55,000 - $85,000 a year	We specialize in bringing the latest technology to difficult problems and your job will be to make amazing solutions a reality.Job Types: Full-time, Part-time.
25	Deep Learning Audio Engineer	Colorado Springs, CO 80903 (Central Colorado Springs area)	Expect Engineering Solutions	$90,000 - $120,000 a year	Computer Vision, R&D, Video Processing Algorithms.Seeking a Deep Learning Audio Engineer for a full-time/perm placement in Colorado Springs, Colorado.
26	Principal ML & NLP Engineer	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
27	Senior Systems Engineer / Data Analyst	Colorado Springs, CO 80906 (Southwest Colorado Springs area)	General Dynamics Mission Systems, Inc	$101,000 a year	Experience creating data visualizations or contextually tailored graphs.Continually finding ways to innovate and improve data analysis practices and tools.
28	Space Force Data-Transport Architect	Colorado Springs, CO	SAIC	$125,001 - $150,000 a year	This position is for a data transportation SME, which requires knowledge in the areas of command and control (C2), radiofrequency (RF) properties, data…
29	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
30	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
