	Title	Location	Company	Salary	Synopsis
0	Senior Director of Data Science	Remote in Columbus, OH 43279	DIRECTV	$169,300 - $338,500 a year	The DIRECTV Chief Data Office is looking for a creative, highly motivated Director of Data Science to provide technical and thought leadership to a team of data…
1	Data Scientist	Dublin, OH 43017	AdVon Commerce	From $95,000 a year	This role is ideal for someone who has solid mathematical background, domain experience in statistical analysis, data mining, information retrieval, or machine…
2	Senior Data Analyst	Remote in Ohio	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
3	Data Scientist ( Hybrid in Columbus, OH)	Columbus, OH 43215 (Downtown area)+1 location	CyberCoders	$100,000 - $110,000 a year	Write complex SQL queries efficiently to prepare data to support reporting, advanced analytics, and data visualization.
4	Data Scientist I, Pricing R&D	Columbus, OH	Root Inc.	Estimated $80.4K - $102K a year	Working alongside a combination of actuaries and data scientists, you'll leverage modern statistical techniques to build on our pricing capabilities and more…
5	Sports Science and Data Fellowship	Columbus, OH 43211 (South Linden area)	Haslam Sports Group	Estimated $30K - $38K a year	Perform regular correlative data studies looking for performance trends.Demonstrated experience in collecting and analyzing large data sets.
6	Data Scientist	Lewis Center, OH 43035	Superior Beverage Group	Estimated $74.8K - $94.8K a year	Build custom data sources using your data wrangling skills.Gather data inputs from multiple sources and develop workflows for processing data.
7	Data Scientist	Columbus, OH	TWO NIL	Estimated $105K - $133K a year	Collaborate with Data Engineering in productionizing and deploying data science applications.Familiarity with end-to-end data science workflow and various…
8	Data Scientist Sr. - Principal (Financial Risk Modeling)	Columbus, OH 43215 (Downtown area)	American Electric Power	Estimated $99.1K - $125K a year	Apply data visualization tools to large data sets to enhance data understanding.Mentor junior data scientists on technical methodology and business acumen.
9	Data Scientist III (remote/hybrid opportunity)	Remote in Columbus, OH 43206	Grange Insurance Company	Estimated $86.9K - $110K a year	Proven skills in data management and data extraction working with large data sets preferred.Determines and conducts appropriate exploratory data analysis…
10	Senior Data Scientist at Rent-to-Own Startup	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
11	Senior Data Scientist/Machine Learning Engineer	Remote in Columbus, OH 43210+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
12	Senior Data Scientist	Dublin, OH 43017	Illumination Works LLC	Estimated $127K - $160K a year	Experience with data sourcing, data cleansing, and data preparation.Integrate and extract relevant information from large amounts of structured and…
13	Data scientist	Columbus, OH	Intone Networks	Estimated $108K - $137K a year	As we advance our data science and analytics capabilities, we need experts in machine learning, big data processing, large scale computing, who have a passion…
14	Data Scientist (Remote)	Remote in Columbus, OH 43004	Steel Point Solutions L	Estimated $122K - $154K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
15	Senior Data Analyst	Columbus, OH 43215 (Brewery District (including Whittier Peninsula) area)	Immuta	Estimated $105K - $133K a year	Is nerdy about data and data visualization.Immuta is the leader in automated data access so that organizations can achieve data compliance.
16	Data Scientist	Columbus, OH 43215 (Downtown area)	State Auto Insurance Companies	Estimated $91.2K - $115K a year	3-5 years’ experience in data science, data mapping, integration, database design and analytical reporting required.Distributed computing experience a plus.
17	Sr. Data Engineer - Medical Data and Analytics	Dublin, OH 43017	Cardinal Health	$91,000 - $135,500 a year	This role will have expertise in data movement and database technologies support data analytics and reporting capabilities.
18	Senior Data Scientist	Columbus, OH 43202 (Clintonville area)	American Chemical Society	Estimated $110K - $139K a year	Data scientists add business value by leveraging vast quantities of data and building accurate mathematical models.Ability to travel as required.
19	Data Plane Engineer	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
20	Statistical Programmer	Columbus, OH 43085 (Worthington area)	Saama Technologies Inc	Estimated $90.6K - $115K a year	 Programming in Python/SAS for analyzing data and producing SDTM, Safety ADaM and. To provide details or data to the supervisor for updating the matrices on…
21	Market Research Analyst	Columbus, OH	American Chemical Society	Estimated $73.9K - $93.5K a year	Uses statistical methods to analyze research data to identify business-relevant patterns and trends that generate actionable insights within specified…
22	Statistician	Sunbury, OH 43074	Genesis Biotechnology Group	Estimated $78.5K - $99.3K a year	Experience in SAS® programming for data cleaning and database design.The qualified individual will provide statistical consulting and aid in the composition of…
23	Machine Learning Engineer	Columbus, OH 43212	Path Robotics	Estimated $113K - $144K a year	Collaborate with software and hardware teams to build data and model pipelines.Create and apply new approaches to solve computer vision problems in image and…
24	Senior Data Analyst - Sales - Remote	Remote in Columbus, OH 43220+2 locations	Seamless.AI	None	Enhancing product data through improvement is our data algorithms for things like data accuracy, recommendations and more.Analytics certifications are a plus.
25	Senior Machine Learning Engineer	Remote in Columbus, OH+1 location	Nexient	Estimated $119K - $151K a year	Python expertise (data structures, coding patterns) along with common data, math and visualization libraries.Experience coding with popular frameworks.
26	Software Engineer, Data Platform	Columbus, OH	Path Robotics	Estimated $112K - $142K a year	Design and implement a massive data store and machine learning pipeline.You have experience creating at least one data management platform or machine learning…
27	Senior Business Data Analyst	Delaware, OH 43015	Zscaler	Estimated $89.5K - $113K a year	Proven track record of executing data roadmap for support groups by translating business data needs into functional and technical requirements for the data…
28	Senior Market Research Analyst	Columbus, OH 43202 (Clintonville area)	American Chemical Society	Estimated $92.2K - $117K a year	The Market Research, Strategy and Competitive Intelligence Lead will be primarily responsible for conducting secondary and primary market research, analyzing…
29	Lead, Enterprise Data Technologies	Delaware, OH	Greif	Estimated $117K - $148K a year	Provide technical expertise on data storage structures, data mining, and data cleansing.5+ years of experience developing ETL programs, creating meta data,…
30	Data Scientist/Senior Machine Learning	Hybrid remote in Columbus, OH	Nexient	Estimated $112K - $141K a year	Solid data engineering skills (large scale data processing in batch or stream, security and configuration best practices).Medical, dental, and vision coverage.
31	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Columbus, OH	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
32	Data & Analytics - Data Solutions Architect	Columbus, OH 43212	Avaap	Estimated $109K - $138K a year	Experience developing, architecting, and managing data solutions using enterprise data integration or ETL/ELT vendor technologies.
33	NLP Engineer at Speech to Text Start Up	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	Estimated $119K - $151K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
34	Senior Data Engineer - Remote	Remote in Columbus, OH 43220	Seamless.AI	Estimated $114K - $144K a year	5+ years of hands-on professional (not academic) experience in pioneering data engineering and/or big data.Experience/knowledge in our more major technical &…
