	Title	Location	Company	Salary	Synopsis
0	Data Scientist, Operations Data Science	Hybrid remote in Mountain View, CA	Google	None	2 years of relevant work experience (e.g., as a data scientist) or equivalent.4 years of relevant work experience (e.g., as a data scientist), including…
1	Data Scientist	Santa Clara, CA+1 location	Cimetrix	$150,000 - $200,000 a year	Ability to create model-ready data from raw data, at scale.Help design, implement, and validate the ML Pipelines while collaborating with other data scientists…
2	Data Scientist - New College Grad	Remote in Palo Alto, CA 94301+1 location	Wealthfront	Estimated $109K - $138K a year	The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and…
3	Data Scientist, User Experience	Mountain View, CA 94041 (Old Mountain View area)+24 locations	TikTok	None	We are looking for seasoned data analysts who have strong data analysis skills to identify high-impact opportunities.
4	Research Scientist, Deep Learning L001	Mountain View, CA 94041 (Old Mountain View area)+1 location	TikTok	Estimated $107K - $136K a year	Intelligent Creations focuses on conducting cutting-edge research and development in the area of Computer Graphics, Computer Vision, Augmented Reality and Deep…
5	Data Scientist	San Jose, CA	Amply Power	Estimated $83.9K - $106K a year	Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple systems.
6	Associate Data Scientist I	San Jose, CA	UST Global	Estimated $80.6K - $102K a year	Develop data-driven solutions for difficult business challenges.Creates reports depicting the trends and behaviours from the analysed data.
7	Data Scientist	Santa Clara, CA	Colsh Consultants	Estimated $105K - $132K a year	Interpret data and analyze results.Leverage Python to analyze complex data.Assess the potential usefulness and validity of new data sources.
8	Data Scientist	San Jose, CA	ELT Solutions	Estimated $94.4K - $120K a year	Work with data engineers to ensure the availability of accurate and timely data.Assess usability of new data sources.Demonstrate ability and job history of.
9	Research Scientist - Risk Data Mining	Mountain View, CA 94041 (Old Mountain View area)+6 locations	TikTok	Estimated $74.8K - $94.8K a year	Familiarity with data mining, data science or machine learning.Reason and communicate in result-oriented, data-driven manner.
10	Data Scientist (Analytics & Statistics Focus)	Fremont, CA 94538 (Baylands area)+1 location	Clip Health	Estimated $85K - $108K a year	Building analysis tools and data dashboards.Collaborating with scientists on the design of experiments.Experience applying unsupervised machine learning and…
11	Vitria Data Scientist	Remote in Menlo Park, CA 94025	Vitria Technology	Estimated $119K - $150K a year	Proven data science or data analysis experience.Experience analysis time-series data.Detect and correlate anomalies across disparate time-series data.
12	Data Scientist, Mountain View	Mountain View, CA	Rhombus	Estimated $111K - $141K a year	Validation and quality assurance of data, models and results.Large-scale data processing and implementing batch processing pipelines in HPC or cloud…
13	Senior Data Scientist	San Jose, CA	AppZen	Estimated $136K - $172K a year	You have 5+ years of non internship professional data science experience.Our patented artificial intelligence software uses deep learning, semantic analysis,…
14	Principal Data Scientist	Santa Clara, CA	Palo Alto Networks	$111,400 a year	Collaborate with data engineers to identify data preparation, cleansing, and ETL pipelines.Experience designing unsupervised machine learning algorithms using…
15	Data Scientist	San Jose, CA+2 locations	sharethrough	Estimated $112K - $142K a year	Present findings to data scientists and product managers to influence product roadmaps.Work with our data engineering team to make the data needed for your…
16	Data Scientist, Business Intelligence	Remote in Palo Alto, CA 94306	Jumio Corporation	Estimated $117K - $148K a year	Analyzing large volume transactional data.Optimize business processes thru use of data.Analyzing high volume data flows identifying complex patterns.
17	Applied Scientist, Machine Learning	Sunnyvale, CA	Amazon.com Services LLC	$262,800 - $350,000 a year	Exposure to high-velocity time series data processing techniques.You’ll be developing state-of-the-art machine learning skills daily and collaborating with…
18	Data Scientist	Menlo Park, CA	Gayathri's Sandbox	Estimated $98.2K - $124K a year	Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
19	Staff Data Scientist, Connectivity Data and Insights	Palo Alto, CA	Rivian Automotive	Estimated $140K - $178K a year	Deep knowledge of AWS technologies on big data.You will be responsible for providing insights to the business teams and fostering a data-driven decision-making…
20	Senior Data Scientist, Recommendation & TikTok Ecosystem, US...	Mountain View, CA 94041 (Old Mountain View area)+7 locations	TikTok	Estimated $126K - $160K a year	Use data and experiments to verify hypotheses around bottlenecks in product growth, and consult on the direction for improvement.
21	Lead Data Scientist, Risk Data Mining	Mountain View, CA 94041 (Old Mountain View area)+1 location	TikTok	Estimated $128K - $162K a year	Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks.
22	Data Scientist	Palo Alto, CA 94301 (Downtown North area)	Step Mobile	Estimated $129K - $163K a year	5+ years experience in data engineering or data science.Help build the next generation of data products at Step.Stock in an early-stage startup.
23	Data Scientist	Remote in Cupertino, CA+1 location	Comcentric	$139,000 - $276,000 a year	Mentor and grow other software engineers, data scientists, and ML engineers across teams.Solid knowledge of data structures and algorithms.
24	Applied Data Scientist	San Carlos, CA 94070	Spring Discovery	Estimated $109K - $138K a year	You’re able to lead an analysis from the earliest stages of acquiring data all the way through to reaching conclusions from that data.
25	Data Scientist, Data Science and Analytics	Remote in Palo Alto, CA 94306	QuestBridge	Estimated $110K - $139K a year	Ability to leverage best coding practices to conduct data cleaning, data wrangling, analyses, and build data products.
26	Senior Data Scientist	Sunnyvale, CA 94086 (East Murphy area)	Fortinet	Estimated $132K - $167K a year	Tune the algorithms with customer data.Scale the algorithms on a big data platforms.Fortinet is currently looking for a talented individual to join our…
27	Data Scientist	Mountain View, CA 94043	Aromyx Corporation	Estimated $105K - $133K a year	Experience leveraging data analysis to construct strategic narratives.3+ years relevant experience within data science or analysis.
28	Head of Product Data Science, Workplace Management	Mountain View, CA+1 location	Atlassian	Estimated $156K - $198K a year	Lead a team of data science managers and plan insight and measurement roadmaps by collaborating with product partners, customer research, data engineers and…
29	Senior Data Scientist	Mountain View, CA	Tubular Labs	Estimated $142K - $179K a year	Develop and apply skills in challenging data science problems while working with petabyte-scale data sets.Enthusiasm to be an active and contributing member of…
30	Principal Data Scientist	Palo Alto, CA	BXGI	Estimated $120K - $152K a year	They are looking for an experienced scientist with a proven track record in taking ML and DL algorithms from concept to production.
31	VP of Data Science	Santa Clara, CA	Keewi	Estimated $116K - $147K a year	Be a jack of all trades in data: work on all stages of data science projects from understanding the data and the insights they provide to implementing solutions…
32	Principal/Senior Data Scientist, Proteomics	San Mateo, CA	PrognomIQ	None	Work closely in collaboration with laboratory and assay development scientists in order to design experiments and optimize our proteomics assays.
33	Staff Product Data Scientist	Palo Alto, CA	Celonis SE	Estimated $154K - $195K a year	Continuously engage in refining data engineering processes to ensure data accuracy, consistency, and integrity through continuous audit and review.
34	Data Scientist - Tiktok Ads, Growth Marketing	Mountain View, CA	ByteDance	Estimated $128K - $162K a year	Mentor and partner with embedded data scientists on individual channel teams to drive business performance.Examples of projects you would work on include, but…
35	Data Scientist - Tiktok Ads, Growth Marketing	Mountain View, CA 94041 (Old Mountain View area)	TikTok	Estimated $128K - $162K a year	Mentor and partner with embedded data scientists on individual channel teams to drive business performance.Examples of projects you would work on include, but…
36	Data Scientist	Redwood City, CA 94063 (Middlefield area)	MOLOCO	Estimated $95.6K - $121K a year	Data validation: verifying the data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get trained with…
37	PhD Residency Tapestry - Machine Learning/Time Series	Mountain View, CA+7 locations	Loon	Estimated $50.7K - $64.3K a year	You’ll be positively challenged and pushed professionally, in ways that you may have never experienced.To be placed on one of our confidential or public X…
38	Senior Data Scientist	Sunnyvale, CA 94086	NextNav	Estimated $113K - $143K a year	Demonstrated experience in rapid prototyping and an excellent data analyst of a variety of atmospheric, geospatial and time series data.
39	Senior Data Scientist - ZDX	San Jose, CA 95134 (North San Jose area)	Zscaler	Estimated $131K - $165K a year	Experience with big data tools like Hadoop, Spark, BigQuery or equivalent.Build tools to label data and work with domain experts to accelerate labeling of…
40	Principal Data Scientist	Santa Clara, CA 95054	Ordr, Inc.	Estimated $158K - $200K a year	10+ years industry experience as a senior or principal data scientist.An individual contributor role to help solve network security problems using advanced…
41	Machine Learning Engineer, Push Notification	Mountain View, CA 94041 (Old Mountain View area)+40 locations	TikTok	Estimated $100K - $127K a year	Solid experience with data structures or algorithms.Experience in one or more of the following areas: machine learning, recommendation systems, data mining or…
