	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Carrollton, TX 75006	Crescent Bank	Estimated $81.9K - $104K a year	Knowledge of data mining tools such as SQL, SAS, R and Python.Experience with statistical models and analytical work will also lead to success as well as…
1	Sr. Business Data Analyst	Dallas, TX 75201 (Downtown area)	Resolve Tech Solutions Inc.	$65 - $75 an hour	Develops data structures and pipelines to organize, collect, cleanse, and standardize data in order to generate insights and addresses reporting needs.
2	Data Scientist	Dallas, TX	The Burchell Group Inc.	$110,000 - $155,000 a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
3	Data Scientist II	Frisco, TX	Sublime Wireless Inc	$70 - $73 an hour	Extending company's data with third party sources of information when needed.Enhancing data collection procedures to include information that is relevant for…
4	Data Scientist II	Remote in Dallas, TX 75201	Federal Reserve Bank of Dallas	Estimated $89K - $113K a year	Hands on SQL experience obtaining data from data sources.Develop and maintain infrastructure systems that connect internal data sets; create new data…
5	Junior Data Scientist	Southlake, TX 76092	Conestoga Energy Partners LLC	Estimated $64.9K - $82.1K a year	Desire to grow into senior data scientist and become the company expert on all things data.This position is in-office.Interest in clean/renewable energy.
6	Data Scientist	Irving, TX	Data Xpander	Estimated $86.7K - $110K a year	They need to understand how the products are developed and even more important, as big data touches the privacy of consumers, they need to have a set of ethical…
7	Data Scientist	Dallas, TX 75261	Certegy Payment Solutions, LLC	Estimated $101K - $127K a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
8	Data Scientist (Onsite)	Dallas, TX 75211	Regional Finance	Estimated $89.8K - $114K a year	Experience in data mining, modeling and analyzing analytic.This position will utilize advance statistical skills to analyze data, portfolio performance trends,…
9	Machine Learning/Data Scientist	Plano, TX 75023	Connectedx Inc.	Estimated $87.6K - $111K a year	They will lead the full life cycle including data cleansing, feature creation, and iterative model selection.Use statistical and machine learning techniques to…
10	Data Scientist - Onsite - Frisco, TX	Frisco, TX 75034	ASK Consulting	$69,758 - $116,736 a year	Review data to identify discrepancies.Guide efforts to resolve erroneous data.Establish control reports to capture invalid data changes.
11	Data Scientist	Dallas, TX 75206 (M Streets area)	Hearst Media Services	Estimated $105K - $133K a year	We’re seeking an experienced data scientist to deliver that insight to us daily.You will join a team of data specialists but will “slice and dice” data using…
12	Data Scientist	Dallas, TX	Cyber Infotech	Estimated $91.3K - $116K a year	Identify patterns & trends in data, and provides insights to enhance business decision making.Build, implement and maintain predictive models through their…
13	Data Scientist	Remote in Dallas, TX	Circle	Estimated $118K - $149K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
14	Data Scientist	Dallas, TX 75238 (Northeast Dallas area)	RAPP	Estimated $103K - $130K a year	Our data science team partners closely with our Creative, Strategy, Analytics and Technology colleagues.We use our data, technology and creative smarts to make…
15	Data Scientist	Dallas, TX 75238 (Northeast Dallas area)	RAPP	Estimated $103K - $130K a year	Our data science team partners closely with our Creative, Strategy, Analytics and Technology colleagues.You code in R or Python and don't mind getting your…
16	Data Scientist	Dallas, TX 75201	AArete	Estimated $95K - $120K a year	Develop custom data models and algorithms to apply to data sets.Experience performing data quality assurance and manipulation and.
17	Data Scientist	Allen, TX 75013	Quantum Assurance International, Inc.	Estimated $80K - $101K a year	Work with data infrastructure / product engineering teams to define the data collection needs.Collaborate with leadership, product, analytics, and engineering…
18	Sr Data Scientist	Plano, TX 75074	Ad hoc Research	Estimated $109K - $137K a year	Solid data analysis and data transformation (ETL) skills.Strong analytical ability to find patterns, trends, and relationships across multiple datasets,…
19	Data Scientist - Advanced Analytics (REMOTE)	Hybrid remote in Richardson, TX 75080	State Farm	$69,115 - $169,250 a year	Experience with data cleansing, feature creation, feature selection, value imputation and dependent variable analysis.
20	Data Scientist (100% Remote)	Remote in Dallas, TX 75219	Frontdoor	Estimated $125K - $158K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
21	Senior Data Scientist/Machine Learning Engineer	Dallas, TX 75201 (Downtown area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
22	Information Security Data Scientist (Remote)	Remote in Dallas, TX	Lucid Technologies Inc	Estimated $116K - $147K a year	Sound understanding of business intelligence best practices, relational data structures, data modeling, data mart and reporting techniques.
23	Senior Data Scientist at Rent-to-Own Startup	Remote in Frisco, TX 75034+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
24	Data Scientist	Dallas, TX 75225 (North Dallas area)	Welltower	Estimated $97.3K - $123K a year	Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.
25	Developer/Data Engineer/Data Scientist, Fundamental Equities	Dallas, TX	Millennium Management LLC	None	Minimum of 1+ years of data engineering or quantitative experience required, preferably working with data at a bank or investment firm.
26	Principal Data Scientist	Lewisville, TX 75067	Full Cycle Services	$120,000 - $130,000 a year	Experience preparing, preprocessing, and analyzing data such as macroeconomics and other external data to monitor consumer financial health as well as monitor…
27	Senior Data Scientist/Machine Learning Engineer	Remote in Dallas, TX 75205+17 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
28	Senior Data Scientist - Sam's Technology	Dallas, TX (Downtown area)	Walmart Global Tech	From $100,000 a year	Build complex data sets from multiple data sources, both internally and externally.As a Data Scientist, you are responsible for building large data sets from…
29	Data Scientist - ML	Dallas, TX 75234	Photon	Estimated $116K - $147K a year	O Develop architecture blue print/solution design for AI/ML data pipeline and model training sandbox.Cloud Architecture and Design to serve AI/ML Models.
30	Data Scientist	Richardson, TX	ARGO	Estimated $91.5K - $116K a year	And machine learning methods to manipulate data and draw insights from large data sets.Experience with distributed data/computing tools.
31	Training and Placement in Java, Data Science, Data Engineeri...	Dallas, TX	TechIntelli Solutions, Inc.	$50,000 - $90,000 a year	Big data Developer and all technology's related to IT.These training programs will last approximately 4 to 5 weeks.Job Types: Full-time, Contract.
32	Data Science Engineer only on w2 immediate Hiring	Plano, TX 75093	American Unit	$41 - $71 an hour	Translating staffing forecast data to understand outliers in data, understanding shift, case mix and future staffing needs.(SQL, unix shell, python, pandas).
33	Senior Data Scientist	Dallas, TX	Kaizen Analytix	$70 - $90 a day	Integrate internal and external data sources, be comfortable working with both structured and unstructured data.
34	Principal Financial Data Scientist	Dallas, TX	Kaizen Analytix	$90 - $105 an hour	Hands on data extraction and data wrangling from internal and external systems using SAS, SQL, Python, R, etc.Familiarity with CECL Loss Forecasting Model.
35	Data Scientist - Remote	Remote in Dallas, TX 75254	Infinity Consulting Solutions, Inc.	$120,000 - $150,000 a year	Solid data manipulation skills with structured and non-structured data.Strong problem-solving skills and the ability to structure business problems into data…
36	Data Annotation Specialist, Plano, TX	Plano, TX 75075	Figure Eight Federal	From $14.42 an hour	This position plays a critical role in developing training data for Artificial Intelligence and Machine Learning capabilities.Job Types: Full-time, Temporary.
37	Senior Data Scientist || Onsite role in Dallas,TX	Dallas, TX 75342 (Downtown area)	Xiartech inc	$60 - $70 an hour	Continue to develop our data science capabilities through technical research, collaboration with subject matter experts (both internal and external) and new…
38	Senior Data Analyst	Remote in Dallas, TX 75201	High Level	Estimated $78.5K - $99.3K a year	Acquire data from primary data sources including Stripe,Chartmogul, Pendo and the HighLevel app, and maintain databases/data systems.
39	Data Scientist	Dallas, TX	Saatchi & Saatchi (We Are Saatchi)	Estimated $114K - $144K a year	5+ years of relevant data science and analytics experience.Strong ability to translate between data/technical problems and business impact.
40	W2 only for Data Scientist	Plano, TX	Core Tec IT Services Pvt. Ltd.	Up to $45 an hour	2-5 years of experience in a data scientist or data analytics role.Integrate internal and external data sources, be comfortable working with both structured…
41	Staff Data Scientist (Remote)	Remote in Dallas, TX	Quora	Estimated $125K - $158K a year	As a staff data scientist, you will draw on your experience to excel not only in your own work but also to elevate data's impact at a company-wide level.
42	Data Science/Machine Learning Engineer	Plano, TX 75024	mroads	Estimated $99.5K - $126K a year	2-5 years experience in a data scientist or data analytics role.Mroads is looking to hire *“Data Science/Machine Learning Engineer” *with one of fortune 500…
43	Analyst I, Statistical (226 Days) REVISED	Dallas, TX	Dallas Independent School District	$76,031 a year	Provide data support for the schools and central staff from the data platforms.Knowledge and/or experience with statistics and data reporting.
44	Staff Data Analyst	Dallas, TX 75201+1 location	Freedom Financial Network	Estimated $81.4K - $103K a year	You have a strong understanding on how data should be captured within products and services and are able to collaborate & guide the business and data…
45	Data Science and Machine Learning Engineer	Plano, TX	Comtec IT Services	Up to $52 an hour	O 2-5 years’ experience in a data scientist or data analytics role.O Provide analytical support to the organization by leveraging data mining tools and…
46	Data Scientist	Plano, TX+1 location	Comtec Information systems	$32 - $40 an hour	2-5 years’ experience in a data scientist or data analytics role.There is a position of Data Scientist in Plano, TX For 1 year on W2 (only US Citizens and…
47	Sr. Data Scientist	Irving, TX 75063 (Freeport/Hackberry area)	Cortex Management, LLC	Estimated $112K - $142K a year	Participate and lead data studies with external parties such as Transunion, Experian, Equifax and other data sources to improve the efficiency of the algorithms…
48	Associate Data & Machine Learning Engineer	Dallas, TX	Amazon Web Services, Inc.	$82,600 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.
49	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in Dallas, TX	Humanity	Estimated $94.3K - $119K a year	Uses logic to analyze data and capability to draw conclusions and convey or provide advice or consultation to business leaders.This is not an admin role.
50	Data Scientist	Remote in Irving, TX 75039	Peoplevisor LLC	Estimated $115K - $146K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
51	Sr. Data Analyst	Richardson, TX	VYL Systems	$50 an hour	\*Strong experience in data visualization and representation in Tableau and Excel including the development of dashboards and presenting data insights to…
52	Lead Data Scientist/Sr. Manager, Tableau	Dallas, TX 75201 (Downtown area)	Salesforce	$142,400 a year	The Di team is made up of data scientists, engineers, and analysts who are dedicated to driving product and distribution strategy with data-driven insights.
53	Data Scientist	Plano, TX 75025	Alagar	Estimated $120K - $151K a year	You will build data products that help our customers gain competitive advantage.Part of your job will be to evangelize analytics and help educate our clients…
54	Data Scientist / BigData Engineer	Plano, TX+1 location	COMTEC INFORMATION SYSTEMS	Up to $75 an hour	4 years of demonstrated experience in developing Big data solutions that support business analytics and data science teams.Added Bonus If You Have *.
55	Senior Data Scientist	Dallas, TX	FLYR Labs	Estimated $116K - $147K a year	3+ years of professional experience as a data scientist building models with direct commercial applicability.Our hyper-accurate contextual forecasts enable the…
56	Sr. Data Scientist	Addison, TX 75001	National Life Group	Estimated $112K - $142K a year	Strong knowledge of data architecture, data modeling and data integration best practices.In partnership with data analysts, data engineers, data architect and…
57	Entry-Level Data Scientist	Plano, TX 75024+1 location	Pinnacle Technical Resources	$47.79 an hour	2 to 5 years’ experience in a data scientist or data analytics role.Integrate internal and external data sources, be comfortable working with both structured…
