	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Dayton, OH 45439	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
1	Machine Learning Data Scientist	Dayton, OH 45469 (University Park area)	University of Dayton	Estimated $85.9K - $109K a year	Experience with data display and representations of complex data sets is valuable.The researcher would develop algorithms used to extract information from…
2	Data Scientist (remote)	Remote in Beavercreek, OH 45431+1 location	LinQuest Corporation	Estimated $93.4K - $118K a year	Expected to be able to adapt quickly to changing needs across several core areas, including data wrangling, data exploration, data analysis, and data…
3	Data Scientist	Dayton, OH	TACG Solutions	Estimated $68.1K - $86.3K a year	Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
4	Data Scientist	Beavercreek, OH 45431	The Perduco Group	Estimated $84.1K - $106K a year	Data-oriented personality with proficiency in using data query languages such as SQL and ability to understand various data structures and common methods in…
5	Senior Research Scientist – High Performance Computing and B...	Dayton, OH 45459	RNET Technologies	Estimated $122K - $155K a year	We are in need of a highly skilled computer scientist to perform research and development in the area of High Performance Computing and/or Big Data systems.
6	AFRL/RYA Supervisory Senior or Principal General Engineer, S...	Dayton, OH	AF Research Labs	$111,592 - $157,700 a year	The Multi-Domain Sensing Autonomy Division is a diverse team of 182 military, civilian and contractor personnel managing a growing ~ $400M five year portfolio…
7	Machine Learning Engineer	Beavercreek, OH 45431	Etegent Technologies, LTD	Estimated $99.9K - $126K a year	Provide expertise in data analytics and algorithm development supporting the integration and analysis of diverse data sources and develop machine learning, data…
8	Senior Data Scientist	Beavercreek, OH 45431	Illumination Works LLC	Estimated $127K - $160K a year	Experience with data sourcing, data cleansing, and data preparation.Integrate and extract relevant information from large amounts of structured and…
9	Research/Data Analyst, Senior	Dayton, OH	HX5, LLC	Estimated $80.3K - $102K a year	Collaborate and coordinate with USAF organizations to improve the accuracy of data inputs to ensure desired outcomes.Five (5) years of DoD experience.
10	Lead Machine Learning Engineer	Remote in Dayton, OH 45439	S&P Global	$83,200 - $190,100 a year	The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text…
11	Engineer I - Machine Learning	Hybrid remote in Fairborn, OH 45324+1 location	Ball Aerospace	$86,000 - $107,000 a year	Our data solutions professionals deliver enterprise processing, analytics, exploitation and management, as well as information technology hardware that provide…
12	AI Research Engineer	Dayton, OH 45469 (University Park area)	University of Dayton	Estimated $96.8K - $123K a year	Work Type: Staff Full Time (1500 hours or greater).We develop autonomy decision services that support multiple echelons of dynamic mission planning from the…
13	Artificial Intelligence Engineer	Dayton, OH 45433	Applied Research Solutions	Estimated $92.1K - $117K a year	Applied Research Solutions is seeking a full-time entry-level Artificial Intelligence Software Developer to work on a research programs supporting current and…
14	Data Manager III	Dayton, OH 45412 (Downtown area)	Bigbear.ai	Estimated $116K - $147K a year	Developing and implementing data mining and data warehousing programs.Analyzing and recommending data requirements and specifications.
15	Artificial Intelligence Principal / Software Engineer	Remote in Beavercreek, OH 45430	Northrop Grumman	$90,600 - $136,000 a year	Familiarity with signal processing, information theory, topological data analysis, or genetic algorithms.Apply machine learning algorithms to large sets of…
16	Data Scientist	Wright-Patterson AFB, OH	JYG Innovations	Estimated $86.3K - $109K a year	Participate in data-related projects, including data normalization, data maintenance, data research, data standardization, data product design, and data quality…
17	AI (Artificial Intelligence) Scientist	Fairborn, OH 45324	Parallax Advanced Research	Estimated $78.2K - $99K a year	Analyzing experimental data and prepare reports on experiments.This includes, conducting experiments, analyzing experimental data, and reporting experimental…
18	Data Scientist	Fairborn, OH 45324	Tyto Athene	Estimated $98.6K - $125K a year	Develops solutions for complex data sets across multiple security levels.Maintains awareness of emerging analytics and big-data technologies.
19	AI/ML Scientist / Engineer	Beavercreek, OH	Riverside Research	Estimated $95K - $120K a year	Demonstrated ability to work in coding environments and deliver prototypes revolving around the use of multi-level data-informed human behavior models.
20	Data Analyst (Senior Level)	Fairborn, OH 45324	Parallax Advanced Research	Estimated $69.9K - $88.5K a year	To satisfy the data-driven decision support needs of the client or data analytics consumer.In this position, you will not only be providing analytical support…
21	AI/ML Engineer - Data Scientist	Dayton, OH+3 locations	Riverside Research	Estimated $107K - $136K a year	Develop databases / data lakes / data warehouses for organizing both structured and unstructured datasets.3+ years experience using data visualization tools…
22	Machine Learning Engineer	Beavercreek, OH	Radiance Technologies Inc.	Estimated $108K - $137K a year	This engineer will provide expertise in data analytics and algorithm development supporting the integration and analysis of diverse data sources and develop…
23	Senior Level AI/ML Engineer - Data Scientist	Beavercreek, OH	Riverside Research	Estimated $132K - $167K a year	Develop databases / data lakes / data warehouses for organizing both structured and unstructured datasets.3+ years experience using data visualization tools…
24	Chief AI Flight Software Engineer	Fairborn, OH 45324	Hellebore	$150,000 - $180,000 a year	You will provide insight and data that will drive design decisions, technology selection, and process definition.Strong C++ and Software Engineering Skills.
25	Data Architect/Data Analytics Lead	Dayton, OH 45433	Dine Development Corporation	Estimated $114K - $144K a year	Familiarity with cloud provider specific platform services associated with data management, data migration, ETL, data ingestion, ingest pipeline construction,…
26	Data Scientist	Dayton, OH	TACG Solutions	Estimated $70.6K - $89.4K a year	Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
27	Senior Research Scientist – High Performance Computing and B...	Dayton, OH 45459	RNET Technologies	Estimated $109K - $137K a year	We are in need of a highly skilled computer scientist to perform research and development in the area of High Performance Computing and/or Big Data systems.
28	AI Research Engineer	Dayton, OH 45469 (University Park area)	University of Dayton	Estimated $106K - $135K a year	Work Type: Staff Full Time (1500 hours or greater).We develop autonomy decision services that support multiple echelons of dynamic mission planning from the…
29	Data Scientist	Fairborn, OH 45324	Tyto Athene	Estimated $91.3K - $116K a year	These repositories contain data that consists of structured and unstructured data and where possible, this data will be meta tagged for further analytics and as…
30	Data Analyst (Senior Level)	Fairborn, OH 45324	Parallax Advanced Research	Estimated $69.9K - $88.5K a year	To satisfy the data-driven decision support needs of the client or data analytics consumer.Do you have a passion for data analysis?
31	Chief AI Flight Software Engineer	Fairborn, OH 45324	Hellebore	$150,000 - $180,000 a year	You will provide insight and data that will drive design decisions, technology selection, and process definition.WE THINK YOU’LL CLICK WITH US IF YOU: *.
32	Data Architect/Data Analytics Lead	Dayton, OH 45433	Dine Development Corporation	Estimated $114K - $144K a year	The data architect “owns” the data models.Familiarity with cloud provider specific platform services associated with data management, data migration, ETL, data…
33	Data Scientist	Fairborn, OH 45324	Tyto Athene	Estimated $91.3K - $116K a year	Develops solutions for complex data sets across multiple security levels.Maintains awareness of emerging analytics and big-data technologies.
