	Title	Location	Company	Salary	Synopsis
0	Lead Data Scientist	Denver, CO+2 locations	DISH	$94,000 a year	Leverage SQL development skills to perform full lifecycle data mining activities, including requirements analysis, data quality assessment, data profiling,…
1	Data Scientist (Junior)	Remote in Louisville, CO	BDSA	$90,000 - $110,000 a year	For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and…
2	Data Scientist	Remote in Denver, CO 80238	CyberCoders	$100,000 - $110,000 a year	Translate data analysis to guide business decisions.Created data visualizations to help business leaders understand their business problems and the proposed…
3	Data Scientist	Denver, CO	AT&T	$75 - $85 an hour	Experience in data science libraries like TensorFlow, Data Visualization, Machine Learning, Salesforce.Skills: 3+ years in Data Science, Python, Scala, and SQL…
4	ETL Developer/Jr Data Scientist (Need Local to CO)	Greenwood Village, CO	ITGen Systems	$70 - $75 an hour	Leverage various data and technology resources to augment analysis.Experience in data validation, analysis, and debugging.ETL Developer: 3 years (Preferred).
5	Natural Language Processing Specialist	Evergreen, CO 80437	Ometrics	Estimated $63.6K - $80.6K a year	You see patterns when looking at data of user behavior and can see the user’s intention.No NLP experience is required.We will provide all the training needed.
6	Staff Data Scientist	Remote in Denver, CO 80202	Ibotta	$170,000 - $200,000 a year	Experience manipulating complex data to apply business rules for improved feature engineering within data lakes, distributed systems, and data streams.
7	Data Scientist - Ads Optimization	Remote in Denver, CO	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
8	Data Scientist	Broomfield, CO 80021	Renewable Energy Systems	$76,500 - $100,000 a year	Develop optimization algorithms around time-series data.The Data Scientist will assist in building databases, data scraping, automating workflows, designing…
9	Data Scientist	Hybrid remote in Denver, CO	Business Intelli Solutions	Up to $60 an hour	Expertise in big data processing, familiarity with big data platforms.Identify data needs, gaps, sources, verify data quality, transform and clean data as…
10	Data Scientist	Remote in Denver, CO 80202	Switchfly	$110,000 - $130,000 a year	Identifies data patterns and trends.Extract and transform data from multiple sources in preparation for exploratory data analysis, feature engineering,…
11	Staff Data Scientist, Metrics Intelligence	Denver, CO 80202 (Union Station area)+1 location	Slack	$150,200 a year	You will work with data scientists and business analysts (from various business groups) to understand, synthesize, and communicate evolving trends in product…
12	Data Scientist II/III, Client Analytics	Denver, CO+2 locations	Teladoc Health	$95,000 - $110,000 a year	Collaborate closely with other analysts, data scientists, engineers, PMs and clinical researchers on product builds, analytical tools, data quality, metric…
13	Data Scientist - Utility Reliability (Jr - Sr) - REMOTE	Hybrid remote in Denver, CO	E Source	$75,000 - $100,000 a year	Proficiency and demonstrated experience in all phases of the data science life cycle working with real-world data—data compilation, data exploration,…
14	Data Scientist	Denver, CO	The University Of Denver	$65,000 - $80,000 a year	Four years of professional experience in data science, data management or analytics position.Work collaboratively on data science projects.
15	Senior Data Scientist	Remote in Denver, CO	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
16	Data Scientist	Remote in Boulder, CO 80302	Techstars	$125,000 - $175,000 a year	Proficiency in programming languages for data and statistical analysis (R, Python), databases (SQL, APIs), infrastructure (AWS), and data visualization (Tableau…
17	Lead Data Scientist	Remote in Denver, CO	Zoom Video Communications, Inc.	Estimated $86K - $109K a year	Past experience in mentorship of data scientists (or other data professionals).Passionate about data science, analytics, and solving complex, and sometimes…
18	Data Scientist	Englewood, CO	NomiSo	$100,000 - $150,000 a year	Familiarity with Data Engineering techniques to gather, prepare, cleanse and transform data for analysis and AI automation, including data pipelines.
19	Data Scientist (3-5 years experience)	Broomfield, CO	DataLab USA	$75,000 - $100,000 a year	Review corporate data transformation QC.Regular SQL use for querying data.Experience with Tableau (or other data visualization platform).
20	Sr. Data Scientist	Denver, CO 80202 (Central Business District area)	Nexthealth	Estimated $116K - $147K a year	Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods.
21	Senior Data Scientist	Denver, CO 80202 (Lodo area)	Code42	Estimated $126K - $159K a year	Working closely with product managers, engineers, and data analysts on the Incydr product to identify customer needs and design data-driven solutions.
22	Data Scientist (100% Remote)	Remote in Denver, CO 80238	Frontdoor	Estimated $120K - $153K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
23	Senior Data Scientist	Remote in Denver, CO	Hotel Engine	$130,000 a year	Work with the VP, Data Science to build and coach a world-class team of data scientists, data engineers and machine learning engineers.
