	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Rochester, MI 48309	Monroe	$100,000 - $120,000 a year	Experience optimizing/mining/cleaning data architectures and data sets.Experience creating algorithms and data models to forecast outcomes.
1	Data Scientist with background in Lending/mortgage/banking e...	Detroit, MI	Resiliency LLC	Estimated $86.3K - $109K a year	Support data science projects such as customer segmentation and predictive analysis, provide input to quarterly forecasting process and short-term projection.
2	Statistical Programming Lead | Top-5 Pharma	Detroit, MI	Warman O'Brien	Up to $155,000 a year	Using your experience, you will be responsible for the Statistical Programming team delivery for 1+ clinical projects of low to mid complexity.
3	Data Scientist--137954-1	Warren, MI 48093	CSM Software USA, LLC	Estimated $94.3K - $119K a year	4 +years of experience in data quality analysis and data architecture.Drive the collection of new data and the refinement of existing data sources.
4	Data Scientist (Special Services ARPA)	Detroit, MI+1 location	The City of Detroit	$99,986 - $150,010 a year	Experience querying and pulling data from an enterprise data warehouse.Design and document data schemas and models for a scalable data warehouse.
5	Data Scientist (Remote)	Remote in Detroit, MI 48127	Steel Point Solutions L	Estimated $125K - $158K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
6	Data Scientist - Machine Learning	Northville, MI 48167	Gentherm	Estimated $97.3K - $123K a year	Communicate data using appropriate data visualization tools to other departments and senior management.3-5 years’ experience working in data science, machine…
7	Summer 2022 Data Science Industry Club Fellowship	Detroit, MI 48204 (Petosky-Otsego area)	Boys & Girls Clubs of Southeastern Michigan	$116,100 a year	Successful candidates should have a healthy interest in science and math to join the BGCSM Industry Club—the leading program developing the next generation of…
8	Junior Data Scientist	Livonia, MI	Soothsayer Analytics	Estimated $65K - $82.2K a year	Collaborate with other engineers, data scientists.Mine data to prototype models for targeting and personalization.Job Type – Full time (W2).
9	Statistical Data Analyst	Detroit, MI	Winston-Beck	From $95,000 a year	Candidates should have experience deploying statistical methods and machine learning to derive actionable insights, data visualizations, and models often from…
10	Data Scientist	Farmington Hills, MI	Exponent	Estimated $87.4K - $111K a year	Experience or capabilities in such subject areas as statistical data mining, analysis of reliability and life data, experimental design, or quality control…
11	Data Scientist	Southfield, MI 48075	aThingz	Estimated $88.8K - $112K a year	Job Description : Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial…
12	Data Scientist	Livonia, MI 48150	ZF	Estimated $95.2K - $121K a year	Establish Data Science and Artificial Intelligence-related routines, develop data and Analytics standards and guidelines as well as create, live and share a “ZF…
13	Data Scientist	Livonia, MI	Soothsayer Analytics	Estimated $102K - $130K a year	Collaborate with other engineers, data scientists.Mine data to prototype models for targeting and personalization.Python, Spark, Spark Mlib, SQL, insurance.
14	URMBT Statistician	Detroit, MI	Blue Cross Blue Shield of Michigan	Estimated $77.4K - $98K a year	Utilize data modeling techniques to assess future utilization and spend based on patterns within data.Create meaningful and understandable presentations that…
15	Senior Data Scientist at Rent-to-Own Startup	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
16	Data Scientist	Troy, MI 48084	365 Retail Markets	Estimated $85.2K - $108K a year	Document technical designs and data engineering.Experience integrating data involving multiple external sources.Skills using one or more scripting languages.
