	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Senior Data Analyst (Fresno)	Fresno, CA 93704 (Bullard area)	Golden Valley Health Centers	Estimated $70.8K - $89.6K a year	Demonstrate advanced understanding of the data warehouse discipline, including data lakes, data mapping, data mining, data dependencies, structured and…
2	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Helping clean data and implement validation layers.Can collaborate with non-computational scientists.Desire to build a data science ecosystem from the ground…
3	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
4	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
5	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
6	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
7	Senior Genomic Medicine Scientist - AI/Machine Learning	United States	Parexel - USA	Estimated $108K - $136K a year	Collaborate with computational scientists, pathologists and experimental scientists to design optimal experiments for model training and evaluation.
8	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.In this role, you’ll get to:
9	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Establishing expected data formats across the company.Helping clean data and implement validation layers.Can collaborate with non-computational scientists.
10	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
11	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
12	Senior Statistician	United States	AL2S3 LTD	Estimated $105K - $133K a year	Molly Williams is looking for a Senior Statistician with an in-depth passion for delivering high quality work to join a globally recognised, mid-sized CRO with…
13	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
14	Manager, Data Scientist Vehicle Data & Monetization	California	Hyundai Motor America	Estimated $129K - $163K a year	~ Conduct exploratory data analysis.Able to aggregate, gather and manipulate data.~ Act as subject matter expert regarding vehicle data.
15	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
16	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
17	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
18	Manager, Data Scientist Vehicle Data & Monetization	California	Hyundai Motor America	Estimated $129K - $163K a year	At Hyundai, we’ve rethought our business and created cars that combine performance, quality, design and innovation into a complete package. It’s time you…
19	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	SENIOR DATA SCIENTIST EMERYVILLE, CALIFORNIA (HYBRID AVAILABLE) ($100,000- $175,000+ BENEFITS + EQUITY) Harnham is looking for an outstanding team player…
