	Title	Location	Company	Salary	Synopsis
0	Vice President Audience Data Science	Hybrid remote in Broadway, VA	Warner Music Group	Estimated $88.6K - $112K a year	Interact with data engineering teams to codify data needs.Hands-on experience with data fusion, probabilistic joins for first party data to third-party data,…
1	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
2	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
3	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
4	Principal Statistical Programmer	Remote in United States	Everest Clinical Research	Estimated $121K - $154K a year	Create SDTM mapping specifications and ADaM data specifications.Perform hands on primary statistical programming and validation programming on assigned…
5	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	You will be working with some of the most advanced analytics.
6	Senior Supply Chain Data Analyst	United States	Logistics Plus Inc	$25 - $29 an hour	The Central Planning and Analytics (CPA) team provides analytical and project management.Services for DSPA Global and Regional Planning teams.
7	Senior Statistician	United States	AL2S3 LTD	Estimated $105K - $133K a year	Molly Williams is looking for a Senior Statistician with an in-depth passion for delivering high quality work to join a globally recognised, mid-sized CRO…
8	Principal Statistical Programmer	United States	AL2S3 LTD	$150,000 - $170,000 a year	They are proud of their culture of engagement and accountability that rewards employees for innovative thinking and achievement of key objectives.
9	Senior Genomic Medicine Scientist - AI/Machine Learning	United States	Parexel - USA	Estimated $108K - $136K a year	Collaborate with computational scientists, pathologists and experimental scientists to design optimal experiments for model training and evaluation.
10	Senior Healthcare Data Analyst	United States	New Directions Behavioral Health	None	Experience with enterprise data warehouse and commercial/Medicare/Medicaid claims data.Strong analytic and data management skills.
11	Principal Statistical Programmer	United States	Parexel - USA	Estimated $119K - $151K a year	Input into and negotiate statistical programming timelines.Ensure that timelines are adhered to coordinate and lead a statistical programming team to…
12	Senior Statistical Programmer	United States	Cytel - USA	Estimated $101K - $128K a year	Ability to work on data migration from legacy datasets to standards such as CDISC or any other client specific standard.
13	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
14	Senior Manager Engineering - Analytics Software in Studio AI	Remote in United States	Wind River	Estimated $101K - $128K a year	Real-time analytics: receiving and analyzing streaming data from distributed devices or applications (not just processing data at rest), and updating or…
15	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
16	Junior Machine Learning Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
17	Cloud Data Architect	Remote in United States	Oportun Inc	None	Strong expertise and experience managing complex data platforms through automation.Excellent communication skills to collaborate with the data engineering,…
18	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
19	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
20	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
21	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
22	Senior Statistical Programmer - Oncology	United States	Cytel, Inc (USA)	Estimated $110K - $140K a year	Strong SAS data manipulation, analysis and reporting skills- with strong output programming experience.You will report to the Associate Director, Statistical…
23	Scientist/Senior Scientist	Virginia	AllianThera Biopharma	$85,000 - $135,000 a year	Proficiency in utilizing software such as GraphPad Prism, FlowJo, electronic lab notebooks, Microsoft Office etc. for data analysis and figure generation is…
24	Cognitive Neuroscientist (R&D)	Remote in United States	Intheon	From $110,000 a year	Excellent problem-solving skills, knack for abstract mathematical thinking (e.g., vector/matrix/tensor data, high-dimensional spaces, probability distributions,…
25	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
26	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	You will build and lead teams of data scientists, statisticians, data engineers, and machine learning engineers.Can fish for data with SQL and Pandas.
27	Principle Statistical Programmer (Perm/Contractor) - Remote,...	Remote in United States	Cytel - USA	Estimated $116K - $146K a year	Performing data manipulation, analysis and reporting of clinical trial data, both safety and efficacy (ISS/ISE), utilizing SAS programming.
28	Director, Statistical Programming	Remote in United States	Everest Clinical Research	Estimated $136K - $172K a year	In-depth knowledge of industry standards on how clinical trial data are structured, stored, analyzed, and presented.Manage sponsors and vendor relationship.
29	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
30	Senior Statistical Programmer	Remote in United States	Everest Clinical Research	Estimated $99.5K - $126K a year	Archive clinical trial data (study data tabulation models and analysis data models) and programming information in accordance with corporate archival SOPs and…
31	Principal Statistical Programmer	United States	Cytel - USA	Estimated $137K - $173K a year	Provide review and/or author data transfer specifications for external vendor data.We are looking for a highly experienced data analyst who will lead all…
32	Principal Statistician	Remote in United States	Worldwide Clinical Trials - USA	Estimated $124K - $157K a year	The Worldwide Biostatistics team is an experienced and diverse group of Statisticians/Biostatisticians who collaborate together as one team, both via regularly…
33	Sr Statistical Programmer	United States	Syneos Health - USA	Estimated $103K - $130K a year	Uses SAS or other software to develop custom programming code to generate summary tables, data listings, graphs and derived datasets as specified in the…
34	Vice President Audience Data Science	Hybrid remote in Broadway, VA	Warner Music Group	Estimated $89K - $113K a year	Interact with data engineering teams to codify data needs.Hands-on experience with data fusion, probabilistic joins for first party data to third-party data,…
