	Title	Location	Company	Salary	Synopsis
0	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$42.00 - $56.50 an hour	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.
1	Data Scientist (Remote)	Remote in Reston, VA 20190	Improvix Technologies	Estimated $107K - $135K a year	Strong data visualization skills (Tableau preferred).Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the…
2	Data Scientist	Washington, DC 20591 (Southwest Federal Center area)	US Federal Aviation Administration	$112,187 - $173,922 a year	Identifies risks in the NAS through the use of data sets, such as voice data, track data, incident/accident data, maps, etc.
3	Data Scientist	Reston, VA	ISE Data Systems	Estimated $88.8K - $112K a year	Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s…
4	Senior Data Scientist	Remote in Washington, DC 20001	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
5	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Experience organizing and analyzing data sets using data analytical tools, and creating and implementing data collection and analysis tools, utilizing…
6	Principal Data Scientist	Dulles, VA 20166	Global Wireless Solutions, Inc.	$140,000 - $150,000 a year	Strong trend analysis, data weighting/extrapolation, bias reduction, data aggregation techniques, and automation skills are required.
7	Data Scientist	Remote in McLean, VA	SYNTASA	Estimated $97.9K - $124K a year	Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches.
8	Data Scientist	Chantilly, VA 20151+1 location	Dezign Concepts LLC	Estimated $135K - $171K a year	Demonstrated experience ETLing data into common data models utilizing common data engineering services.Demonstrated experience designing and building data…
9	Data Scientist (ALL LEVELS)	Remote in Reston, VA 20191+2 locations	Noblis	Estimated $108K - $137K a year	The data scientist will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object…
10	Data Scientist	Reston, VA+2 locations	Varen Technologies	Estimated $123K - $156K a year	Explores and operationalizes data sources using scientific processes and technologies to uncover and.3+ years of experience with ML tools to build models and…
