	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Honolulu, HI	Calhoun International, LLC	Estimated $88K - $111K a year	The Computer Scientist employs mathematics, statics, information science, artificial intelligence, machine learning, network science, probability modeling, data…
1	Data Scientist	Honolulu, HI 96813 (Downtown area)	Central Pacific Bank	Estimated $93K - $118K a year	Develop approach to data quality to increase the bar on the soundness of our data.Identify informative internal and external data sources and establish methods…
2	Data Scientist 3	Honolulu, HI	IntelliGenesis, LLC	Estimated $104K - $132K a year	Data management (e.g., data cleaning and transformation).Make and communicate principled conclusions from data using elements of mathematics, statistics,…
3	Senior Data Scientist at Rent-to-Own Startup	Remote in Honolulu, HI 96804	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
4	RESEARCH STATISTICIAN I - OAHU	Oahu Island, HI+1 location	State of Hawaii	$3,635 a month	The Research Statistician series includes all positions in which the primary duties are to apply research and statistical methods and techniques to the analysis…
5	Lead Data Scientist	Honolulu, HI 96819	Circinus LLC	Estimated $121K - $153K a year	Proficiency with common data science libraries.Proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data sets.
6	Data Engineer	Honolulu, HI	Calhoun International, LLC	Estimated $96.2K - $122K a year	The employee conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific…
7	Sr Data Analyst	Honolulu, HI 96801 (Makiki area)	Torch Technologies, Inc.	Estimated $75K - $95K a year	Provide technical expertise in data storage structures, data mining, and data cleansing.3+ years’ experience mining data as a data analyst.
8	Data Science Specialist II (Corporate Analytics)	Honolulu, HI 96814	Hawaii Medical Service Association	Estimated $76.6K - $97K a year	Reviews data sources and preps needed data.Performs data prototyping, if necessary, to agree what data can/not be used.Excel charts, pivot tables, macros.
9	Socio-Economic Statistical Analyst	Honolulu, HI 96813 (Downtown area)	SMS Research & Marketing Services	Estimated $65.8K - $83.4K a year	Undertaking in-depth desktop review of current and relevant literature, data sources and tools.This can be a full-time or part-time position and hybrid in…
10	DATA PROCESSING SYSTEMS ANALYST I (SR-20)	Oahu Island, HI	City and County of Honolulu, HI	$4,252 a month	One year of experience in the analysis of operating practices, methods, and procedures, some of which shall have involved the conduct of feasibility studies and…
11	Head of Machine Learning - Document Analysis and NLP	Remote in Honolulu, HI 96804+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
12	Data Plane Engineer	Remote in Honolulu, HI 96804	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
13	NLP Engineer at Speech to Text Start Up	Remote in Honolulu, HI 96804	Recruiting From Scratch	Estimated $122K - $154K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
14	Data Engineer	Honolulu, HI	Ukpeagvik Iñupiat Corporation/Bowhead Family of...	Estimated $91.1K - $115K a year	Conduct data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…
15	Principal ML & NLP Engineer	Remote in Honolulu, HI 96804	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
16	Data Science Specialist I (Corporate Analytics)	Honolulu, HI 96814	Hawaii Medical Service Association	Estimated $55.8K - $70.6K a year	Reviews data sources and preps needed data.Performs data analysis to address complex business questions, applies data programming and statistical methodologies…
17	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
18	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
19	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
20	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
21	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
