	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Houston, TX+1 location	Texas Children's Hospital	Estimated $103K - $131K a year	Creates data models and generates data insights.Source data may include both structured and unstructured data.Estimates time to complete individual tasks.
1	Data Engineer	Houston, TX	Infinitek	$100,000 - $135,000 a year	Minimum 3-4 years of experience in data analytics as a data engineer, data analyst, data scientist, or applied scientist role.
2	Data Scientist Manager (re-lo to Orlando FL Area)	Houston, TX	The Denzel Group	Estimated $118K - $150K a year	Identify opportunities to build new value-adding analytics, and integrate analytics and data science principles into existing areas.
3	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	Salary: Commensurate with Experience + Bonus + Benefits.Benefits: Medical, Dental, Vision, 401k, Holidays, Unlimited PTO .
5	Sr. Data Scientist	Houston, TX 77002 (Downtown area)	NRG	Estimated $113K - $143K a year	Strong data background including knowledge of 3NF, star schema, and NoSQL database designs.NRG is looking for a Sr Data Scientist to develop and apply models…
6	Data Scientist	Remote in Houston, TX 77001	Ayasdi	Estimated $109K - $137K a year	The ability to collaborate well with other data scientists and machine learning engineers.Directly interact with data scientists in the Financial Services…
7	Data Scientist	Houston, TX 77021 (Macgregor area)	Baylor Miraca Genetics Laboratories, LLC	Estimated $83.7K - $106K a year	Perform data profiling and data analysis for any source systems and the target data repositories.Build tools to automate data collection.
8	Data Scientist (Remote)	Remote in Houston, TX 77001	Steel Point Solutions L	Estimated $128K - $162K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
9	Data Scientist	Spring, TX 77389	Southwestern Energy (SWN)	From $115,000 a year	Passion for data and data driven solution.Their duties include sifting through data points to create organized categories, comparing data points to current…
10	Data Scientist	Remote in Houston, TX	Circle	Estimated $120K - $152K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
11	Data Scientist	Remote in Houston, TX 77010	Walter P Moore	Estimated $109K - $138K a year	We are seeking a qualified Data Scientist to work with us in developing exciting and innovative projects that leverage Robotics and Machine Learning to identify…
12	Data Scientist	Houston, TX 77042 (Briar Forest area)	Kit Professionals	Estimated $78.9K - $99.9K a year	You will review available historical data and identify additional data collection needs including its locations and data types.
13	DATA SCIENCE CONSULTANT HOUSTON	Houston, TX 77056 (Uptown area)	managementsolutions	Estimated $84.5K - $107K a year	You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …
14	Senior Data Scientist	Houston, TX	Houston Texans	Estimated $94.9K - $120K a year	Working knowledge in data discovery and new data acquisition.Experience working with large data sets (Next Gen Stats location data).
15	Data Scientist - Ads Optimization	Remote in Houston, TX	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
16	Excel Expert Software Engineer/Data Scientist	Houston, TX+1 location	Ed Mehlman and Associates	Estimated $95.7K - $121K a year	Candidates can have any education background but a degree in computer science, data science, and/or finance is a plus.
17	Data Scientist	Remote in Houston, TX+1 location	Avetta, LLC	Estimated $117K - $148K a year	We are seeking a data scientist that will support Avetta's SaaS Analytics platform and our sales/marketing teams with insights gained by analyzing our company…
18	Data Scientist	Houston, TX 77004 (Southeast area)	Context Labs	Estimated $93.1K - $118K a year	Performing exploratory data analysis to derive business insights.Familiarity with conceptual and logical data modeling principles.
19	Data Scientist	Houston, TX 77024 (Greater Memorial area)	Coterra Energy	Estimated $93.9K - $119K a year	Teach others how to apply data science and data analysis to their work.Experience with exploratory data analysis.
20	Data Scientist- Global Engineering Technology	Hybrid remote in Houston, TX	ABS	Estimated $87.8K - $111K a year	Exposure working with structured and unstructured data, data quality issues.Apply advanced data science concepts to deliver data driven offerings and insights.
21	Data Scientist - Digital Products - Fully Remote	Remote in Houston, TX 77046	Sunnova Energy Corp	Estimated $101K - $128K a year	Experience in working with geospatial data and analytics.Experience with big data processing technologies such as Spark.Cell phone allowance for many roles.
22	Data Science Manager	Houston, TX 77010 (Downtown area)+1 location	Bain & Company	Estimated $121K - $153K a year	Train relevant AAG team members to support big data/data science initiatives.Develop, prototype, test, and deploy machine learning solutions on wide ranging…
23	Data Scientist (Mid-Senior Level)	Houston, TX 77084 (Addicks Park Ten area)	ERM Group	Estimated $89.2K - $113K a year	Develop custom data models and algorithms to apply to data sets;Assess the effectiveness and accuracy of new data sources and data gathering techniques;
24	Data Scientist/ Machine Learning Engineer - Remote	Remote in Houston, TX	Cardinal Intellectual Property	Estimated $116K - $147K a year	Research and implement new image search models and improvements to existing ones using big data to solve real-world problems.Experience with Docker is a plus.
25	Director, Data Science	Houston, TX 77010 (Downtown area)	Bain & Company	Estimated $144K - $182K a year	3+ years of experience managing data scientists.Translate business objectives into data and analytics solutions and, translate results into business insights…
26	Data Scientist	Houston, TX 77002 (Downtown area)+1 location	Westlake Chemical	Estimated $116K - $147K a year	Experience in data quality analysis, data cleansing, and data engineering.Collaborate to develop Digital Literacy of the enterprise through training citizen…
27	Machine Learning Postdoctoral Researcher	Houston, TX 77004 (Third Ward area)	University of Houston	$3,223 - $4,834 a month	We invite applications for a postdoctoral researcher in machine learning (with a focus in healthcare data) Applicants will broadly be expected to work on…
28	Sr. Data Scientist	Hybrid remote in Houston, TX 77010	LyondellBasell Industries	Estimated $115K - $145K a year	Experience working with large structured and unstructured data and technologies.High level of enthusiasm and a love of data and software development.
29	Digital Marketing Data Analyst/Data Scientist	Spring, TX 77389	HP	$74,600 - $108,200 a year	Develops data sets to enable self-service data analysis within the broader marketing organization.Create and maintain data dashboards with visual software such…
30	Senior Data Scientist	Houston, TX 77057 (Uptown area)	Wood Mackenzie	Estimated $115K - $146K a year	Professional experience as a data scientist or machine learning engineer.Use strong programming & data engineering skills to explore, examine, prepare, and…
31	Sr. Azure Data Architect	Houston, TX	Set Solutions	$150,000 - $200,000 a year	Creation of data governance and master data best practices.Collaborating across teams to settle appropriate data sources, develop data extraction and business…
32	Senior Analyst, Data Science & Analytics	Remote in Houston, TX+1 location	Reify Health (Jobs)	Estimated $99.8K - $126K a year	Comfort with modern data analytics and BI environments such as Jupyter, Dash, Quicksight, etc.Developing clean, reusable, and testable analytical code and make…
33	Machine Learning Engineer	Hybrid remote in Houston, TX	CGG	Estimated $119K - $150K a year	You will work with our Geoscientists to validate potential opportunities for machine learning techniques, prepare data for training and testing, and design,…
34	Sr. Data Analyst	Houston, TX	S & B Engineers and Constructors	Estimated $79.7K - $101K a year	Expert proficiency with data visualization software.Collaborate with team members to collect and analyze data.Detail oriented with strong analytical skills.
35	Senior Data Engineer	Houston, TX+2 locations	Credera Experienced Hiring Job Board	Estimated $124K - $157K a year	They are an experienced data pipeline developer who enjoys data wrangling, optimizing data flows, and building solutions for data collection and analysis.
36	Senior Data Analyst, Business Intelligence	Hybrid remote in Houston, TX 77002	NRG	Estimated $109K - $138K a year	Hands on development of data models in Oracle and data visualizations.The successful candidate will possess a strong data modeling and data visualization…
37	Data Warehouse and AI Engineer	Houston, TX 77064	FOXCONN Group	Estimated $89.8K - $114K a year	Wrangle data (a.k.a. data engineering) from a wide variety of complex data sets large volumes of data into normalized and enriched data sets.
38	Data Engineer- Global Engineering & Technology	Houston, TX	ABS	Estimated $89.9K - $114K a year	Minimum 3-4 years of experience in data analytics as a data engineer, data analyst, data scientist, or applied scientist role.
39	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Houston, TX 77001	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
40	Director, Artificial Intelligence (AI) & Machine Learning (M...	Remote in Houston, TX	KEY CAPTURE ENERGY	Estimated $156K - $197K a year	Work closely with the software development team to identify and acquire new data necessary to support new models and deploy these models to production systems.
41	Machine Learning Operations Engineer - Research Group	Webster, TX 77598	Nauticus Robotics	Estimated $81.1K - $103K a year	Experience authoring AI data pipelines preferred.Architect infrastructure for general software and ML component.Experience developing CI/CD pipelines.
42	Data Science Manager	Houston, TX 77001	Trader Interactive	Estimated $115K - $146K a year	Develop a team of data scientists capable of satisfying data needs, as reflected in company short and long term goals for market growth.
43	AI Engineer	Houston, TX 77027 (Greenway - Upper Kirby area)	Third-AI	Estimated $121K - $153K a year	Bachelors/Masters/PhD in computer science or closely related field.Expertise in parallel programming, high performance computing, and machine learning system…
44	Senior Data Engineer, Python	Houston, TX	Computer Staff	$140,000 - $170,000 a year	Assists data analysts and data scientists with data extraction, feature engineering, query optimization, and data processing.4-5+ years of experience in SQL.
45	Data Product Manager	Houston, TX 77005 (West University area)	Freedom Financial Network	Estimated $120K - $152K a year	Transform the way our Marketing departments consume data and insights through well-designed data models and self-service reporting products.
46	Machine Learning Architect - Data Science	Houston, TX+1 location	Credera	Estimated $192K - $243K a year	Our data capabilities help our clients gain competitive advantage by transforming raw data into insights that enable actionable decision making.
47	Software Engineer, Data Science Platform	Houston, TX	Root Inc.	Estimated $110K - $139K a year	Ruby / Rails backend, RSpec for testing.Javascript / React Native frontend, Mocha for testing.Small amounts of native iOS and Android.
48	Statistical Ops Analyst (US Remote)	Remote in Houston, TX	Humanity	Estimated $75.5K - $95.5K a year	Experience handling, manipulating and analyzing data.Take lead role in recommending and implementing new and improved ways to effectively process data and…
49	Architect - Data Engineering - Data Engineering	Houston, TX+2 locations	Credera	Estimated $132K - $168K a year	You have a deep understanding of data governance and data privacy best practices.Our data capabilities help our clients gain competitive advantage by…
