	Title	Location	Company	Salary	Synopsis
0	PRINCIPAL - DATA SCIENCE - Lending Experience	Jacksonville, FL	Talent Search PRO	Estimated $108K - $136K a year	5 to 10 years of analytics and data science work experience.Knowledge of statistics, and skills with exploratory data analysis using Python, R or SAS.
1	Anti-Financial Crime (AFC) Anti-Money Laundering (AML) Data...	Temporarily Remote in Jacksonville, FL	Resource Solutions	$52,584 - $112,462 a year	Experience with big data analytics technologies.Experience as a Data Scientist, Quantitative Analyst or with Statistics; experience in Computer Science,…
2	Data Scientist Manager (re-lo to Orlando FL Area)	Jacksonville, FL	The Denzel Group	Estimated $110K - $139K a year	Identify opportunities to build new value-adding analytics, and integrate analytics and data science principles into existing areas.
3	Senior Data Analyst	Remote in Florida	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.In this role, you’ll get to:
4	Data Scientist with background in Lending/mortgage/banking e...	Jacksonville, FL	Resiliency LLC	Estimated $89.4K - $113K a year	Serve as primary checkpoint for external macroeconomics, consumer health and benchmarking data.Support data science projects such as customer segmentation and…
5	Data Science Analyst	Jacksonville, FL+2 locations	Jacksonville Transportation Authority.	$40,000 a year	By partnering closely with senior operations leaders and the IT department, the Data Science Analyst is expected to develop innovative processes for data…
6	Data Science Engineer - Remote	Remote in Jacksonville, FL	GuideWell	Estimated $101K - $129K a year	Experience writing data pipelines for medical claims data.Acquire and bring structure to data so that it can be used in existing and new data systems.
7	Data Analytics - Practice Lead	Jacksonville, FL 32202 (Downtown area)	Whitman, Requardt & Associates, LLP	Estimated $119K - $150K a year	Demonstrated experience leading multi-disciplined groups of data scientists, data engineers, data solutions engineers, and data visualization.
8	Sr. Analyst, EMEA Balance Sheet and Statistical Reporting	Jacksonville, FL	Macquarie Group Limited	Estimated $72.5K - $91.9K a year	It is seen as preferable if you have systems experience with Axiom, Alteryx, Oracle General Ledger and data mining tools.About the Financial Management Group.
9	User Experience Designer II, Machine Learning Platform	Temporarily Remote in Jacksonville, FL	TuSimple, Inc.	None	Professional experience as a software engineer or data scientist.Related experience in software development, either as a software engineer or data scientist.
10	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Jacksonville, FL	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
11	Sr. Data Analyst (REMOTE)	Remote in Jacksonville, FL	Main Street America Insurance	Up to $80,850 a year	Responsible for implementing and maintaining assigned insurance data requirements for automated and manual programs to meet MSA and client management reporting…
12	Data Engineer / Developer (SSIS, Python)	Jacksonville, FL 32202 (Downtown Jacksonville area)+1 location	Citizens Property Insurance	Estimated $82K - $104K a year	Analyze source system data to understand the data structures, definitions, and anomalies.Advanced knowledge of database normalization data modeling techniques.
13	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in Jacksonville, FL	Humanity	Estimated $88.8K - $112K a year	Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what’s happening now, what’s happening next,…
14	Sr. Data Analyst	Hybrid remote in Jacksonville, FL 32250	CE Broker	$80,000 - $115,000 a year	5+ years experience mining data and teeing insights as a data analyst or business analyst.Develop and maintain databases by acquiring data from primary and…
15	Junior Data Scientist/Database Engineer - Technology	Jacksonville, FL 32256	Arena Investors LP	Estimated $63.6K - $80.6K a year	Quaestor is looking to expand the Technology team, through the addition of a junior-to-mid-level database developer/data scientist who has a passion for coding,…
16	Kubernetes and Docker Cloud Developer	Remote in Jacksonville, FL	Frontier Technology Inc.	Estimated $98.6K - $125K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
17	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
18	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
19	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
20	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
21	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
22	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in Jacksonville, FL	Humanity	Estimated $88.8K - $112K a year	Uses logic to analyze data and capability to draw conclusions and convey or provide advice or consultation to business leaders.This is not an admin role.
23	Data Scientist with background in Lending/mortgage/banking e...	Jacksonville, FL	Resiliency LLC	Estimated $89.4K - $113K a year	Support data science projects such as customer segmentation and predictive analysis, provide input to quarterly forecasting process and short-term projection.
