	Title	Location	Company	Salary	Synopsis
0	Data Science Manager - Metadata	Remote in Missouri	Indeed	$198,000 - $288,000 a year	Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring.Provide project direction and feedback.
1	Data Scientist I	Remote in Kansas City, MO 64108	Children's Mercy KC	$33.88 an hour	Assesses the volume of data supporting the project, and the type and accuracy of the data used.Analyze data using moderately complex statistical and machine…
2	Data Scientist	Overland Park, KS	RX Saving Solution	Estimated $81K - $103K a year	Minimum of 3 years professional background experience with programming and data modeling.Ability to extract scientific analysis from the data and provide…
3	Data Scientist	Overland Park, KS 66211	Rx Savings Solutions	Estimated $81K - $103K a year	Minimum of 3 years professional background experience with programming and data modeling.Ability to extract scientific analysis from the data and provide…
4	Data Scientist	Overland Park, KS 66202	Bardavon Health Innovations	Estimated $78.1K - $98.9K a year	Analyze data, implement data cleansing processes, develop data visualization solutions.You must have strong experience using a variety of data mining/data…
5	Data Scientist	Remote in Kansas City, MO	UMB Financial Corporation	Estimated $92K - $116K a year	This role will influence next generation data science tools and data products and pioneer ideas and products in new areas such as: machine learning…
6	Senior Data Scientist at Rent-to-Own Startup	Remote in Overland Park, KS 66210	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
7	Senior Data Scientist/Machine Learning Engineer	Remote in Overland Park, KS 66210+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
8	Data developers/architects/scientists	Overland Park, KS	Nuvento systems	Estimated $113K - $143K a year	OPT/CPT with 3+ years of experience in data – ingestion, processing or reporting.Experience with one or more of the tools like SSIS, Informatica, Tableau,…
9	Senior Data Scientist	Olathe, KS 66061	Garmin International, Inc.	Estimated $88.1K - $112K a year	Demonstrated success in working with large volumes of structured data.Provide actionable steps to be taken based off of data analysis.
10	Senior Data Scientist- Boost Mobile	Overland Park, KS	DISH	$125,000 a year	3+ years of experience leading team of data scientists and a track record of developing teams to produce successful data science solutions that deliver…
11	Data Scientist	Olathe, KS 66061 (Downtown area)	Technology Solutions Partners	Estimated $97.4K - $123K a year	3+ years of data visualization experience.An experienced resource must also be able to clean and pull the data if the data is not available in centralized…
12	Lead Data Scientist	Kansas City, MO 64114 (Waldo Homes area)	Waldo General, Inc.	$85,000 - $130,000 a year	Experience with data visualization tools like Tableau and PowerBI.5+ years of experience manipulating data sets and building statistical models.
13	Associate Data Scientist	Kansas City, MO	Macquarie Group Limited	Estimated $89.5K - $113K a year	Experience in data engineering / data architecting would be a good addition.Supporting the identification of the required data sources and works with data…
14	Product Manager - Data & Analytics	Lenexa, KS 66219	GQR	$130,000 - $150,000 a year	Track record of leading complex, large-scale data analytics projects and products.Driving insights and actions through expert analysis of data and business…
15	Data Scientist, Product R&D	Overland Park, KS 66212	NeuAnalytics	Estimated $76.3K - $96.5K a year	Develop custom data models and algorithms to apply to data sets.Presenting information using data visualization techniques.
16	Machine Learning Engineer I	Remote in Kansas City, MO 64105	Spring Venture Group	$90,000 - $100,000 a year	Experience with ETL workflows and data processing.Real-time data processing tools such as AWS Kinesis and SQS.
17	Data Scientist	Kansas City, MO 64116 (Charles B. Wheeler Downtown Airport area)	VMLY&R	Estimated $91.9K - $116K a year	The data scientist leads advanced analytics projects across multiple clients.Maintain data security best practices for all internal and external data.
18	Data Architect	Lenexa, KS 66219	GQR	$135,000 - $155,000 a year	Identify internal and external data sources and work out a plan for data management aligned with organizational data strategy.
19	Sr. Data Analyst	Kansas City, KS	Morris Technology Solutions	$30 - $40 an hour	Create basic data visualizations leveraging design and data presentation guides.Audit complex data sets for completeness, validity, and other pertinent data…
20	Data Plane Engineer	Remote in Overland Park, KS 66210	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
21	Senior Data Analyst	Kansas City, MO 64116 (Charles B. Wheeler Downtown Airport area)	VMLY&R	Estimated $70.1K - $88.7K a year	Extract data from various digital tools.Manage data accuracy and integrity for client marketing programs.Implement, collect, and analyze natural language data…
22	Revenue Assurance Analyst	Kansas City, MO	TEOCO	Estimated $58.6K - $74.2K a year	Utilizing TEOCO’s proprietary tool, create audit reports, review and analyze data output from multiple sources and identify revenue recovery opportunities in…
23	Health Statistical Analyst (remote)	Remote in Kansas City, MO 64108	Blue Cross and Blue Shield of Kansas City	Estimated $79K - $100K a year	Uses publicly reported databases to update data for the Hospital Quality Incentive Program and other programs as needed.
24	Data Science Engineer	Kansas City, MO 64152	Evolytics	Estimated $88.7K - $112K a year	Developing and implementing data transformation via ETL processes and data pipelines.Validate data to determine and document any gaps between available data…
25	Statistical Research Analyst, Headquarters Location, Indepen...	Independence, MO 64050	Mid-Continent Public Library	Estimated $39.2K - $49.6K a year	Experience with data migrations desired.Ability to effectively gather data from reputable sources.Keeps Library data current and readily available to fulfill…
26	Senior Marketing Data Analyst	Remote in Kansas City, MO 64131	Circle	Estimated $89.6K - $113K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
27	Machine Learning Engineer, Platform	Remote in Overland Park, KS 66210	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
28	Senior Business Data Analyst	Grain Valley, MO 64029	RiverPoint	Estimated $91.8K - $116K a year	Demonstrates a mastery healthcare insurance industry and data warehousing/analytics expertise and maintains sufficient knowledge of the issues and initiatives…
29	Associate Actuary, Commercial Rating	Hybrid remote in Kansas City, MO 64108	Blue Cross and Blue Shield of Kansas City	None	The Actuary Associate rovides complex professional actuarial services requiring a high level of knowledge and/or experience.
30	Kubernetes and Docker Cloud Developer	Remote in Kansas City, MO+1 location	Frontier Technology Inc.	Estimated $101K - $128K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
31	Senior Project Manager: Tilt Wall, MF, Data Center, & Life S...	Kansas City, MO	Scott Humphrey Corporation	$100,000 - $185,000 a year	National general contractor that specializes in the construction of commercial interiors, MF, cold storage facilities, Data Centers, and Life Science Facilities…
32	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
33	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
34	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	You will be working with some of the most advanced analytics.
35	Senior Statistician	United States	AL2S3 LTD	Estimated $105K - $133K a year	Molly Williams is looking for a Senior Statistician with an in-depth passion for delivering high quality work to join a globally recognised, mid-sized CRO…
36	Director, Statistical Programming	United States	Parexel - USA	Estimated $89.4K - $113K a year	As a Director, you will be responsible to lead, manage and support the departmental or functional team and processes to ensure that Parexel delivers quality…
37	NLP Engineer at Speech to Text Start Up	Remote in Overland Park, KS 66210	Recruiting From Scratch	Estimated $115K - $145K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
38	Data Scientist - Machine Learning	Olathe, KS 66061	Garmin International, Inc.	Estimated $73K - $92.4K a year	Demonstrated success in working with large volumes of structured data.Provide actionable steps to be taken based off of data analysis.
39	Principal ML & NLP Engineer	Remote in Overland Park, KS 66210	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
40	Sr Data Analyst, Global RTM Analytics	Kansas City, MO	Palo Alto Networks	Estimated $68.9K - $87.3K a year	Tableau or other data visualization tools experience.2+ years of experience in data analysis.We are looking for a self-starter with excellent quantitative…
41	Statistical Ops Analyst (US Remote)	Remote in Lenexa, KS	Humanity	Estimated $69.1K - $87.5K a year	Experience handling, manipulating and analyzing data.Take lead role in recommending and implementing new and improved ways to effectively process data and…
42	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
43	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
44	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
45	Sr. Data Scientist	Remote in Kansas City, MO 64131	North American Savings Bank	Estimated $115K - $146K a year	5+ years of data visualization experience.10+ years of experience in data analysis.Ability to work with wide array of data sources.
46	Data Scientist, Product R&D	Overland Park, KS 66212	NeuAnalytics	Estimated $82.6K - $105K a year	Develop custom data models and algorithms to apply to data sets.Presenting information using data visualization techniques.
47	Data Scientist	Olathe, KS 66061 (Downtown area)	Technology Solutions Partners	Estimated $96K - $122K a year	3+ years of data visualization experience.An experienced resource must also be able to clean and pull the data if the data is not available in centralized…
48	Data developers/architects/scientists	Overland Park, KS	Nuvento systems	Estimated $112K - $142K a year	OPT/CPT with 3+ years of experience in data – ingestion, processing or reporting.Experience with one or more of the tools like SSIS, Informatica, Tableau,…
49	Revenue Assurance Analyst	Kansas City, MO	TEOCO	Estimated $62.4K - $79K a year	Utilizing TEOCO’s proprietary tool, create audit reports, review and analyze data output from multiple sources and identify revenue recovery opportunities in…
