	Title	Location	Company	Salary	Synopsis
0	Biomedical Data Scientist	Lexington, KY+1 location	University of Kentucky	$56,035 - $92,435 a year	The data scientist will develop, direct and oversee implementation of project protocols that involve complex data systems, data linkage and capture,…
1	Data Scientist	Lexington, KY 40513	Matrix Design Group, LLC	$8,000 - $9,000 a month	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of data sources and data gathering techniques.
2	Statistician	Lexington, KY	University of Kentucky	$50,981 - $84,115 a year	The person in this position will develop complex data visualizations including but not limited to: interactive Tableau dashboards, infographics, charts and…
3	Kubernetes and Docker Cloud Developer	Remote in Lexington, KY	Frontier Technology Inc.	Estimated $95.8K - $121K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
4	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
5	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
6	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
7	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
8	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
9	Biomedical Data Scientist	Lexington, KY	University of Kentucky	$56,035 - $92,435 a year	The data scientist will develop, direct and oversee implementation of project protocols that involve complex data systems, data linkage and capture,…
10	Biomedical Data Scientist Director Assoc	Lexington, KY	University of Kentucky	$61,693 - $101,795 a year	The HEALing Communities Study seeks a data scientist with healthcare and public health informatics expertise.Position Time Status Full-Time.
11	Biomedical Data Scientist	Lexington, KY	University of Kentucky	$56,035 - $92,435 a year	Statistical programming, database management, data science, working with biomedical data.Use data mining, statistics, statistical modeling and machine learning…
12	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
13	Biomedical Data Scientist	Lexington, KY+1 location	University of Kentucky	$56,035 - $92,435 a year	Statistical programming, database management, data science, working with biomedical data.Use data mining, statistics, statistical modeling and machine learning…
14	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
