	Title	Location	Company	Salary	Synopsis
0	Fraud Data Scientist	El Segundo, CA 90245	Stamps.com	Estimated $98.5K - $125K a year	Analyze large data sets to identify behavior trends among good users and bad actors, using pattern recognition techniques that include statistics, data mining,…
1	Senior Data Scientist, Customer Engagement Analytics	Irvine, CA	Zillow	$127,100 - $203,000 a year	Extensive experience querying multi-terabyte-sized noisy data sets such as clickstream data.Serve as a mentor and resource to other data scientists on the team…
2	Marketing Data Scientist	Culver City, CA	Synergis	$119,809 - $255,131 a year	Provide insight at scale through building automated reports and data pipelines.Experience with turning data into insights at scale using algorithms and machine…
3	Data Scientist Associate-CXI	Long Beach, CA 90806	SCAN Health Plan	Estimated $74K - $93.6K a year	Data sources including operational data, prospect data, call center data, core admin data, provider data, VOC data, clinical data, and external data.
4	Data Scientist	Los Angeles, CA	AEG Worldwide	Estimated $88.7K - $112K a year	You will gain hands on experience utilizing the rich set of ticketing data at AXS, building and deploying scalable data science models and tools.
5	Data Scientist	Pasadena, CA 91125 (Pasadena area)	California Institute of Technology	Estimated $84.3K - $107K a year	Performs complex data studies and data discovery around new data sources.Provides coaching and mentoring to others within/outside of the ASIC organization on…
6	Data Scientist	Los Angeles, CA+8 locations	TikTok	Estimated $104K - $132K a year	Previous experience in data science, data analytics, or product analytics at a consumer technology company.Acquire new data from various production systems and…
7	Public Health Data Scientist	Los Angeles, CA+2 locations	Healthcare Staffing Professionals, Inc.	$53.71 an hour	Build pipelines of clean data and deliver data in an easily consumable way for epidemiologists and other data analysts.Paid Holidays, Paid Sick Time, PTO.
8	Data Scientist / Machine Learning (algorithms)	Los Angeles, CA 90028 (Hollywood area)	Trufl Inc	$110,000 - $200,000 a year	Data mining or extracting usable data from valuable data sources.Present information using data visualization techniques.Big data: 3 years (Required).
9	Data Scientist	Manhattan Beach, CA 90266	Pancreatic Cancer Action Network	Estimated $109K - $137K a year	Oversee business data and analytics team that manages data reporting and analysis.Effectively present key data findings and results that focuses on translating…
10	Senior Data Scientist	Hybrid remote in Irvine, CA	Harnham	$170,000 - $200,000 a year	COMPANY: A growing start up that is working with healthcare data and financial data to create new medical products.Tackle R&D and new innovation problems.
11	Data Scientist	Cerritos, CA 90703	REVOLVE	Estimated $127K - $161K a year	Conduct complex analysis and build models to uncover key learning form data, leading to appropriate strategy recommendations.PhD in a quantitative field.
12	Staff Data Scientist	Remote in Irvine, CA 92612	CyberCoders	$180,000 - $225,000 a year	Work closely with data engineers to implement data systems in production.8+ years data Science experience.Large data sets / distributed applications.
