	Title	Location	Company	Salary	Synopsis
0	Part-Time Associate Data Scientist	Los Angeles, CA	Internet Brands	Estimated $43.9K - $55.7K a year	Enhancing data collection procedures to include information that is relevant for building analytic systems.Processing, cleansing, and verifying the integrity…
1	Data Scientist - Measurement	Los Angeles, CA	Foursquare	Estimated $98.4K - $125K a year	Strong background manipulating big data (EDA, data quality mitigation).Conduct ad-hoc data investigation and data-driven approaches for insights extraction.
2	Data Scientist	Remote in Los Angeles, CA 90028	Nativo	Estimated $128K - $162K a year	To manipulate data and draw insights from large data sets required.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
3	Data Scientist	Los Angeles, CA	AEG Worldwide	Estimated $88.7K - $112K a year	You will gain hands on experience utilizing the rich set of ticketing data at AXS, building and deploying scalable data science models and tools.
4	Data Scientist	Remote in Los Angeles, CA 90067	Robert Half	$120,000 - $180,000 a year	Compile and analyze data related to business' issues.Develop clear visualizations to convey complicated data in a straightforward fashion.
5	Public Health Data Scientist	Los Angeles, CA+2 locations	Healthcare Staffing Professionals, Inc.	$53.71 an hour	Build pipelines of clean data and deliver data in an easily consumable way for epidemiologists and other data analysts.Paid Holidays, Paid Sick Time, PTO.
6	Senior Data Scientist	Los Angeles, CA 90010 (Koreatown area)	Trusaic	Estimated $132K - $167K a year	Filter, sort, compute summary statistics, pivot tables and merge data in spreadsheets;Trusaic's products help companies achieve their Diversity, Equity, and…
7	Data Scientist / Machine Learning (algorithms)	Los Angeles, CA 90028 (Hollywood area)	Trufl Inc	$110,000 - $200,000 a year	Data mining or extracting usable data from valuable data sources.Present information using data visualization techniques.Big data: 3 years (Required).
8	Sr. Data Scientist	Los Angeles, CA	AEG Worldwide	Estimated $119K - $150K a year	Work collaboratively with Strategy team to determine data needs and help design, prepare, clean, and maintain large transactional, inventory, financial and…
9	Data Scientist	Los Angeles, CA	Dworo.io	$70,000 - $90,000 a year	Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.
10	Data Scientist	Cerritos, CA 90703	REVOLVE	Estimated $127K - $161K a year	Conduct complex analysis and build models to uncover key learning form data, leading to appropriate strategy recommendations.PhD in a quantitative field.
11	Data Scientist	Los Angeles, CA 90010 (Koreatown area)	RAPP	Estimated $109K - $138K a year	Our data science team partners closely with our Creative, Strategy, Analytics and Technology colleagues.You code in R or Python and don't mind getting your…
12	Data Scientist	Los Angeles, CA	Material	Estimated $101K - $129K a year	Recommend and execute predictive analytic and model delivery approaches for client engagements that involve survey and non-survey data, including but not…
13	Data Scientist	El Segundo, CA 90245	Saatchi & Saatchi (We Are Saatchi)	Estimated $124K - $158K a year	5+ years of relevant data science and analytics experience.Strong ability to translate between data/technical problems and business impact.
14	Data Scientist (Remote)	Remote in Los Angeles, CA 90071	Manufacturers Bank	Estimated $112K - $142K a year	In addition, the data scientist will assist in ensuring internal controls and documentation is complete and accurate.
15	Senior Data Scientist	Burbank, CA	Unity Technologies	Estimated $131K - $166K a year	Good communication skills to help collaboration with other data scientists and engineers.Enthusiasm about machine learning and data science.
16	Data Scientist (Remote)	Remote in Los Angeles, CA 90001	Steel Point Solutions L	Estimated $130K - $165K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
17	Data Scientist II	Pasadena, CA 91109	JPL/NASA	Estimated $98.4K - $125K a year	Support a collaborative, mentorship-driven, science-enabling community of data scientists.The Instrument Software and Science Data Systems Section is seeking a…
18	Data Scientist	Burbank, CA	Affine	Estimated $106K - $134K a year	We combine data-driven statistical and AI analyses with heuristic domain expertise to provide actionable insights empowering organizations to make informed…
19	Threat Data Scientist	Los Angeles, CA+8 locations	TikTok	Estimated $104K - $132K a year	We are seeking a driven and experienced data scientist who will be instrumental in informing user safety strategies as well as threat detection and mitigation…
20	Data Scientist	Los Angeles, CA	Core Digital Media	Estimated $107K - $135K a year	The data scientist will lean on their impressive written, verbal, and presentation skills to continually share their data analysis, propose new project ideas,…
21	Data Scientist	Panorama City, CA 91402	Center for Family Health and Education	Estimated $85.3K - $108K a year	Maintaining data integrity and security.Maintain patient data safety and confidentiality.Transforming or transferring data upon request.
22	Senior Data Scientist	Burbank, CA	Zest AI	Estimated $139K - $176K a year	Senior Data Scientists at Zest AI use the power of machine learning (ML) and statistical analysis to build, test, deploy, and monitor financial underwriting…
23	Senior Data Scientist	Remote in Los Angeles, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
24	Data Scientist	Venice, CA+1 location	AE Studio	Estimated $103K - $131K a year	We are a development, data science and design studio that works closely with founders and executives to create custom software and machine learning solutions.
25	Data Scientist	Remote in Los Angeles, CA	Circle	Estimated $126K - $160K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
26	Senior Data Scientist	Remote in Los Angeles, CA	TWO NIL	Estimated $138K - $174K a year	Guide and mentor junior data scientists in best practice regarding methodology.Collaborate with Data Engineering in productionizing and deploying data science…
