	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Louisville, KY	Health Strategy, LLC	None	Support internal assets in assessing large data sets by aggregating data using key contractual identifiers allowing for ad‐hoc analysis to be performed in…
1	Data Scientist	Louisville, KY 40202 (Central Business District area)	El Toro.com	Estimated $106K - $134K a year	Enhance the Company's data with third-party sources of data as needed to perform analysis.Independently perform data gathering, analysis, mapping,…
2	Senior Data Scientist	Louisville, KY 40202 (Central Business District area)	El Toro.com	Estimated $117K - $148K a year	Experience performing data management, mining, and manipulation along with analytics.In Short: Answer hard questions that may require processing a lot of data.
3	Data Science Application Developer	Remote in Louisville, KY 40206+1 location	Capture Higher Ed	Estimated $109K - $139K a year	Create and implement data models.Experience with common data science toolkits/frameworks like RStudio and Jupyter notebooks.
4	Senior Data Science Software Engineer (Remote)	Remote in Louisville, KY	Wood Mackenzie	Estimated $118K - $150K a year	This role will be part of the data asset team work working as part of a cross functional team to deliver best in class data and analytics to our clients.
5	Kubernetes and Docker Cloud Developer	Remote in Louisville, KY	Frontier Technology Inc.	Estimated $95.8K - $121K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
6	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
7	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
8	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
9	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
10	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
11	Director, Statistical Programming	Remote in United States	Everest Clinical Research	Estimated $136K - $172K a year	In-depth knowledge of industry standards on how clinical trial data are structured, stored, analyzed, and presented.Manage sponsors and vendor relationship.
12	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
13	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
14	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
15	Health Data Scientist	Louisville, KY 40202 (Central Business District area)	Louisville Metro Government	$28.94 an hour	Integrates data into an analytics-driven data source.Finds and chooses the optimal data sources and data features (variables), including creating new ones as…
16	Data Scientist	Louisville, KY 40202 (Central Business District area)	El Toro.com	Estimated $105K - $133K a year	Enhance the Company's data with third-party sources of data as needed to perform analysis.Independently perform data gathering, analysis, mapping,…
17	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
18	Senior Data Scientist	Louisville, KY 40202 (Central Business District area)	El Toro.com	Estimated $110K - $139K a year	Experience performing data management, mining, and manipulation along with analytics.In Short: Answer hard questions that may require processing a lot of data.
19	Senior Data Scientist	Louisville, KY 40202 (Central Business District area)	El Toro.com	Estimated $111K - $141K a year	Experience performing data management, mining, and manipulation along with analytics.In Short: Answer hard questions that may require processing a lot of data.
20	Senior Data Science Software Engineer (Remote)	Remote in Louisville, KY	Wood Mackenzie	Estimated $124K - $157K a year	This role will be part of the data asset team work working as part of a cross functional team to deliver best in class data and analytics to our clients.
