	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist	Memphis, TN	ARGO	Estimated $124K - $157K a year	And machine learning to manipulate data and draw insights from large data sets.Communicates data findings to stakeholders throughout the organization to…
1	Data Plane Engineer	Remote in Memphis, TN	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
2	Machine Learning Engineer, Platform	Remote in Memphis, TN+2 locations	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
3	Data Scientist	Memphis, TN	ARGO	Estimated $89K - $113K a year	And machine learning methods to manipulate data and draw insights from large data sets.Experience with distributed data/computing tools.
4	Sr. Systems Engineer & Data Analyst	Memphis, TN 38103 (Downtown area)	Prospero Health	Estimated $92K - $116K a year	Experience reading and understanding data models for both Operational and Data Warehousing domains.Responsible for identifying, understanding and translating…
5	Senior Data Analyst	Memphis, TN 38103 (Downtown area)	VMLY&R	Estimated $69.5K - $87.9K a year	Extract data from various digital tools.Manage data accuracy and integrity for client marketing programs.Implement, collect, and analyze natural language data…
6	Kubernetes and Docker Cloud Developer	Remote in Memphis, TN	Frontier Technology Inc.	Estimated $101K - $128K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
7	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
8	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
9	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
10	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
11	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
12	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
13	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
14	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
15	Full Stack Software Engineer- AI Ops	Memphis, TN 37501 (Parkway Village-Oakhaven area)	New Relic	None	We are looking for an extraordinary Full-Stack Software Engineer, to help us deliver and scale an innovative approach to root cause analysis using AI and…
16	Full Stack Software Engineer- AI Ops	Memphis, TN 37501 (Parkway Village-Oakhaven area)	New Relic	None	New Relic takes seriously our stewardship of the data of our thousands of customers worldwide.This position is perfect for someone who loves to work with large…
17	Sr. Systems Engineer & Data Analyst	Memphis, TN 38103 (Downtown area)	Prospero Health	Estimated $92K - $116K a year	Experience reading and understanding data models for both Operational and Data Warehousing domains.Technology positions in Prospero are part of a dyad team of…
18	Kubernetes and Docker Cloud Developer	Remote in Memphis, TN	Frontier Technology Inc.	Estimated $101K - $128K a year	Experience working with data stores/databases.Candidates must be able to work both independently and together with scientists and other software engineers in…
19	Data Plane Engineer	Remote in Memphis, TN	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:
20	Senior Data Scientist	Memphis, TN+1 location	ARGO	Estimated $124K - $157K a year	And machine learning to manipulate data and draw insights from large data sets.Communicates data findings to stakeholders throughout the organization to…
21	Senior Machine Learning Engineer - Natural Language Processi...	Remote in Memphis, TN+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	They are shifting the entire landscape of data protection technology through automation and machine learning.This role requires you to design and implement end…
22	Machine Learning Engineer, Platform	Remote in Memphis, TN	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
23	Sr. Systems Engineer & Data Analyst	Memphis, TN 38103 (Downtown area)	Prospero Health	Estimated $90.2K - $114K a year	Experience reading and understanding data models for both Operational and Data Warehousing domains.Responsible for identifying, understanding and translating…
