	Title	Location	Company	Salary	Synopsis
0	Data Analyst / Sr Data Analyst	Phoenix, AZ	Upgrade	Estimated $72K - $91.2K a year	Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources.
1	Data Scientist	Remote in Phoenix, AZ 85021	CyberCoders	$100,000 - $110,000 a year	Translate data analysis to guide business decisions.Created data visualizations to help business leaders understand their business problems and the proposed…
2	Big Data Engineer	Mesa, AZ	24-7 Intouch	Estimated $100K - $127K a year	Load from disparate data sets by leveraging various big data technology e.g. Kafka.Design and implement data modeling.As Big Data Engineer, You Will….
3	Senior Director of Data Science	Remote in Phoenix, AZ 85070	DIRECTV	$169,300 - $338,500 a year	The DIRECTV Chief Data Office is looking for a creative, highly motivated Director of Data Science to provide technical and thought leadership to a team of data…
4	Senior Data Scientist	Chandler, AZ 85225	Saguaro Capital Management	Estimated $122K - $154K a year	Work in an agile, collaborative environment with data engineers, data scientists and financial analysts.Solid understanding of modern methods for building…
5	Data Scientist (Contract)	Scottsdale, AZ 85260 (North Scottsdale area)	Early Warning Services	Estimated $91.4K - $116K a year	Explore and aggregate data independently to uncover data anomalies that impact algorithm performance.Experience using data visualization tools.
6	Data Scientist II	Remote in Phoenix, AZ 85004+1 location	Freeport McMoRan	Estimated $107K - $135K a year	You are an analytics specialist who enjoys grappling with vast data sets, tapped from our long-standing investment in collecting and cleaning data.
7	Data Analyst/Senior Data Analyst	Mesa, AZ+1 location	City of Mesa, AZ	$59,820 - $88,561 a year	This position is expected to assess and promote data-driven practices that will improve City operations and outcomes for Mesa residents and visitors.
8	Data Scientist	Remote in Tempe, AZ	Silicon Valley Bank	Estimated $102K - $129K a year	5+ years of experience with a focus on data and analytics.Strong background in data science, statistical models, and tools.© 2021 SVB Financial Group.
9	Data Scientist	Phoenix, AZ	TechOkaya	Estimated $81.4K - $103K a year	Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources.
10	Data Scientist (100% Remote)	Remote in Phoenix, AZ 85067	Frontdoor	Estimated $124K - $157K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
11	Data Scientist	Remote in Phoenix, AZ	Circle	Estimated $120K - $152K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
12	Princ. Data Scientist	Tempe, AZ 85281	NortonLifeLock	Estimated $112K - $142K a year	Work with analysts, data scientists, and marketing teams to optimize spend and ads performance, predict future behavior, and make robust data models.
13	Mid-Level Data Scientist	Phoenix, AZ	Leadpoint	Estimated $68K - $86K a year	Supports Operations through Business Analytics as an SME for Office 365, Salesforce and data warehouse tools.Manages and coordinates with outsourced Technology…
14	Senior Data Scientist/Machine Learning Engineer	Phoenix, AZ	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
15	Data Scientist	Remote in Phoenix, AZ+1 location	Comcentric	$139,000 - $276,000 a year	Mentor and grow other software engineers, data scientists, and ML engineers across teams.Solid knowledge of data structures and algorithms.
16	Senior Technical Product Manager, Data	Remote in Scottsdale, AZ 85250	Imagine Learning	Estimated $133K - $168K a year	Experience in defining data models and data dictionaries for enterprise data platforms with development teams is required.401k plan with a company match.
17	Senior Data Scientist	Remote in Tempe, AZ	Silicon Valley Bank	Estimated $118K - $149K a year	Ability to communicate data visualization best practices.Strong SQL skills and understanding of data management.© 2021 SVB Financial Group.
18	Sr. Data Scientist - Data Analytics and Tools	Scottsdale, AZ 85260 (North Scottsdale area)	Early Warning Services	Estimated $110K - $139K a year	Experience handling large datasets in data lake or data warehouse.Writing and tuning SQL or interacting with databases, data warehouses, and data lakes.
19	Data Analyst, Sr. - AIS	Remote in Phoenix, AZ 85048	AIS Management LLC	Estimated $82.7K - $105K a year	Verifies accuracy of data pulled and revises methods of data retrieval when necessary.Reviews data from various sources for analysis.
20	Data Scientist	Phoenix, AZ 85016 (Camelback East area)	DLR Group	Estimated $101K - $128K a year	Explore and examine data from a variety of angles using appropriate profiling techniques to understand the data and determine hidden weaknesses, trends, and/or…
21	Machine Learning Engineer	Scottsdale, AZ+1 location	Defendry	Estimated $103K - $130K a year	You will be joining a fast paced, dynamic environment and product team, working with top talent in the fields of Data Science / Machine Learning, Cloud…
22	Lead II - Data Analysis	Tempe, AZ	UST Global	Estimated $97.3K - $123K a year	Analyze data requirements, complex source data, data models, and determine the best methods in extracting, transforming and loading the data into the data…
23	Machine Learning Expert	Scottsdale, AZ 85260 (North Scottsdale area)	Modulus	Estimated $88.1K - $112K a year	Detect money laundering activities and automate filing of Suspicious Activity Reports with trade transaction data.
24	Senior Software Engineer, Data Science	Phoenix, AZ	Carvana	From $20,000 a month	You will work with a top-caliber team of data scientists and engineers and will build software and systems that transform advanced mathematical algorithms and…
25	Senior Data Science Manager	Remote in Scottsdale, AZ 85251	TD2	Estimated $123K - $156K a year	Maintains safety data dashboards using current data extracts.Demonstrates skill in developing qualitative and quantitative measurements to summarize results of…
26	Data Scientist	Chandler, AZ 85225	Saguaro Capital Management	Estimated $89.5K - $113K a year	Work in an agile, collaborative environment with data engineers, data scientists and financial analysts.Solid understanding of modern methods for building…
27	Senior SAS Data Analyst	Phoenix, AZ	Celerion	Estimated $78.6K - $99.6K a year	Independently develop, maintain and process SAS programs for complex studies that create: analysis data sets, statistical analyses, data listings, edit checks …
28	Senior Decision Scientist	Remote in Tempe, AZ	Silicon Valley Bank	Estimated $103K - $131K a year	Ability to frame business questions in data and analytical terms.Synthesize data analysis into easily understandable stories for your business partners in…
29	Sr Data Science Specialist	Phoenix, AZ 85004 (Central City area)	Arizona State University	$85,000 - $115,000 a year	This data is then usable in data science, individually or linked with other data sources.Create analytic data sets from source data and conduct statistical…
30	Senior Data Analyst	Phoenix, AZ	arrivia	Estimated $81.2K - $103K a year	You will interface closely with data warehouse development to ensure the accuracy of accounting data and become a technical liaison to provide general data…
31	Senior Analyst, Data Science & Analytics	Remote in Phoenix, AZ+1 location	Reify Health (Jobs)	Estimated $97.7K - $124K a year	Comfort with modern data analytics and BI environments such as Jupyter, Dash, Quicksight, etc.Developing clean, reusable, and testable analytical code and make…
32	Data Architect	Phoenix, AZ	CrossCountry Consulting	Estimated $141K - $178K a year	Design and implement complex data and analytics solutions to build next-generation data analytic platforms and solutions.
33	Staff Data Analyst	Tempe, AZ 85281	Freedom Financial Network	Estimated $77.8K - $98.4K a year	You have a strong understanding on how data should be captured within products and services and are able to collaborate & guide the business and data…
34	Predictive Analytics Model Developer	Tempe, AZ	Shellpoint Mortgage Servicing	Estimated $80.8K - $102K a year	Do ad hoc data analysis to answer questions which emerge in a fast-moving borrower market.Do exploratory data analysis and collateral surveillance to…
35	Senior Data Analyst	Phoenix, AZ 85014 (Camelback East area)	Contexture	$77,500 a year	Lead and support external and internal customers in data acquisition activities, this includes data validation and in-depth analysis of source data used for…
36	Senior Data Analyst - Revenue Cycle - Remote	Phoenix, AZ 85012 (Encanto area)	Terros	None	Supports Revenue Cycle Management operations via data extraction, data analysis, dashboard and report build outs.Senior Data Analyst - Revenue Cycle.
37	Statistical Programmer	Phoenix, AZ 85021 (North Mountain area)	Saama Technologies Inc	Estimated $93.3K - $118K a year	 Programming in Python/SAS for analyzing data and producing SDTM, Safety ADaM and. To provide details or data to the supervisor for updating the matrices on…
38	Divisional Data Officer, Lending and Commercial Sales	Tempe, AZ	Silicon Valley Bank	None	Broad experience desired, in multiple domain areas, such as data warehousing, business intelligence (BI), data governance, data architecture, data integration,…
39	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Tempe, AZ 85287	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
40	Data Product Manager	Tempe, AZ 85281	Freedom Financial Network	Estimated $123K - $156K a year	Transform the way our Marketing departments consume data and insights through well-designed data models and self-service reporting products.
41	Sr. Staff Engineer - Data Engineering	Scottsdale, AZ 85260 (North Scottsdale area)	Early Warning Services	Estimated $121K - $154K a year	Drive all aspects of technical and data architecture, design, prototyping and implementation in support of both product needs as well as overall technology data…
