	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in Florida	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Data Scientist	Miami, FL 33137 (Wynwood - Edgewater area)	Greenbox Capital	$150,000 - $180,000 a year	Provide mentorship to junior data scientists in aspects of machine learning, data and software engineering, and assist them with practical guidance, when needed…
2	Data Scientist	Miami, FL 33199	Florida International University	$90,000 - $110,000 a year	Develops custom data models and algorithms to apply to data sets.Assesses the effectiveness and accuracy of new data sources and data gathering techniques.
3	Basketball Data Scientist	Miami, FL 33132 (Downtown area)	Miami Heat Limited Partnership	Estimated $82.7K - $105K a year	Apply data processing and manipulation techniques to a wide range of data sets from various sources.Use data visualization techniques to build tools for…
4	Data Scientist (Remote)	Remote in Miami, FL 33101	Steel Point Solutions L	Estimated $120K - $153K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
5	Finance Data Scientist	Remote in Miami, FL	Blockchain.com	Estimated $108K - $137K a year	Proficiency with data processing and data warehouse / big data environments.Proficiency with designing data models, defining data architecture schema etc.
6	Sr. Data Scientist - 100% Remote	Remote in Pembroke Pines, FL	EVB	Estimated $113K - $143K a year	Have excellent Python skills, not only on the typical “coding for data science” level but also from a good-software-development-practices standpoint.
7	Data Scientist	Miami, FL	Traxion Group, Inc	Estimated $104K - $132K a year	Proactively research data and identify opportunities in the data to drive the roadmap.Work both independently and alongside partners, creating and maintaining…
8	Data Scientist	Miami, FL	Bacardi	Estimated $83.5K - $106K a year	Navigate a variety of data sources, such as enterprise data, distributor data, consumer pull data, and/or other external data sources to uncover drivers,…
9	Data Scientist	Remote in Miami, FL	Circle	Estimated $113K - $142K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
10	Data Science Manager (Remote Friendly)	Remote in Miami, FL	Mission Lane LLC	Estimated $101K - $128K a year	You have a deep understanding of the field of data science and can develop and communicate a vision to your team on how the field can be applied to solve…
11	Senior Data Scientist at Rent-to-Own Startup	Remote in Miami, FL	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
12	Senior Data Scientist	Miami, FL	Accelya	Estimated $111K - $141K a year	Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms.
13	Data Scientist	Miami, FL 33137 (Upper Eastside area)	Greenbox Capital	Estimated $90K - $114K a year	Provide mentorship to junior data scientists in aspects of machine learning, data and software engineering, and assist them with practical guidance, when needed…
14	Junior Data Scientist, Marketing Analytics and Campaign Exec...	Hybrid remote in Miami, FL+1 location	Holland America Line	Estimated $72.4K - $91.6K a year	Experience on machine learning and data modelling a big plus.Preferred experience of analyzing customer level data especially in retail or hospitality industry…
15	Meta Data Scientist- 4196009	Miami, FL 33126 (Flagami area)	Accenture	$39.60 - $72.74 an hour	Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…
16	Senior Data Scientist/Machine Learning Engineer	Remote in Miami, FL+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
17	Data Scientist	Fort Lauderdale, FL 33301 (Colee Hammock area)	Sabal Tech	Estimated $106K - $135K a year	Ability to structure data for business use case visualizations.5+ years hands-on experience with relevant technology.AWS, GCP, Azure ecosystems or similar.
18	Digital Marketing Associate/Statistical Analyst	Miami, FL 33176	BlackDog Advertising	Estimated $45.5K - $57.5K a year	Collate data and create reports and tracking for campaigns.Responsibilities will include assisting with strategy and implementation of organic and paid digital…
19	SR DATA SCIENTIST	Remote in Coral Gables, FL 33146	Bayview Asset Management	Estimated $116K - $147K a year	Minimum 5 years’ experience managing a team of data scientists/statistical modelers.Ability to do hands on modeling as well as manage and train a large team of…
20	Senior Data Scientist	Remote in Fort Lauderdale, FL 33324	Bankers Healthcare Group	Estimated $118K - $149K a year	Modeling experience with FCRA-regulated data (e.g. credit bureau attributes) is a plus.Strong communication skills: written, verbal, presentation, and…
