	Title	Location	Company	Salary	Synopsis
0	DATA SCIENTIST I	Remote in Milwaukee, WI 53201	University of Wisconsin–Milwaukee	$40,200 - $92,300 a year	Implements appropriate data science techniques under the guidance of other data scientists, statisticians, and/or other researchers to find data patterns and…
1	Data Scientist I	Milwaukee, WI	Children's Wisconsin	Estimated $88.2K - $112K a year	Knowledge of statistical analysis and other data analysis concepts, including but not limited to confidence limits, statistical testing, data modeling and…
2	Data Scientist	Delafield, WI 53018	Elutions	Estimated $82.9K - $105K a year	Perform exploratory data analysis and statistical modelling with high quality data handling techniques.Ability to work with unstructured data.
3	Statistical Programming Lead | Top-3 Pharma	Milwaukee, WI	Warman O'Brien	Up to $155,000 a year	Using your experience, you will be responsible for the Statistical Programming team delivery for 1+ clinical projects of low to mid complexity.
4	Data Scientist	Remote in Milwaukee, WI	Circle	Estimated $112K - $142K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
5	Data Scientist	Milwaukee, WI	MGIC	Estimated $97.9K - $124K a year	Experience working with and creating data architectures.Participate in the planning of complex data and analytics strategy.Completion of Master’s Degree.
6	Senior Data Scientist at Rent-to-Own Startup	Remote in Milwaukee, WI 53205	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
7	Data & AI Engineer	Remote in Brookfield, WI	Concurrency	Estimated $96K - $122K a year	Fundamental knowledge in data modeling data vault and dimensional structures.Support data migrations from SQL and open-source repositories into modern Azure…
8	Data Plane Engineer	Remote in Milwaukee, WI 53205	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
9	Data Scientist	Milwaukee, WI	Direct Supply	Estimated $53.3K - $67.5K a year	Use querying languages such as SQL to perform comprehensive data analysis and validate solutions utilizing a thorough understanding of Direct Supply data…
10	Head of Machine Learning - Document Analysis and NLP	Remote in Milwaukee, WI 53205+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
11	Senior Marketing Data Analyst	Remote in Milwaukee, WI	Circle	Estimated $88.5K - $112K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
12	Senior Systems Analyst - Data & Analytics	Oak Creek, WI 53154	Outdoors & Security	Estimated $90.4K - $114K a year	Proficient with data warehouse architecture and data pipelines (ELT/ETL, data modeling).5+ years of experience with data integration/quality tools (prefer…
13	NLP Engineer at Speech to Text Start Up	Remote in Milwaukee, WI 53205	Recruiting From Scratch	Estimated $121K - $153K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
14	Data Architect	Milwaukee, WI	SysLogic, Inc.	Estimated $122K - $154K a year	Expertise in the development of process and data models.Experience with Power BI or similar data visualization tools.
15	Senior Data Scientist	Milwaukee, WI	Direct Supply	Estimated $60.3K - $76.3K a year	Use querying languages such as SQL to perform comprehensive data analysis and validate solutions utilizing a thorough understanding of Direct Supply data…
16	Principal ML & NLP Engineer	Remote in Milwaukee, WI 53205	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
17	Senior AI Developer	Remote in Milwaukee, WI	SafeNet Consulting	Estimated $115K - $145K a year	Minimum 8+ years building applications and structuring/transforming data.SafeNet Consulting seeks to leverage data for operational efficiency and strategic…
18	Kubernetes and Docker Cloud Developer	Remote in Milwaukee, WI	Frontier Technology Inc.	Estimated $99.8K - $126K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
19	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
20	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
21	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
22	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
23	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
