	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Bloomington, MN 55431	SFM Mutual Insurance Company	Estimated $78.5K - $99.3K a year	Extract and manipulate data: Collect or extract data from internal and external sources, including processing, cleaning, and validating data for use in…
1	Sr Data Scientist - Demand Forecasting (Full-Time Remote or...	Remote in Brooklyn Park, MN 55445	Target	$87,600 - $157,700 a year	Understanding of data structures and algorithms.You’ll work closely with partner team data scientists and Merch business partners to continuously learn more…
2	Senior Data Scientist - NLP	Remote in Minneapolis, MN 55415	CyberCoders	$130,000 - $160,000 a year	As our Senior Data Scientist, you'll be using Machine Learning and Natural Language Processing to analyze speech and text data from customer and client…
3	Associate Data Scientist - Research Analysis Spec	Minneapolis, MN 55413 (Southeast Como area)	Minnesota Department of Education	$51,427 - $75,419 a year	As the Associate Psychometrician for the Minnesota Department of Education's Division of Academic Standards, Instruction, and Assessment, you will lead the…
4	Data Scientist	Minneapolis, MN 55414 (Prospect Park area)	Enable Data	Estimated $97.6K - $124K a year	A data scientist understands how to integrate multiple systems and data sets.This often requires connecting different types of data sets in different forms as…
5	Data Scientist	Minneapolis, MN	U.S. Bank	$95,540 - $112,400 a year	Acquires data from multiple data sources to perform analysis.Responsible for big data/analytics projects that gather and integrate large volumes of data.
6	Data Scientist	Remote in Eden Prairie, MN	vRad	Estimated $85.4K - $108K a year	Assist with creation and deployment of long-term data management structure and data reporting tools.Thoroughly analyze data, quickly identify relevant…
7	Data Scientist - DOF	Minneapolis, MN 55401 (North Loop area)+1 location	Xcel Energy	$87,000 - $123,666 a year	Data Wrangling/Exploration: Follow consistent practices to ensure data integrity and deal with imperfections in data.
8	Data Science Lead	Remote in Minneapolis, MN	Trissential	Estimated $109K - $138K a year	Data security (including data masking and related data protection techniques).Design and development of data models, ingestion and extraction code and…
9	Data Scientist	Remote in Minneapolis, MN	Circle	Estimated $114K - $144K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
10	Data Scientist – Digital agriculture	Hybrid remote in Minneapolis, MN	EarthDaily Agro	Estimated $67.1K - $84.9K a year	Contribute to defining our data and technology strategy.At least one significant experience in geospatial data and agriculture-related projects.
11	Data Scientist (100% Remote)	Remote in Saint Paul, MN 55145	Frontdoor	Estimated $120K - $153K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
12	Data Scientist	Hybrid remote in Eden Prairie, MN 55347	Bluestem Brands	Estimated $97.7K - $124K a year	Perform high quality, data driven statistical inference.Assess the usefulness of new data sources, transformations, and modeling techniques.
13	Senior Data Scientist	Minneapolis, MN	Erstom	Estimated $132K - $167K a year	Apply data mining techniques and perform statistical analysis as needed.Collect and organize information from a variety of data sources.
14	Data Scientist/Quantitative Analyst – Stress Testing	Remote in Minneapolis, MN 55401	Federal Reserve Bank of Minneapolis	Estimated $80.2K - $102K a year	Expertise in management of data requirements and use of data in relational databases using SQL.Develops and maintains automated analytical tools to support…
15	Head of Data Science and Analytics	Minneapolis, MN 55405 (Bryn Mawr area)	Reema Health	Estimated $89.3K - $113K a year	Help to design and maintain a data warehouse and other requisite data infrastructure.Experience working with medical claims data.
16	Data Scientist	Richfield, MN	Colsh Consultants	Estimated $89.9K - $114K a year	Develop data modeling and data-driven solutions based on business requirements.Define data quality and make recommendations.
17	Senior Data Scientist at Rent-to-Own Startup	Remote in Minneapolis, MN 55404	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
18	Associate Data Scientist - Research Analysis Spec	Minneapolis, MN 55445	State of Minnesota	$24.63 - $36.12 an hour	Conducting data integrity checks through methodical and well-documented procedures so that all aspects of data are continually reviewed for accuracy until…
19	Data Scientist II - Marketing	Minnetonka, MN 55305	Global Overview	Estimated $96.3K - $122K a year	Current experience as a data scientist building statistical and machine learning models.Creation of data models and algorithms to fulfill business needs,…
20	Data Scientist - Platform	Minneapolis, MN 55401 (North Loop area)+1 location	Ovative Group, LLC	$62,000 - $93,000 a year	Apply data science best practices to enable greater data discoverability.Support data engineers in design of core data infrastructure (30%).
21	Senior Data Scientist	Minneapolis, MN 55401 (Downtown West area)	Code42	Estimated $119K - $151K a year	Working closely with product managers, engineers, and data analysts on the Incydr product to identify customer needs and design data-driven solutions.
22	Sr Data Analyst - Target Circle (Full-Time Remote Or Hybrid)	Remote in Minneapolis, MN 55403	TARGET	$65,600 - $118,100 a year	Solid problem solving, analytical skills, and data curiosity.Be expert in Data function and integrate with business partners and other data teams to accurately…
23	Data Scientist - Research, Evaluation, Assessment and Acct	Minneapolis, MN	Minneapolis Public Schools	$90,134 - $112,565 a year	Engages with MPS departments to influence data literacy and data use.Develops and applies SQL data pulls to acquire and compile the necessary source data;…
24	Senior Data Analyst	Minneapolis, MN	ICU Medical	Estimated $83.9K - $106K a year	Expert data mining of large sets of data and turning into actionable information.Implements common data standards enabling consistent and accurate reporting…
25	Data Science Lead	Remote in Minneapolis, MN	Expleo	Estimated $125K - $159K a year	Data security (including data masking and related data protection techniques).Design and development of data models, ingestion and extraction code and…
26	Staff Data Scientist	Minneapolis, MN	Syrinx	Estimated $112K - $141K a year	Analyze large data sets to develop multiple, custom models and algorithms to drive innovative correlations for fraud and acceptance data as well as social data.
27	Senior Data Analyst	Remote in Minneapolis, MN	Wunderman Thompson	Estimated $88.4K - $112K a year	Data Management & Analysis: Undertake data extraction and processing to build insights relevant to the project; ensure that all data is systematically checked…
28	Data Scientist	Minneapolis, MN 55402 (Downtown West area)	DLR Group	Estimated $103K - $130K a year	Explore and examine data from a variety of angles using appropriate profiling techniques to understand the data and determine hidden weaknesses, trends, and/or…
29	Senior Data Scientist | Remote	Remote in Minneapolis, MN 55416	Allianz US Life	Estimated $99.7K - $126K a year	Able to understand various data structures and common methods in data transformation.1+ years’ experience required in statistical analysis, data analytics and…
30	Senior Data Analyst - Data Science Practice	Bloomington, MN	Cigna	$68,200 - $113,600 a year	The data analyst will join a highly collaborative data science team in designing and implementation machine learning.1+ year experience in SQL.
