	Title	Location	Company	Salary	Synopsis
0	Jr. Data Scientist	Franklin, TN 37064 (Central Franklin area)	DonorBureau, LLC	$55,000 - $65,000 a year	Experience with queries, report writing, and data storytelling.Analytical skills with the ability to collect, organize, and analyze significant amounts of data…
1	Remote Mid Level Data Scientist - $70/hr	Remote in Nashville, TN	Vaco	$70 an hour	Experience working with and creating data architectures.Deploying and managing data and ML models on AWS.Experience visualizing/presenting data for internal…
2	Data Scientist	Nashville, TN 37219	Internal Data Resources	$70,000 - $120,000 a year	Integrate large volume of data from different sources to create data assets and perform analyses.Apply validation, aggregation and reconciliation techniques to…
3	Data Scientist	Remote in Nashville, TN 37201	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
4	Senior Data Scientist (Remote)	Remote in Nashville, TN	Quora	Estimated $109K - $138K a year	Improve the work of other data scientists through leadership, mentorship, and by bringing industry best practices to the team.
5	Data Scientist - Ads Optimization	Remote in Nashville, TN	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
6	Senior Data Scientist at Rent-to-Own Startup	Remote in Nashville, TN 37235	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
7	Senior Data Scientist/Machine Learning Engineer	Remote in Nashville, TN 37235+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
8	Senior Data Analyst	Nashville, TN	Ramsey Solutions	Estimated $81.5K - $103K a year	Partner with data developers to transform and organize data into useful models for self-service and analysis.You always back up your position with data.
9	Data Scientist	Franklin, TN 37064	S&H Industrial Services, Inc	Estimated $77.1K - $97.7K a year	Experience in data collection and data visualization.Identifying patterns and trends in data sets.Defining new data collection and analysis processes.
10	Data Scientist	Nashville, TN 37205	InfoWorks	Estimated $69.1K - $87.5K a year	A data scientist at InfoWorks uses numerous methods, such as advanced analytics, data modeling, and machine learning, to solve business challenges for…
11	Senior Data Analyst	Remote in Nashville, TN 37011	Trupanion	Estimated $80K - $101K a year	Extract and reconcile data from our robust data warehouse or identify and strategize new data to be collected through third party partnerships, surveys and more…
12	Senior Data Scientist	Franklin, TN 37064	S&H Industrial Services, Inc	Estimated $115K - $145K a year	Create data/analysis / decision models using best practices to ensure high data quality.Identifying patterns and trends in data sets.
13	Data Scientist (ACAL) – SACS	Nashville, TN 37208 (Fisk - Meharry area)+1 location	Meharry Medical College	Estimated $93.4K - $118K a year	Pull data from disparate sources, import it into a Big data management and analytics platform, and use several procedures to detect invalid data; format,…
14	Senior Marketing Data Analyst	Remote in Nashville, TN 37203	MP&F Strategic Communications	Estimated $83K - $105K a year	Lead data-driven marketing teams and campaigns.Qualified candidates will have 8-plus years in marketing data or related field; fluency in standard marketing…
15	Data Plane Engineer	Remote in Nashville, TN 37235	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
16	Principal Data Scientist	Nashville, TN	CEDENT	$150,000 - $180,000 a year	Enjoys mentoring, training and coaching other data scientists and analysts.Confident in creating and communicating standards and best practices for data…
17	Remote: Senior Data Scientist	Remote in Brentwood, TN 37027	CleanSlate Centers	Estimated $87.9K - $111K a year	Work in an agile manner with business users, data analysts and data scientists to understand and discover the potential business value of new and existing Data…
18	STATISTICAL ANALYST 4 - 04282022-30640	Nashville, TN 37243 (Capitol Hill Area area)	State of Tennessee	$38,472 a year	Enters or imports collected statistical data into appropriate database and fields to analyze data.Monitors work flow and data by contacting outside sources to…
19	Senior Director of Data Science	Nashville, TN 37208 (Germantown area)	Healthpilot Technologies LLC	Estimated $145K - $184K a year	This role will work closely with Product, Engineering and Business Development leadership to create data analysis and data models to help advise consumers using…
20	Transportation Data Modeler	Remote in Nashville, TN 37201	Greater Nashville Regional Council	Estimated $78.1K - $98.9K a year	The team consists of expert users of geographic information systems (GIS), data visualization tools, forecasting models, and web-based data applications.
21	W.E.B. Du Bois Data, Technology & Information Fellow-in-Resi...	Nashville, TN 37208 (Fisk - Meharry area)	Fisk University	$80,000 a year	Knowledge of current issues regarding data curation in the humanities.Proficient in related quantitative and computing skills for data management.
22	Statistical Genetic Analyst II	Nashville, TN 37232	Vanderbilt University Medical Center	$51,251 - $72,051 a year	Applications: Maintain and handle requests for research data formatting tools, as requested.This position requires a master’s degree in bioinformatics,…
23	DevOps Engineer - Machine Learning	Nashville, TN	Logic20/20 Inc.	Estimated $111K - $140K a year	As a DevOps Engineer on this project, you’ll build infrastructure to support wildfire mitigation as well as increase customer safety.
24	Sr. Data Analyst	Franklin, TN 37067	Sharecare Inc.	Estimated $83.2K - $105K a year	With the identification and analysis of data issues in support of continuous data integrity validation and quality improvement processes.
25	Senior Marketing Data Analyst	Remote in Nashville, TN 37203	MCNEELY PIGOTT & FOX	Estimated $83K - $105K a year	Lead data-driven marketing teams and campaigns.Qualified candidates will have 8-plus years in marketing data or related field; fluency in standard marketing…
26	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Nashville, TN 37250	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
27	Sr. Data Analyst-Strategic Operations	Hybrid remote in Nashville, TN	Broadcast Music, Inc	Estimated $97.6K - $124K a year	Experience conducting research and analysis with large data sets.Must have knowledge of data processing concepts, basic statistics, and database concepts.
28	TG Manager, Data Science (Remote)	Remote in Nashville, TN	The General Insurance	Up to $177,900 a year	A successful candidate will champion data science and data science engineering to the rest of the company, monitor performance, and ensure success of data…
