	Title	Location	Company	Salary	Synopsis
0	Data Scientist	New Orleans, LA	Code Willing	Estimated $86.8K - $110K a year	Perform research projects on various data pipelines, data sets, and data products.Experience working with financial data.Proficient in Python and/or R.
1	Senior Data Analyst	New Orleans, LA 70115 (Touro area)	Billion Dollar Boy	Estimated $78.3K - $99.1K a year	Analysing our own data to help drive strategic data driven decisions.Experience with Google Sheets, SQL, experience with dashboard tools a bonus (we utilize…
2	Kubernetes and Docker Cloud Developer	Remote in New Orleans, LA	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.Candidates must be able to work both independently and together with scientists and other software engineers in…
3	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
4	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
5	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
6	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
7	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
8	Kubernetes and Docker Cloud Developer	Remote in New Orleans, LA	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
9	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
10	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
11	Manager, Business Analytics	New Orleans, LA	Entergy	Estimated $70K - $88.6K a year	This service allows business functions to store data and information in a centralized, secure, and easily accessible digital technology environment.
12	Medical Technologist (ASCP)	New Orleans, LA 70119 (Tulane-Gravier area)	Extreme Data Technologies	$40 - $60 an hour	Current need for a Medical Technologist to support the Southeast Louisiana Veterans Health Care System (SLVHCS), for varying periods of time and in various…
13	Clinical Laboratory Science Technician (MLT, MT, CLS)	New Orleans, LA 70112 (Central Business District area)+1 location	PetVet Dx	$25 - $50 an hour	Ability to operate PC, Microsoft Office data analysis software, lab information systems.Manage data entry tasks associated with punching in patient specimen…
14	Administrative Coordinator	New Orleans, LA 70122 (Dillard area)	Advano	Estimated $36.7K - $46.5K a year	To commercialize Advano’s REALSI™ technology for use in lithium-ion batteries, we need someone who will provide high-level administrative support to the Chief…
15	Post-Doc Fellow	New Orleans, LA 70115 (Touro area)	LSUHSC	Estimated $26.4K - $33.4K a year	But, they will include: 1) collection, management and analysis of quantitative and qualitative data, 2) developing and leading manuscripts, engaging academic,…
16	Geologist/Environmental Scientist Consultant (Associate Leve...	New Orleans, LA+1 location	ERM Group	Estimated $52.8K - $66.8K a year	Assist in data interpretation and preparation of site work plans, spreadsheets, figures, and technical reports.
17	Senior Environmental Planner - Wetlands	New Orleans, LA 70123	Terracon Consultants, Inc.	Estimated $67.8K - $85.8K a year	Perform site visits, field observations and field data collection in area of technical expertise.Mentor, supervise, and oversee staff environmental scientists,…
18	Industrial Hygienist	Destrehan, LA	Technical Environmental Services Inc	$18 - $22 an hour	Possess the ability to interpret IH exposure data to team members and exposure methodologies.Developing, implementing, and maintaining written occupational…
19	Territory Manager, New Orleans - REMOTE, Field Based Role	Remote in New Orleans, LA	Juul Labs	None	Proficiency with and willingness to learn new sales technology and data analytics.Develop SWOT and territory analysis and execute sales strategies against…
20	Splunk Engineer/Architect-New Orleans, LA	Remote in New Orleans, LA 70112	iSenpai	None	This role requires the ability to design, architect and implement Splunk solutions in support of cybersecurity and IT operations analysts and data scientists.
21	Workplace Data Analyst - Visualization	United States	Indeed	$74,000 - $98,000 a year	2+ years of relevant experience, including data visualization, data scientist, reporting, data analyst, behavioral science or other related fields.
22	Pathologist Surveyor	Remote in United States	The Joint Commission	None	Ability to critically review and analyze performance measurement data.Participates in and/or conducts all required conferences and interviews; analyzes all…
23	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
24	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
25	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
26	Principal Data Scientist - Match Recommendations	United States	Indeed	$223,000 - $324,000 a year	Mentor and grow other software engineers and data scientists across teams.Solid knowledge of data structures and algorithms.
27	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
28	Data Scientist	New Orleans, LA	Code Willing	Estimated $75.3K - $95.3K a year	Perform research projects on various data pipelines, data sets, and data products.Experience working with financial data.Proficient in Python and/or R.
