	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Newark, NJ	Brooksource	$50 - $60 an hour	Demonstrated experience with data science best practices and clear data science literacy.Leverage Hadoop/HDFS/Spark environment for pure data science, modeling…
1	Data Scientist x2	Remote in New York, NY 10005	Matlen Silver	$59.68 an hour	Experience analyzing weblog data a plus.We are looking for those with PHD or Master's Degrees with a couple years of experience.
2	Data Scientist, Spotify Advertising	Remote in New York, NY+8 locations	Spotify	Estimated $109K - $138K a year	Communicate data-driven insights and recommendations to key partners.Build lasting solutions to surface critical data and performance metrics.
3	Data Scientist	Jersey City, NJ 07302 (Journal Square area)	Dataworks	$100,000 - $110,000 a year	Providing insights from large data sets.Competitive Salary plus Benefits and Bonus *.This is an exciting opportunity to join one of the fastest growing tech…
4	Data Scientist, US (Remote)	Remote in New York, NY	Andela	Estimated $115K - $145K a year	Flexibility in working with a variety of data science approaches.Deploy the solution in production in collaboration with the data, engineering and product…
5	Data Scientist	Jersey City, NJ	Zllius Inc.	Estimated $107K - $135K a year	Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models,…
6	Data Scientist 1	Summit, NJ	ZLLIUS INC.	Estimated $108K - $137K a year	We have an urgent opening for the role *Data Scientist.Lead complex technology initiatives including those that are companywide with broad impact.
7	Data Scientist	Newark, NJ 07102 (Central Business District area)	IDT Corporation	Estimated $97K - $123K a year	Leverage the data created by users as they navigate through various mobile applications.Deploy predictive models by feeding model results into the existing CRM…
8	Data Scientist	Remote in Newark, NJ 07105+2 locations	Circle	Estimated $119K - $151K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
9	Data Scientist	New York, NY 10005 (Financial District area)+2 locations	Murmuration	$120,000 a year	Strong basic data science skills (data cleaning, munging, data analysis, and data visualization);Experience data mining large datasets (familiarity with…
10	Data Scientist, Game Analytics & Strategy	New York, NY 10022 (Midtown area)+1 location	the NBA	Estimated $101K - $128K a year	Perform exploratory analysis of new data sources to assess data quality and applicability in decision-making.Help design procedures to maintain data integrity.
11	Associate Data Scientist	Remote in Parsippany, NJ 07054	Avis Budget Group	$60,000 - $74,000 a year	Good working knowledge of business analytics, probability, statistics and/or data science.Completed coursework and/or career experience in data science,…
12	1628 Data Scientist	New York, NY 10036	Infoorigin inc	$125,000 - $175,000 a year	The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…
13	Head of Data Scientist	Remote in New York, NY	DataKind	$130,000 - $160,000 a year	Ensure staff are aware of the data science strategy, advances in the data science field, and applications of data science.Flexibility in your working schedule.
14	Data Scientist	New York, NY 10007 (Tribeca area)	New York City Council	$75,000 - $85,000 a year	Ability to work collaboratively with other data scientists and lay persons.Other sources include data reporting requirements and data requested from agencies.
15	Senior Data Scientist	Remote in New York, NY	Rocket Travel, Inc.	$120,000 - $165,000 a year	Designing data pipeline models to structure our front-end data.Evolve the Rocket data science toolkit by identifying and recommending best tools for each task.
16	Data Scientist 1	Summit, NJ	Zllius Inc	Estimated $106K - $134K a year	We have an urgent opening for the role *Data Scientist.Lead complex technology initiatives including those that are companywide with broad impact.
17	Data Scientist, US (Remote)	Remote in New York, NY	Andela - Third Party Job Board Only Postings	Estimated $115K - $145K a year	Flexibility in working with a variety of data science approaches.Deploy the solution in production in collaboration with the data, engineering and product…
18	Data Scientist	Township of Woodbridge, NJ 08830	Triunity Software, Inc.	Estimated $87.3K - $111K a year	Must be knowledgeable statistical and data mining techniques, which may include data modelling, regression, time.Good understanding about Linear Regression.
19	Data Scientist	Remote in New York, NY	CBL Solutions	Estimated $80.2K - $102K a year	Can manage large sets of data to tell a story.Note: Client will Sponsor / Transfer H1-B for Suitable consultants.*.
20	Data Scientist	New York, NY	Newfish Inc	Estimated $111K - $140K a year	Newfish data scientists work on a wide range of problems including entity resolution, data quality enhancement, propensity modeling, and ad performance…
21	Data Scientist	Woodbridge, NJ 07095	Plymouth Rock Assurance	Estimated $83K - $105K a year	Performs data mining and data cleansing tasks.Solid skills and training in predictive modeling, data mining and other quantitative and research analytics …
22	Senior Data Scientist	Jersey City, NJ	BlueVine	Estimated $138K - $175K a year	The ideal candidate is a data enthusiast with a proven track record of solving complex data-related problems, using advanced statistical and machine learning…
23	Head of Data Science and Strategy	Remote in New York, NY	Mint House	Estimated $125K - $158K a year	Wrangle all Mint House data.As the Head of Data Science and Strategy, you are responsible for making sure we have data pipelines in place, well-defined data…
24	Data Scientist II - Algorithmic Justice Specialist	Remote in New York, NY 10004+1 location	ACLU	$115,638 a year	Experience with criminal justice, immigration, or other public sector data.Submit FOIA requests to obtain data and models from jurisdictions using predictive…
25	Data Scientist	Remote in New York, NY	Array	Estimated $175K - $222K a year	Must have multiple, examples of using these techniques to measure the effectiveness of data driven insights to solve business problems on large-scale data sets.
26	Senior Data Analyst (Multiple Openings)	Jersey City, NJ	Flipt	Estimated $96.9K - $123K a year	Perform data cleaning, manipulation, and analysis in Python/R or other statistics languages when large data requires these tools.
27	Lead Data Scientist	Remote in New York, NY	Spin	Estimated $158K - $200K a year	We are looking for a highly experienced data scientist to solve numerous optimization problems that will impact rider experience, operation efficiency, and help…
28	Data Scientist	Remote in New York, NY	Citizen	Estimated $107K - $136K a year	3+ years of experience in data science or analytics.Data Analysis: SQL + Python/R via Periscope and Google Colaboratory.Enjoyment of learning and teaching.
29	Senior Data Scientist	Remote in New York, NY	Nuvocargo	Estimated $124K - $157K a year	You previously led and implemented data collection & data processing efforts from start to finish.Experience ELT data modeling, especially with dbt (data build…
30	Data Scientist	New York, NY 10013 (Tribeca area)	Caden	Estimated $122K - $154K a year	Hands-on experience using modern big data pipeline.Apply advanced machine learning, data mining, statistical methods, algorithms, and time series models to…
31	Data Scientist	Remote in New York, NY	Pearl Health	Estimated $118K - $149K a year	; familiarity with population health data is preferred but not essential.Support the technology needs of various departments by creating a data-literate…
32	Data Scientist	New York, NY 10036 (Midtown area)	Source Enterprises	Estimated $34.8K - $44K a year	Stay current on modern trends and advances in data mining technology.Extending company’s data with third party sources of information when needed.
33	Data Scientist	Bridgewater, NJ	Colsh Consultants	Estimated $97.8K - $124K a year	Design data pipelines leveraging Cloud Platform and SQL to create and maintain the data warehouse for the client on.
34	Senior Clinical Data Analyst - Edison, NJ (Onsite Role) - 12...	Edison, NJ 08820	Marlabs	$38 - $50 an hour	A Bachelor’s degree in data science or related field is required for the CDA position.Strong data science skills using tools like SQL, R, Python, or SAS.
35	Asst Director Data Scientist	New York, NY 10007 (Tribeca area)	Moody's Investors Service	$128,733 a year	Develop and market-test new products, including analyzing existing data stores, working with third party data feeds and designing data capture and data…
36	Data Science Manager	Basking Ridge, NJ 07920	INTERAS LLC	$60 - $65 an hour	Experience in automating data analytics.Automating data analytics: 10 years (Preferred).Job Types: Full-time, Contract.
37	Data Scientist, BotGuard	Remote in New York, NY	Human Security	Estimated $116K - $147K a year	You’ve worked as a data scientist solving large-scale data intensive problems in production systems (we process trillions of events per day, so literacy with…
38	Senior Data Scientist	Remote in New York, NY	Chainalysis	Estimated $140K - $177K a year	Become a master of our rich datasets allowing visibility into our data both internally and externally.Provided valuable insights directly to customers through…
39	Data Scientist	Parsippany, NJ 07054	GAF Materials Corporation	Estimated $106K - $134K a year	Develop and perform standard queries to ensure data quality, identify data inconsistencies, missing data and resolve as needed.
40	Data Scientist - VIE (M/F)	New York, NY	SESAMm	Estimated $96.7K - $122K a year	Your goal will be to extract the data from our textual data lake, perform data analysis on text data (NLP algorithms), data cleaning, train machine learning…
41	Senior Data Scientist	Iselin, NJ	Palnar Transmedia	Estimated $137K - $173K a year	Strong demonstrated understanding of data lifecycle required around data ingestion (ingest data from disparate systems into cloud computing environment), data…
42	Senior Data Scientist	New York, NY	Major League Baseball	Estimated $129K - $164K a year	Experience programmatically structuring and cleaning data, and not just analyzing highly cleaned data sets.Translate business challenges into data pipelines &…
43	Data Scientist	Remote in New York, NY	Fractal.ai	Estimated $131K - $166K a year	8 or more years of demonstrated experience in driving real-world value by solving problems requiring complex quantitative reasoning using data & modeling…
44	Senior Data Scientist	Remote in New York, NY	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
45	CDIO AM Head of Data Technology	Weehawken, NJ 07086	UBS	Estimated $90.3K - $114K a year	Agree on a long-term strategy for the technology for Data Technology with CDIO and operations management and execute against that strategy.
46	Senior Data Analyst	Jersey City, NJ 07302 (Journal Square area)+1 location	Dataworks	$100,000 - $120,000 a year	Highly analytical mindset with the ability to gain insights from data.Competitive Salary plus Benefits and Bonus*.Bachelor’s degree in a STEM subject.
47	Data Scientist (Remote) - US	Remote in New York, NY	AlphaSights	Estimated $116K - $147K a year	Work directly with stakeholders and teams to fully understand the business problems and translate it to a data-driven solution.
48	Senior Data Scientist - Routing Algorithm	Remote in Brooklyn, NY	Revel	Estimated $122K - $154K a year	Lead the development of our Ride Assignment, Routing & Rebalancing algorithms.Improve the efficacy of our existing Dynamic Pricing Algorithm.
