	Title	Location	Company	Salary	Synopsis
0	Bioinformatic Data Scientist	Hybrid remote in Emeryville, CA+3 locations	Harnham	$150,000 - $175,000 a year	This exciting organization is looking for experienced scientists to help build out their cross-functional data science team.Strong coding skills with Python.
1	Data Scientist	San Francisco, CA	Rapid Value Solutions	$80 - $100 an hour	Appropriately document data sources, methodology, and evaluation metrics through using visual tools.Job-related experience (e.g. data analytics and modeling),…
2	Data Scientist - All Levels	Remote in San Francisco, CA	Abnormal Security	Estimated $114K - $144K a year	You will work closely with a group of talented data scientists to measure and analyze the effectiveness of our detection products, and research opportunities to…
3	Data Scientist (Entry-Level)	Remote in Oakland, CA 94612	GreatSchools	$85,000 - $97,000 a year	Build data visualizations to help colleagues and other stakeholders understand data and ratings methodology changes.
4	Data Scientist	Remote in Berkeley, CA	Grabango	Estimated $108K - $137K a year	Work cross-functionally to chart the roadmap for internal data products.Architect data models for your algorithms that scale as Grabango increases the number…
5	Data Scientist (NLP)	Remote in San Francisco, CA+1 location	Talkdesk	Estimated $127K - $161K a year	We're looking for data scientists who geek out on solving business problems and impacting millions of people's daily lives.Familiarity with MLFlow is a plus.
6	Meta Data Scientist- 4196010	Walnut Creek, CA+1 location	Accenture	$39.60 - $72.74 an hour	Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…
7	Data Scientist	Alameda, CA 94501 (West End area)	Sila Nanotechnologies	Estimated $118K - $149K a year	You're a leader with vision in establishing and driving data science and analytics initiatives in data-intense organizations.
8	Data Scientist	Hybrid remote in San Francisco, CA	Upgrade	Estimated $112K - $142K a year	Develop and implement statistical/machine learning models for various business areas, including Credit Risk, Fraud, Marketing, and Operations.
9	Senior Data Scientist	Remote in San Francisco, CA	Turo	Estimated $147K - $187K a year	Extensive experience pushing models in productions, developing data-science micro-services, and implementing ML production pipelines like TFX.
10	Sr. Data Scientist	San Mateo, CA	PlayStation Global	Estimated $125K - $158K a year	As a senior data scientist in the Product Data Science (PDS) team you will be responsible for generating interpretable, meaningful models of human behavior to…
11	Data Scientist	Remote in Burlingame, CA	Focal Systems	Estimated $122K - $154K a year	Identify data, metrics and analyses needs; Initiate, develop and maintain data pipelines and data models that powers dashboards and data products with…
12	Data Scientist I	Berkeley, CA	Pivot Bio	Estimated $98.8K - $125K a year	Experience building intuitive visualizations for non-data scientists.The preferred candidate will have experience working with high-throughput data and be able…
13	Data Scientist (Audio)	San Francisco, CA	Whisper.ai	Estimated $120K - $151K a year	As an audio data scientist, you will help us investigate and evaluate new audio processing techniques and technologies we could employ to improve the…
14	Data Scientist	Remote in San Francisco, CA+1 location	Stitch Fix	Estimated $118K - $149K a year	This is a full-stack data scientist role where you will get to work closely with stakeholders to identify impactful problems and build algorithmic solutions.
15	Data Scientist (Audio)	San Francisco, CA+2 locations	Whisper.ai	Estimated $120K - $151K a year	As an audio data scientist, you will help us investigate and evaluate new audio processing techniques and technologies we could employ to improve the…
16	Data Scientist	Remote in San Francisco, CA+2 locations	Stitch Fix	Estimated $118K - $149K a year	This is a full-stack data scientist role where you will get to work closely with stakeholders to identify impactful problems and build algorithmic solutions.
17	Data Scientist	Remote in San Francisco, CA 94107+5 locations	Embark Trucks	Estimated $111K - $141K a year	As a data scientist on the Product team, you will be expected to leverage your skills in computer science, statistics, and data analysis to generate key…
18	Jr. Data Scientist	San Francisco, CA	Aroopa	Estimated $110K - $139K a year	Experience with statistics/machine learning packages such as Spark MLlib, Python (scikit-learn, pandas, numpy, scipy, Matplotlib), Keras, TensorFlow, PyTorch…
19	Data Scientist	San Francisco, CA	CBOE	Estimated $83.8K - $106K a year	Present information using data visualization techniques.Process/validate structured and unstructured data.Create value-added derived data & analytics.
20	Data Scientist	San Francisco, CA 94016	COMPASS Pathways	Estimated $109K - $138K a year	Industry experience as a data scientist in a digital health organisation, pharma, or biotech.Experience in modern front-end development and data visualisation.
21	Data Scientist, TikTok Creation and Consumption	San Francisco, CA	TikTok	Estimated $107K - $136K a year	3+ years of industry experience in data science, conducting quantitative analysis and implementing data science solutions.
22	Data Scientist	Remote in San Francisco, CA	Capella Space	Estimated $130K - $164K a year	3+ years of experience with earth observation data.Research and develop machine learning/statistical learning models for SAR data analysis.
23	Senior Data Scientist - Optimization	Emeryville, CA	Cana	Estimated $123K - $156K a year	You will be working with chemists, engineers, and data scientists to design key components of our molecular printer.
24	Data Scientist, Big Data R&D (All levels)	Remote in San Francisco, CA	Socure	Estimated $132K - $167K a year	Develop machine learning, data mining, statistical, and graph-based algorithms designed to analyze massive data sets.Pyspark (or Scala a plus).
25	Data Scientist	Temporarily Remote in San Francisco, CA	Surya Systems	Estimated $116K - $148K a year	Experience in applied data science, analytics, data storytelling.Apply your expertise in quantitative analysis, data mining, and the presentation of data to…
26	Data Scientist	Remote in San Francisco, CA 94104+3 locations	Grammarly, Inc.	Estimated $122K - $155K a year	To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three time zones of…
27	Associate Data Scientist	San Francisco, CA 94105 (Financial District/South Beach area)	Seyfarth	Estimated $60.5K - $76.5K a year	Experience programming in R in an academic or professional environment dealing with diverse types of data and communicating data insights.
28	Data Scientist, Analytics - Outbound Team	Remote in San Francisco, CA+1 location	Deliverr Inc	Estimated $103K - $130K a year	Manage the strategic collection of tracking data to include: cleaning tracking data for modeling and reporting purposes, Monitoring update cadence for tracking…
29	Data Scientist	Remote in San Francisco, CA+8 locations	Faire	Estimated $105K - $133K a year	At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time.
30	Data Scientist	Remote in San Francisco, CA 94133+2 locations	Swish Analytics	Estimated $119K - $151K a year	Contribute to all stages of model development, from creating proof-of-concepts and beta testing, to partnering with data engineering and product teams to deploy…
31	Data Scientist	Remote in San Francisco, CA 94103	PocketPills	Estimated $118K - $149K a year	As a marketing data scientist, you'll be playing a key role in generating data-driven intelligence about our marketing activity’s impact on our users, optimize…
32	Data Scientist	Remote in San Francisco, CA	Abound	Estimated $141K - $179K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
33	Senior Data Scientist	San Francisco, CA 94107 (South of Market area)+5 locations	Unity Technologies	Estimated $138K - $174K a year	Good communication skills to help collaboration with other data scientists and engineers.Enthusiasm about machine learning and data science.
34	Data Scientist	Remote in San Francisco, CA 94111	Fandom	Estimated $119K - $151K a year	Analytical skills - understand data and assess missing data points.Work with product partners to transform their needs into data questions - translating Jira…
35	Data Scientist (Remote, US-based)	Remote in San Francisco, CA 94103	SentiLink	Estimated $120K - $152K a year	Work with engineering, risk operations, and data acquisitions to access necessary data, maintain data quality, and support data access.
36	Senior Data Scientist	Remote in San Francisco, CA+1 location	Ethos Life	Estimated $147K - $186K a year	Train and mentor the next generation of analysts and data scientists at Ethos.5+ years of experience in data science.
37	Sr. Data Scientist	Remote in San Francisco, CA	hims & hers	Estimated $149K - $189K a year	Process data from disparate sources and perform sophisticated analysis to enable decision making by leveraging exploratory data analysis, statistical modeling…
38	Biological Data Scientist II	Emeryville, CA+1 location	Zymergen	None	Demonstrated ability to communicate complex concepts across audiences with different backgrounds (e.g. data scientists, laboratory scientists, etc.).
39	Data Scientist, Client Services	Remote in San Francisco, CA	Morning Consult	None	This could include developing R packages to clean data, evaluate/interpret results, streamline data collection, or present data in new ways.
40	Senior Data Scientist, Analytics	Remote in San Francisco, CA 94107+8 locations	Discord	$184,700 a year	Collaborate with data and engineering teams to design scalable and future-proof instrumentation.Partner with teams through the full lifecycle of data analytics…
41	Data Scientist	Remote in San Francisco, CA	InMarket	Estimated $140K - $177K a year	Solid understanding of modern data science and machine learning theory and methods.Professional or academic experience using statistical modeling and machine…
42	Data Scientist, International Payments	San Francisco, CA	Patreon	Estimated $89.3K - $113K a year	You are an expert querying large datasets, visualizing and presenting data, using Python relevant data libraries (pandas, numpy), and know how to manipulate…
43	Data Scientist II	Remote in San Francisco, CA	Braze	Estimated $111K - $141K a year	Explore and analyze the billions of daily data points that Braze's customers generate in search of predictive, valuable, actionable signals.
44	Data Scientist	Remote in San Francisco, CA	6sense	Estimated $99K - $125K a year	Experience as a data scientist.Lead the way in leveraging unstructured data for predictive modeling and decision-making.Enjoy work, and your life.
45	Data Scientist	San Francisco, CA	RAPP	Estimated $112K - $142K a year	Our data science team partners closely with our Creative, Strategy, Analytics and Technology colleagues.You code in R or Python and don't mind getting your…
46	Sr Data Scientist	Burlingame, CA	Caban Systems	Estimated $127K - $161K a year	Define KPIs and data to be collected for measuring the success of business strategies, and work with cross-functional teams to democratize the data to make…
47	Senior Data Scientist	San Francisco, CA	Transcend Digital	Estimated $147K - $186K a year	They're looking for an experienced Senior Data scientist to join the team!Analyzing large amounts of data to identify relationships and trends, and organize…
48	Lead Climate Data Scientist	Remote in San Francisco, CA	Sust Global	None	Prior experience with cloud based data analysis tools and workflows.Actively participate and lead an interdisciplinary team of scientists to develop new…
49	Data Scientist	San Francisco, CA	Quantapore	Estimated $123K - $155K a year	Experience with optical microscopy data sets.You will work with bench scientists and engineers from the molecular biology, chemistry, software, hardware and…
50	Senior Data Scientist	Berkeley, CA	Cogitativo	Estimated $123K - $156K a year	Accessing and analyzing rich healthcare data to generate insights and make proactive recommendations.Expert in analyzing large complex, multi-dimensional data…
51	Senior Data Scientist	Remote in San Francisco, CA	Neuro-ID	Estimated $126K - $159K a year	3-5 years' experience delivering data science projects analyzing and modeling large scale-multi dimensional data, preferably in an industry setting.
52	Senior Data Scientist	Remote in San Francisco, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).
53	Data Science Generalist	Oakland, CA	MeliBio	Estimated $97.8K - $124K a year	Ability to communicate effectively with other scientists and non-scientists alike.Preferred: Experience in the analysis of data from GCMS, LCMS, or HPLC…
54	Data Scientist	Richmond, CA 94804 (Marina Bay area)	SunPower	Estimated $97.1K - $123K a year	Significant experience developing automated data flows.We are looking for candidates with experience developing data models, ETL data flows, and AWS…
55	Machine Learning & NLP Data Scientist	Temporarily Remote in San Francisco, CA	HANUMAYAMMA INNOVATIONS AND TECHNOLOGIES	Estimated $127K - $161K a year	We are looking for data science & machine learning (ML) engineer with exclusive knowledge of Macroeconomic, Government Finance Analytics, Budgets, and develop…
56	Credit Risk Data Scientist	San Francisco, CA+1 location	Rippling	None	The Rippling Risk team is looking for it's first credit risk data scientist to oversee credit risk modeling across its products and counterparties, using modern…
57	Data Scientist (Biostatistician)	Remote in San Francisco, CA	PicnicHealth	None	Have experience working with medical data, longitudinal EMR data, and/or data ontologies (OMOP, etc.).Transform real-world clinical data into actionable…
58	Data Scientist, Applied Data Science	San Francisco, CA+1 location	Kyte	Estimated $107K - $136K a year	Minimum 2+ years of hands on experience in data science.To support ongoing as well as ad hoc data challenges of the business.
59	Data Scientist	Remote in San Francisco, CA	Circle	Estimated $134K - $170K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
60	Senior Data Scientist	Remote in San Francisco, CA 94133	Swish Analytics	Estimated $152K - $192K a year	Oversees the activities of the junior data scientist, ensuring proper execution of their duties, and alignment of activities with business's overall vision and…
61	Senior Data Scientist	Remote in San Francisco, CA	Postclick	Estimated $150K - $190K a year	You have good knowledge of Python and its major data science libraries.Actively and constructively give and receive feedback to drive team success; you…
62	Data Scientist	San Bruno, CA	FocusKPI Inc.	Estimated $110K - $139K a year	3+ years of industry experience in data science, measurement, marketing strategy, data analytics.Partner with cross-functional team to streamline data science…
63	Data Scientist	San Francisco, CA	Entelo	Estimated $115K - $146K a year	Understanding of Agile SDLC & modern data pipeline practices.You'll be partnering with Entelo's product and engineering teams to drive actionable data insights…
64	Senior Data Scientist, Machine Learning - Product Categoriza...	Remote in San Francisco, CA	Deliverr Inc	Estimated $143K - $181K a year	Work closely with engineering teams to capture useful data and embed models in production systems.Designing and developing machine learning systems and models…
65	Principal Data Scientist	Remote in San Francisco, CA	8minute Solar Energy	Estimated $150K - $190K a year	Experience in a ML or data scientist role with a track record of building ML models.7+ years of industry experience in predictive modeling, data science and…
66	Sr. Data Scientist	Remote in San Francisco, CA	Zapier Job Board	Estimated $155K - $196K a year	This includes mastery of at least one data visualization tool.Ensure all teams have insight to data and can answer their own first-order questions.
67	Data Scientist, Talent Acquisition	San Francisco, CA+3 locations	Atlassian	Estimated $109K - $138K a year	A strong intuition for crafting raw data and analysis into well-written and persuasive content.We also know all too well the importance of validating…
68	Senior Data Scientist	Emeryville, CA	Triplebar	None	This role will link our data system to state of the art ML/AI analysis.You have at least three years' experience in ML and AI and applying it to biological…
69	Senior Data Scientist, Analytics	Remote in San Francisco, CA	GoFundMe	Estimated $131K - $166K a year	Learn and assist data engineers with data transformations and ETL projects.Knowledge of data tracking, database architecture, ETL/data preparation tools, APIs…
70	Senior Data Scientist	Remote in San Francisco, CA	Recurrency	Estimated $142K - $180K a year	Research new technologies and methods across data science and data engineering to improve the technical capabilities of the team.Fluency in PyTorch a plus.
71	Data Scientist, Ads Analytics	Hybrid remote in San Francisco, CA	Niantic	Estimated $124K - $157K a year	2+ years work experience in data science or relevant role.Drive consensus; independently deliver data insights that drive cross-functional decisions across…
72	Senior Data Scientist	Remote in San Francisco, CA	Afresh	Estimated $131K - $166K a year	Work in large, complex data sets that require leveraging skills from NLP to outlier detection.Help design and implement with the engineering team an alerting…
73	Staff Data Scientist	Remote in Pleasanton, CA 94566	Cowbell Cyber Inc.	Estimated $173K - $219K a year	Analyze cyber security data to support your hypothesis and the team.Work with data scientists, engineers, actuaries and cyber security experts to Identify,…
74	Data Scientist, Affiliates	San Francisco, CA 94129 (Presidio area)+1 location	SoFi	Estimated $99.8K - $126K a year	Build data structures and ETL pipelines to transfer data into Snowflake data warehouse, leveraging DBT and Airflow;Deep understanding of credit bureau data;
75	Data Science Team Lead (Text Extraction)	San Francisco, CA 94105 (Financial District area)+1 location	SKAEL	Estimated $148K - $188K a year	Lead a team of data scientists developing machine learning models and tools for SKAEL platforms.SKAI comprises data scientists, AI architects, ML engineers and…
76	Data Scientist	San Francisco, CA	Herophilus	Estimated $115K - $145K a year	Demonstrable experience with data analysis and visualization on complex data sets.Track record of working on challenging biological problems and manipulating…
77	Data Scientist, Product Analytics	Remote in San Francisco, CA 94104	Lattice	Estimated $126K - $160K a year	Experience working in data at a B2B SaaS company.Research and make recommendations on best practices for our data tech stack.Knowledge of R or Python.
78	Sr Data Scientist, Analytics	Hybrid remote in San Francisco, CA 94111+1 location	Sojern	Estimated $129K - $163K a year	You effectively communicate with data scientists, engineers and product managers.The Optimization team at Sojern is a cross-functional group of around 25…
79	Data Scientist	San Francisco, CA 94107 (Mission Bay area)	Ample, Inc.	Estimated $97K - $123K a year	Modeling – design, test, and implement models that predict or explain data.Find and combine multiple sources of data (internal & external) to answer specific…
80	Senior Data Scientist	Remote in San Francisco, CA 94107	Demandbase	Estimated $138K - $174K a year	3+ years of data science experience.Communicate algorithms, complex data science methods, and statistical results with technical and non-technical audiences.
