	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Oklahoma City, OK 73106	Hashmap	Estimated $109K - $138K a year	This role will primarily focus on data science but will often take on some lifecycle parts of AI/ML projects including working with domain experts, assisting…
1	Senior Data Scientist	Oklahoma City, OK 73104+1 location	University of Oklahoma	Up to $104,400 a year	Transforms data into actionable insights and recommendations.Detail oriented for accuracy of data and information.Presents clear and concise results.
2	OMMA Data Scientist	Oklahoma City, OK	State Department of Health	Up to $65,000 a year	Ensure that data problems become data solutions.Create data dictionaries and mappings for all data collected.Full or Part Time Full-Time.
3	Senior Data Analyst	Oklahoma City, OK	Department of Education	$50,000 - $55,000 a year	Knowledge of data literacy skills, including but not limited to: creating and interpreting data visualizations; engaging in root cause analysis processes;…
4	Kubernetes and Docker Cloud Developer	Remote in Oklahoma City, OK	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
5	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	Estimated $90.1K - $114K a year	Interface with data scientists to evaluate prototypes and build production-ready software.Experience building data processing pipelines, including API's, ETL…
6	Operations Data Analyst Senior	Oklahoma City, OK	OGE Energy Corp.	Estimated $74.7K - $94.5K a year	Experience with Electric Utility Transmission & Distribution data.Experience with Alteryx Designer to build data manipulation workflows.
7	Data Scientist	Oklahoma City, OK 73106	Hashmap	Estimated $109K - $138K a year	Role Overview You will work closely with MLOps, Platform, and Analytics team members to build out Data Science practices. This role will primarily focus on…
8	Senior Data Scientist	Oklahoma City, OK 73104+1 location	University of Oklahoma	Up to $104,400 a year	The University of Oklahoma Health Sciences Center (OU HSC) is one of the nation's few academic health centers with all healthrelated colleges Allied Health,…
9	OMMA Data Scientist	Oklahoma City, OK	State Department of Health	Up to $65,000 a year	OMMA Data Scientist Recruitment #220420-X14C-03 Department State Department of Health County Location Oklahoma OK Date Opened 4/20/2022 08:00:00 AM Filing…
10	Senior Data Analyst	Oklahoma City, OK	Department of Education	$50,000 - $55,000 a year	Senior Data Analyst Recruitment #220428-UNCE-263 Department Department of Education County Location Oklahoma OK Date Opened 4/28/2022 08:00:00 AM Filing…
11	Kubernetes and Docker Cloud Developer	Remote in Oklahoma City, OK	Frontier Technology Inc.	Estimated $103K - $130K a year	Overview: FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD customers. This position requires a…
12	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	Estimated $90.1K - $114K a year	FIRM INTRODUCTION Warwick Group is a private equity firm that invests in real assets. We are a small but fast-growing team with ~$2 bn. in managed assets. At…
13	Operations Data Analyst Senior	Oklahoma City, OK	OGE Energy Corp.	Estimated $74.7K - $94.5K a year	Position Summary: Provides varied and complex management and/or operational analysis, reports and recommendations in support of business/departmental programs…
14	Data Scientist	Oklahoma City, OK 73120	Revenue Management Solutions Llc	Estimated $81.1K - $103K a year	Identifies data patterns and trends.Presents information using data visualization techniques.Extensive background in data mining and statistical analysis.
15	Sr. Data Analyst	Oklahoma City, OK 73105 (Capitol Campus area)	Office of Management and Enterprise Services	Up to $85,000 a year	Has an extensive knowledge of data warehouse/data mart, data quality and master data management concepts.Responsible for data replication, extraction, loading,…
16	Data Scientist	Oklahoma City, OK 73106	Hashmap	Estimated $106K - $134K a year	This role will primarily focus on data science but will often take on some lifecycle parts of AI/ML projects including working with domain experts, assisting…
17	Kubernetes and Docker Cloud Developer	Remote in Oklahoma City, OK	Frontier Technology Inc.	Estimated $96.4K - $122K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
18	Data Scientist	Oklahoma City, OK 73120	Archon Resources	$60,000 - $110,000 a year	Identifies data patterns and trends.Presents information using data visualization techniques.Extensive background in data mining and statistical analysis.
19	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	Estimated $83.7K - $106K a year	Interface with data scientists to evaluate prototypes and build production-ready software.Experience building data processing pipelines, including API's, ETL…
20	Operations Data Analyst Senior	Oklahoma City, OK	OGE Energy Corp.	Estimated $75K - $95K a year	Experience with Electric Utility Transmission & Distribution data.Experience with Alteryx Designer to build data manipulation workflows.
