	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Omaha, NE 68102	GS Labs, LLC	Estimated $89.3K - $113K a year	Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.
1	Data Scientist	Remote in Bennington, NE 68007	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
2	Data Scientist	Omaha, NE	Vitus	$95,000 - $145,000 a year	The data scientist will work with data curation, analysis, quantitative modeling.The data scientist will work with the validation and quality assurance of data…
3	Data Scientist - Bellevue NE	Bellevue, NE	Ho-Chunk, Inc.	$77,866 - $165,208 a year	 Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.
4	Data Scientist	Offutt AFB, NE 68113	Constellation West	Estimated $92.6K - $117K a year	Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured…
5	Junior Data Scientist	Hybrid remote in Omaha, NE	Spreetail	Estimated $71.8K - $91K a year	Able to influence others using data and visualization.This role will have the opportunity to collaborate with numerous teams throughout Spreetail and work on a…
6	Data Scientist	Remote in Omaha, NE 68127	OTC Direct Inc	Estimated $97.4K - $123K a year	Understanding of data measurement and data structures preferred.Retrieves data using SQL within the Netezza framework and quality-checks the data prior to…
7	Data Scientist II	Omaha, NE 68137	Concentric Corp.	Estimated $84K - $106K a year	Preprocess structured and unstructured data, mine and analyze company data.Verify the integrity of data used for analyzing and engineering data features for…
8	Senior Marketing Data Scientist	Omaha, NE 68134	Milan Laser Hair Removal	Estimated $84.2K - $107K a year	Experience with Excel data modeling.Milan will take care of you with paid vacation, 401k, full health, dental and vision.Oh and free laser hair removal.
9	Data Analyst/Computer Scientist	Offutt AFB, NE 68113	Constellation West	Estimated $65.7K - $83.1K a year	Data analyst/Computer Scientist shall data mine from primary and secondary sources as indicated by the Government, then reorganize said data in a format that…
10	Sr. Analyst, Data Scientist	Omaha, NE	First National Bank of Omaha	Estimated $92.6K - $117K a year	Research and leverage alternative data in predictive modeling.Perform data wrangling and visualization of very large datasets.
11	Senior Data Analyst	Remote in Omaha, NE	First National Bank of Omaha	Estimated $79.8K - $101K a year	3 years’ experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including data…
12	USSTRATCOM - Data Scientist	Offutt AFB, NE 68113	Apogee Engineering, LLC	Estimated $130K - $165K a year	Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured…
13	USSTRATCOM - Data Analyst/Computer Scientist	Offutt AFB, NE 68113	Apogee Engineering, LLC	Estimated $87.1K - $110K a year	Possess 2+ years (3+ years preferred) of experience of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on…
14	Senior Data Scientist at Rent-to-Own Startup	Remote in Omaha, NE 68144	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
15	Data Analyst, Fair Lending, Compliance	Omaha, NE	First National Bank of Omaha	Estimated $58.8K - $74.4K a year	Ensure any areas of data integrity are documented and communicated to the data owners.Develop data analyses (from data acquisition through analysis), interpret…
16	Senior Data Analyst	Omaha, NE	Orion Advisor Solutions	Estimated $71.9K - $91.1K a year	Identifies data quality issues, including incomplete and inconsistent data.Participates in data governance efforts and mechanisms.
17	Statistician/Research Analyst I - Clinical Research	Omaha, NE 68124	Creighton University	Estimated $47.1K - $59.7K a year	At least two years of relevant data analysis or database experience, or a combination of education and experience from which comparable skills and knowledge…
18	Data Scientist / Care Transformation	Omaha, NE	Children's Hospital & Medical Center	Estimated $110K - $139K a year	Designs, develops, applies, and modifies scripts or software applications to support data management, data extraction and data analysis as required.
19	Data Plane Engineer	Remote in Omaha, NE 68144	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
20	Senior Marketing Data Analyst	Remote in Omaha, NE	Circle	Estimated $89.2K - $113K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
21	NLP Engineer at Speech to Text Start Up	Remote in Omaha, NE 68144	Recruiting From Scratch	Estimated $122K - $154K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
22	Enterprise Data Architect	Omaha, NE 68137	Farm Credit Services of America	$114,780 a year	Serve as a data entrepreneur leading the transformation of historical data structures and business data, extract meaning out of data, and create an enterprise…
23	USSTRATCOM - Data Engineer	Offutt AFB, NE 68113	Apogee Engineering, LLC	Estimated $115K - $146K a year	Work with data users to determine, create, and populate optimal data architectures, structures, and systems.Eight (8) years of experience working with AWS big…
24	Statistician/Research Analyst II - Clinical Research	Omaha, NE 68124	Creighton University	Estimated $54K - $68.4K a year	Two years of relevant data analysis and database management experience outside of their degree program.Assist with manuscript preparation by writing the Method…
25	Principal ML & NLP Engineer	Remote in Omaha, NE 68144	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
