	Title	Location	Company	Salary	Synopsis
0	Data Scientist Manager	Orlando, FL	The Denzel Group	Estimated $108K - $136K a year	Identify opportunities to build new value-adding analytics, and integrate analytics and data science principles into existing areas.
1	Data Scientist	Orlando, FL	Hilton Grand Vacations	Estimated $83.3K - $105K a year	3-5 years prior data scientist experience.Create ad-hoc analysis and handle data requests from business stakeholders.MS/MA/Master's Degree.
2	Big Data Engineer	Altamonte Springs, FL	24-7 Intouch	Estimated $96.1K - $122K a year	Load from disparate data sets by leveraging various big data technology e.g. Kafka.Design and implement data modeling.As Big Data Engineer, You Will….
3	VP, Credit Model Development	Altamonte Springs, FL	Synchrony Financial	$100,000 - $200,000 a year	Track record of gathering, matching, and processing large data sets across continuous/categorical (structured or unstructured data).
4	Senior Data Analyst	Remote in Florida	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
5	Data Scientist	Orlando, FL 32801 (Central Business District area)	Tricon IT Solutions (For End Clients)	Up to $89 an hour	Define data needs and evaluate data quality for applicability to posed problems.A data scientist will be responsible for leading projects from design through…
6	Data Scientist I	Altamonte Springs, FL 32701	My Florida Regional Multiple Listing	Estimated $86.2K - $109K a year	Three years' experience in business data management and reporting, data analytics, or data stewardship.Use statistical methods, machine learning and artificial…
7	AI/ML Principal/Sr. Principal Software Engineer (AHT)	Remote in Orlando, FL	Northrop Grumman	$93,000 - $120,000 a year	Shift: 1st Shift (United States of America).Travel Required: Yes, 10% of the Time.The position supports our Engineering organization’s goals to meet the…
8	Data Scientist - Risk	Orlando, FL 32801 (Central Business District area)	LSQ	Estimated $86.8K - $110K a year	A data science framework for optimal data acquisition, model training and deployment.A toolkit of modern data science techniques.This is a full-time position.
9	Research Statistician, Corrections	Orlando, FL 32839	Orange County Government - Corrections Division	$64,850 - $101,088 a year	Coordinates planning and evaluation of data-laden functions.Provides data to substantiate public policy position of concern to external governmental bodies and…
10	Senior Data Scientist	Remote in Winter Park, FL 32789	Ruths Chris Steak House, Inc.	Estimated $94.2K - $119K a year	Ability to define hypotheses based on data driven insights.3+ years professional data engineering experience focused on batch and real time data pipeline…
11	Senior Marketing Data Analyst	Remote in Orlando, FL	Circle	Estimated $85.6K - $108K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
12	Statistician	Maitland, FL 32751+1 location	Akerman LLP	Estimated $68K - $86.2K a year	Reviewing and summarizing data, including identifying trends in data set and researching possible root causes of the same.
13	Multi-Site NLP Site Specialist – Orlando	Orlando, FL	Seniors First	Estimated $29K - $36.8K a year	 Completes client information changes and submit to administrative office for data input.Must possess basic computer skills, such as e-mailing and data entry.
14	Senior NLP Analyst	Orlando, FL 32819 (Florida Center area)	Kore.ai, Inc.	Estimated $89.1K - $113K a year	Good to have skills with big data management tools, Node.js and scripting.Kore.ai is an enterprise software provider of a Virtual Assistant Platform and smart…
15	Senior Product Manager - Data Insights - Remote	Remote in Orlando, FL	Skilljar	Estimated $126K - $159K a year	2+ years of data background and hands-on experience in one or more of data science, AI/ML & analytics.Develop and lead a data insight vision, strategy, and…
16	Sr Digital Marketing Data Analyst - Paid Search	Orlando, FL	RiseIT Solutions	None	Expertise in Microsoft Excel with a strong analytical mindset and appetite for data analysis.Ability to synthesize campaign results into a clear, easy to…
17	Senior Architect (Voice Skills/AI/Machine Learning)	Orlando, FL 32839	Andor Health	Estimated $121K - $153K a year	Architect, Design, Develop and Deploy enterprise solutions which include components such as Chatbots, Voice / Virtual Assistants, Machine Learning and Cognitive…
18	Senior .Net Engineer - Azure Bot Services Developer, Convers...	Orlando, FL 32811 (Eagles Nest area)	Andor Health	Estimated $109K - $138K a year	Work closely with business, UX and UI, product management, data sciences, and other teams to conceive, create, and design unique customer experiences on mobile…
19	Mid-Level Product Designer- AI (Remote- US Based)	Remote in Orlando, FL 32801	New Relic	None	Experience working in SaaS or enterprise software, specially in the display and management of high volumes of data.Experience with Figma and Design Systems.
20	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
21	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
22	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
23	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
24	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
25	BIM Data Analyst and Integrations Senior Specialist	Orlando, FL	ROGERS, LOVELOCK & FRITZ, INC.	Estimated $66.6K - $84.4K a year	5 years of progressive experience including architectural design development, construction documentation, and data in-put and harvesting on a wide variety of…
26	Senior Data Analyst - Enterprise Information Warehouse	Remote in Orlando, FL	FedEx Services	$5,633 - $8,489 a month	Minimum (5) years work experience with implementing data solutions and/or executing data analysis and scientific measurements within a modern data platform.
27	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
28	Senior Data Scientist	Remote in Winter Park, FL 32789	Ruth's Hospitality Group, Inc.	Estimated $94.2K - $119K a year	Ability to define hypotheses based on data driven insights.3+ years professional data engineering experience focused on batch and real time data pipeline…
29	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
30	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
31	Data Scientist	Orlando, FL	Hilton Grand Vacations	Estimated $83.3K - $105K a year	HGV now offers Day One Team Member Benefits The Data Scientist for Information Management & Analytics utilizes a blend of science, economics, and operational…
32	Senior Data Scientist	Remote in Winter Park, FL 32789	Ruth's Hospitality Group, Inc.	Estimated $94.2K - $119K a year	ESSENTIAL JOB FUNCTIONS: Gather business requirements, translate them into information solutions, design high-level model structures and demonstrate deep…
33	Statistician	Maitland, FL 32751+1 location	Akerman LLP	Estimated $68K - $86.2K a year	Akerman LLP, a top 100 U.S. law firm serving clients across the Americas, is seeking an experienced Statistician. The location for this position is flexible.…
34	Multi-Site NLP Site Specialist – Orlando	Orlando, FL	Seniors First	Estimated $29K - $36.8K a year	SENIORS FIRST, INC. JOB POSTING Floating Neighborhood Lunch Site Specialist (Baptist Terrace and Marks Street) Job Summary: The position is responsible for…
35	Mid-Level Product Designer- AI (Remote- US Based)	Remote in Orlando, FL 32801	New Relic	None	Your Opportunity We are looking for a Product Designer to join our Experience Design team at New Relic! You will help ensure our users get the most out of…
36	AI/ML Principal/Sr. Principal Software Engineer (AHT)	Remote in Orlando, FL	Northrop Grumman	$93,000 - $120,000 a year	Requisition ID: R10034833 Category: Engineering Location: Orlando, Florida, United States of America Citizenship Required: United States Citizenship Clearance…
37	Sr Digital Marketing Data Analyst - Paid Search	Orlando, FL	RiseIT Solutions	None	Title: Sr Digital Marketing Data Analyst - Paid Search Location: Orlando, FL Type: Direct Hire Rate: $70K + Full Benefits + Bonus Plan + Relocation (if needed…
38	Senior Data Analyst - Enterprise Information Warehouse	Remote in Orlando, FL	FedEx Services	$5,633 - $8,489 a month	Company: FedEx Services Job Title: Senior Data Analyst - Enterprise Information Warehouse Job Requisition Number: RC509533 Category: Decision Science &…
39	Data Scientist	Orlando, FL 32801 (Central Business District area)	Tricon IT Solutions (For End Clients)	Up to $89 an hour	*Position Description*: The Data Scientist is responsible for the design and development of complex mathematical methods, machine learning and statistical…
40	Data Scientist - Risk	Orlando, FL 32801 (Central Business District area)	LSQ	Estimated $86.8K - $110K a year	*Job Title: Data Scientist (Risk)* *Location: Orlando, Florida* *Manager: Head of Data Science* *About LSQ* LSQ is a technology-driven provider of accounts…
41	Senior Marketing Data Analyst	Remote in Orlando, FL	Circle	Estimated $85.6K - $108K a year	Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments…
42	Senior NLP Analyst	Orlando, FL 32819 (Florida Center area)	Kore.ai, Inc.	Estimated $89.1K - $113K a year	Who is Kore.ai? Kore.ai is an enterprise software provider of a Virtual Assistant Platform and smart conversational and digital solutions for enterprises to…
43	BIM Data Analyst and Integrations Senior Specialist	Orlando, FL	ROGERS, LOVELOCK & FRITZ, INC.	Estimated $66.6K - $84.4K a year	The Senior BIM Data Analyst and Integrations Specialist will establish and champion the best practices around the use of BIM Data and project delivery…
44	Senior .Net Engineer - Azure Bot Services Developer, Convers...	Orlando, FL 32811 (Eagles Nest area)	Andor Health	Estimated $109K - $138K a year	Position Description: The Senior .Net Engineer is a hands-on full stack engineer with superior coding skills and an ability to learn new technologies quickly.…
45	Big Data Engineer	Altamonte Springs, FL	24-7 Intouch	Estimated $96.1K - $122K a year	About 24-7 Intouch 24-7 Intouch is a global customer care and technology company that provides value-driven, future-forward solutions. For over 20 years, we…
46	Senior Architect (Voice Skills/AI/Machine Learning)	Orlando, FL 32839	Andor Health	Estimated $128K - $163K a year	Architect, Design, Develop and Deploy enterprise solutions which include components such as Chatbots, Voice / Virtual Assistants, Machine Learning and Cognitive…
47	Data Scientist	Orlando, FL	Hilton Grand Vacations	Estimated $83.5K - $106K a year	3-5 years prior data scientist experience.Create ad-hoc analysis and handle data requests from business stakeholders.MS/MA/Master's Degree.
48	Senior Data Scientist	Remote in Winter Park, FL 32789	Ruth's Hospitality Group, Inc.	Estimated $94.3K - $119K a year	Ability to define hypotheses based on data driven insights.3+ years professional data engineering experience focused on batch and real time data pipeline…
49	Multi-Site NLP Site Specialist – Orlando	Orlando, FL	Seniors First	Estimated $26.5K - $33.5K a year	 Completes client information changes and submit to administrative office for data input.Must possess basic computer skills, such as e-mailing and data entry.
50	Data Scientist - Risk	Orlando, FL 32801 (Central Business District area)	LSQ	Estimated $98.3K - $124K a year	A data science framework for optimal data acquisition, model training and deployment.A toolkit of modern data science techniques.This is a full-time position.
51	BIM Data Analyst and Integrations Senior Specialist	Orlando, FL	ROGERS, LOVELOCK & FRITZ, INC.	Estimated $59.7K - $75.7K a year	5 years of progressive experience including architectural design development, construction documentation, and data in-put and harvesting on a wide variety of…
52	Senior Marketing Data Analyst	Remote in Orlando, FL	Circle	Estimated $79.9K - $101K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
53	Senior .Net Engineer - Azure Bot Services Developer, Convers...	Orlando, FL 32811 (Eagles Nest area)	Andor Health	Estimated $111K - $140K a year	Work closely with business, UX and UI, product management, data sciences, and other teams to conceive, create, and design unique customer experiences on mobile…
54	Big Data Engineer	Altamonte Springs, FL	24-7 Intouch	Estimated $103K - $130K a year	Load from disparate data sets by leveraging various big data technology e.g. Kafka.Design and implement data modeling.As Big Data Engineer, You Will….
55	Data Scientist	Orlando, FL	Hilton Grand Vacations	Estimated $83.5K - $106K a year	HGV now offers Day One Team Member Benefits The Data Scientist for Information Management & Analytics utilizes a blend of science, economics, and operational…
56	Senior Data Scientist	Remote in Winter Park, FL 32789	Ruth's Hospitality Group, Inc.	Estimated $94.3K - $119K a year	ESSENTIAL JOB FUNCTIONS: Gather business requirements, translate them into information solutions, design high-level model structures and demonstrate deep…
57	Multi-Site NLP Site Specialist – Orlando	Orlando, FL	Seniors First	Estimated $26.5K - $33.5K a year	SENIORS FIRST, INC. JOB POSTING Floating Neighborhood Lunch Site Specialist (Baptist Terrace and Marks Street) Job Summary: The position is responsible for…
58	Data Scientist - Risk	Orlando, FL 32801 (Central Business District area)	LSQ	Estimated $98.3K - $124K a year	*Job Title: Data Scientist (Risk)* *Location: Orlando, Florida* *Manager: Head of Data Science* *About LSQ* LSQ is a technology-driven provider of accounts…
59	Senior Architect (Voice Skills/AI/Machine Learning)	Orlando, FL 32839	Andor Health	Estimated $128K - $163K a year	Position Summary Andor Health is seeking an experienced Senior Architect (Voice Skills/AI/Machine Learning). The successful candidate will be joining our…
60	BIM Data Analyst and Integrations Senior Specialist	Orlando, FL	ROGERS, LOVELOCK & FRITZ, INC.	Estimated $59.7K - $75.7K a year	The Senior BIM Data Analyst and Integrations Specialist will establish and champion the best practices around the use of BIM Data and project delivery…
61	Senior Marketing Data Analyst	Remote in Orlando, FL	Circle	Estimated $79.9K - $101K a year	Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments…
62	Senior .Net Engineer - Azure Bot Services Developer, Convers...	Orlando, FL 32811 (Eagles Nest area)	Andor Health	Estimated $111K - $140K a year	Position Description: The Senior .Net Engineer is a hands-on full stack engineer with superior coding skills and an ability to learn new technologies quickly.…
63	Big Data Engineer	Altamonte Springs, FL	24-7 Intouch	Estimated $103K - $130K a year	About 24-7 Intouch 24-7 Intouch is a global customer care and technology company that provides value-driven, future-forward solutions. For over 20 years, we…
64	Data Scientist	Orlando, FL	Hilton Grand Vacations	Estimated $83.5K - $106K a year	3-5 years prior data scientist experience.Create ad-hoc analysis and handle data requests from business stakeholders.Attention to details is critical.
65	Data Scientist - Risk	Orlando, FL 32801 (Central Business District area)	LSQ	Estimated $98.3K - $124K a year	A data science framework for optimal data acquisition, model training and deployment.A toolkit of modern data science techniques.Lay the foundation for scale.
66	AI/ML Principal/Sr. Principal Software Engineer (AHT)	Remote in Orlando, FL	Northrop Grumman	$93,000 - $120,000 a year	Location: Orlando, Florida, United States of America.Citizenship Required: United States Citizenship.Telecommute: Yes-May consider hybrid teleworking for this…
67	Senior Architect (Voice Skills/AI/Machine Learning)	Orlando, FL 32839	Andor Health	Estimated $128K - $163K a year	Andor Health is seeking an experienced Senior Architect (Voice Skills/AI/Machine Learning).The successful candidate will be joining our passionate team of…
