	Title	Location	Company	Salary	Synopsis
0	Data Scientist - New College Grad	Remote in Palo Alto, CA 94301+1 location	Wealthfront	Estimated $109K - $138K a year	The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and…
1	Data Scientist, Risk Data Mining(L001)	Mountain View, CA 94041 (Old Mountain View area)+66 locations	TikTok	Estimated $106K - $134K a year	Align risk teams and their stakeholders on risk control numeric goals, and promote impact-oriented, data-driven data science practices for risks.
2	Data Scientist	Santa Clara, CA+1 location	Cimetrix	$150,000 - $200,000 a year	Ability to create model-ready data from raw data, at scale.Help design, implement, and validate the ML Pipelines while collaborating with other data scientists…
3	Data Scientist, Operations Data Science	Hybrid remote in Mountain View, CA+3 locations	Google	None	2 years of relevant work experience (e.g., as a data scientist) or equivalent.4 years of relevant work experience (e.g., as a data scientist), including…
4	Data Scientist	Menlo Park, CA	Gayathri's Sandbox	Estimated $98.2K - $124K a year	Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
5	Vitria Data Scientist	Remote in Menlo Park, CA 94025	Vitria Technology	Estimated $119K - $150K a year	Proven data science or data analysis experience.Experience analysis time-series data.Detect and correlate anomalies across disparate time-series data.
6	Data Scientist	Santa Clara, CA	Colsh Consultants	Estimated $105K - $132K a year	Interpret data and analyze results.Leverage Python to analyze complex data.Assess the potential usefulness and validity of new data sources.
7	Data Scientist	Los Altos, CA 94022	Auryc	Estimated $112K - $141K a year	Experience with common data science toolkits.Developing scalable experimentation techniques to efficiently evaluate the models using real-time and offline data…
8	Data Scientist, User Experience	Mountain View, CA 94041 (Old Mountain View area)+1 location	TikTok	None	We are looking for seasoned data analysts who have strong data analysis skills to identify high-impact opportunities.
9	Data Scientist	Palo Alto, CA 94301 (Downtown North area)	Step Mobile	Estimated $129K - $163K a year	5+ years experience in data engineering or data science.Help build the next generation of data products at Step.Stock in an early-stage startup.
10	Associate Data Scientist I	San Jose, CA	UST Global	Estimated $80.6K - $102K a year	Develop data-driven solutions for difficult business challenges.Creates reports depicting the trends and behaviours from the analysed data.
11	Research Scientist - Risk Data Mining	Mountain View, CA 94041 (Old Mountain View area)+8 locations	TikTok	Estimated $82.1K - $104K a year	Familiarity with data mining, data science or machine learning.Reason and communicate in result-oriented, data-driven manner.
