	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Edgewater Park, NJ	Criterion Executive Search	$100,000 - $120,000 a year	Writing SQL code to access data from a data warehouse.Able to understand various data structures and common methods in data transformation.
1	Data Scientist	Remote in Philadelphia, PA 19103	Apexon	$70 an hour	Python, SQL, Tableau, data science experience .Data engineering; data set preparation and pipeline development; model and experiment output analysis; model…
2	Data Scientist	Fairless Hills, PA 19030	IT Consulting Services	Estimated $73K - $92.4K a year	Clean and manipulate raw data using statistical software for better and more efficient health data and aid innovations in the pharmaceutical industry.
3	Data Scientist	Exton, PA	Surya Systems	Estimated $87.2K - $110K a year	Apply expertise in quantitative analysis, data mining, and the presentation of data to uncover unique actionable insights about customer service, health of…
4	Data Scientist	Remote in Philadelphia, PA	CBI Remote	Estimated $109K - $139K a year	Exposure to big data technologies.Experience working with data warehouses Eg: Redshift and other similar database systems.
5	Data Scientist	Remote in Philadelphia, PA	Circle	Estimated $105K - $134K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
6	Data Scientist - Remote	Remote in Philadelphia, PA 19123	DataStream Insurance	Estimated $88.4K - $112K a year	Performing exploratory data analysis on new data sets.Cleaning large raw data sets and transforming them into features.Experience with Cloud Platforms (GCP).
7	Senior Data Analyst (Philadelphia PA)	Philadelphia, PA 19103	Medical Guardian LLC	Estimated $75.9K - $96.1K a year	Support data onboarding and migration to new data infrastructure, including defining data requirements and analytic use cases, supporting end-to-end testing and…
8	Associate, Data Science	Radnor, PA	Lincoln Financial	$39,900 - $83,700 a year	Proficiency with a major programming language appropriate for data science to manipulate data and draw insights, and source and compile data.
9	Jr. Data Scientist/Data Scientist	Mount Laurel, NJ 08054	Innovative Defense Technologies (IDT)	Estimated $95.2K - $121K a year	Previous experience in a ML or data scientist role and a track record of building ML or DL models.Experience using data visualization principles and tools.
10	Data Scientist III	Philadelphia, PA	Black Knight	Estimated $101K - $129K a year	Develops custom data models and algorithms to apply to data sets.Assesses the effectiveness and accuracy of new data sources and data gathering techniques.
11	Data Scientist	Philadelphia, PA	Independence Blue Cross	Estimated $90.4K - $114K a year	The data scientist will join a productive and dynamic data science team that supports all areas of our business with ML applications.
12	Data Scientist - 1 Year Fellowship	Hybrid remote in Wilmington, DE 19801	Tech Impact	$70,000 a year	Analyze data for trends and patterns through both exploratory and hypothesis-driven approaches.Serve as an authority in machine learning data education…
13	URBN Senior Data Scientist	Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)	URBN Outfitters, Inc.	Estimated $118K - $149K a year	Our expertise spans project management, machine learning, software engineering, data engineering, and analytics.
14	Analyst, Machine Learning & Data Analytics	Philadelphia, PA	FS Investments	Estimated $90.7K - $115K a year	Extensive data modeling, data wrangling and SQL skills.Work closely with key business stakeholders, data engineers and analytics professionals to translate…
15	Data Scientist	Conshohocken, PA 19428	INTERDIGITAL COMM CORP	Estimated $99.2K - $126K a year	We are looking for a Data Scientist to provide insights into the business through statistical analysis, data mining and data visualization techniques.
16	Data Scientist	Yardley, PA 19067	MMIT	Estimated $89K - $113K a year	Design of data science pipelines to ingest new data sources applying NLP processes to textual data, for example research abstracts and clinical trial…
17	Data Scientist	Philadelphia, PA 19102 (City Center West area)	Arch Capital Services LLC	Estimated $86.3K - $109K a year	Track record of delivering signiﬁcant business value from small or non-standard data sets.Detailed understanding of statistical theory, predictive modeling,…
18	Safety Data Scientist-Signal Detection	Remote in Fort Washington, PA 19034	ClinChoice Inc	Estimated $103K - $130K a year	Robust medical interpretation of safety data with oversight.Analyze and interpret data from multiple sources (clinical trials, safety databases, literature,…
19	Machine Learning Engineer	Bristol, PA 19007	Data-Core System, Inc.	$125,000 - $175,000 a year	Alongside, we plan to generate a portfolio of products and services related to decision making by corporate CFOs and fund CIOs, unavailable till now without…
20	Director, Data Engineering	Remote in Philadelphia, PA 19102	Cadent	Estimated $162K - $206K a year	This role requires proven practical experience as a data scientist, who is able to verbalize the story of our data in business terms.
21	Senior Data Analyst / Database Specialist (Intermediate)	Hybrid remote in Philadelphia, PA 19103	NucoreVision, Inc	$35 - $49 an hour	Combines data as needed from disparate data sources to complete analysis.Writes complex SQL to query large data platforms such as Teradata, SQL server, Oracle…
22	Machine Learning/Natural Language Generation Scientist	Philadelphia, PA 19104 (University City area)	Choosito	Estimated $83K - $105K a year	Prior experience with a range of machine learning algorithms, data collection and processing, feature generation, collaborative filtering models, text…
23	Data Analyst, SR Business Solutions	Philadelphia, PA 19148 (Stadium District area)	Philabundance	Estimated $82.3K - $104K a year	Work with project stakeholders to gather business data requirements and define solutions.Build reports and dashboards using data sources from either a data…
24	AVP Data Scientist	Philadelphia, PA 19106 (City Center East area)	Chubb INA Holdings Inc.	Estimated $88.5K - $112K a year	Independently extract and manipulate data using data management tools from internal and external data sources.Build partnerships with key constituents.
25	Senior Consultant software, machine learning and AI	Philadelphia, PA	Qserve Group B.V.	Estimated $107K - $135K a year	Leveraging your experience in software (engineering), high-performance computational systems, and your knowledge of machine learning, you will be responsible…
26	Director Data Science AI	Plymouth Meeting, PA 19462	ConcertAI	Estimated $147K - $187K a year	5+ years of data science experience (statistics, data mining, machine learning).As the Company’s strategy is designing studies based around both study intent…
27	Senior Scientist Data Review	West Deptford, NJ	Johnson Matthey	Estimated $117K - $149K a year	Strong knowledge in the GMP, FDA and regulatory data submissions.Review data package for sample release, method transfer, qualification, and validation.
28	Senior Analyst, Data Science & Analytics	Remote in Philadelphia, PA	Reify Health (Jobs)	Estimated $89K - $113K a year	Comfort with modern data analytics and BI environments such as Jupyter, Dash, Quicksight, etc.Developing clean, reusable, and testable analytical code and make…
