	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in Oregon	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Data Scientist	Beaverton, OR 97003	TEKsystems	$75 - $90 an hour	Partner closely with data scientists working on related annotation, data representation, machine learning, and MLops problems.
2	Senior Data Scientist	Hybrid remote in Beaverton, OR 97006	Everest Consultants, Inc.	Estimated $117K - $148K a year	""" Familiar with data structure and algorithms fundamentals and bash scripting for data manipulation."" Analyze data covering a wide range of information from…"
3	Data Scientist	Portland, OR	PacificSource Health Plans	Estimated $89.8K - $114K a year	Assess existing and identify new sources of data relevant to the problems being investigated, apply statistical data quality procedures to new data sources.
4	Data Scientist	Remote in Portland, OR	Circle	Estimated $112K - $142K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
5	Senior Data Scientist (Open to remote work, except the follo...	Remote in Beaverton, OR+2 locations	Nike	$140,000 a year	You will report to the Director of Data Science while partnering on daily basis with the fellow data scientists, data analysts, engineers and product owner on…
6	Data Scientist - Commercial Analytics (Open to remote work,...	Remote in Beaverton, OR	Nike	$117,000 a year	You will work with the Director of Data Science while partnering with fellow data scientists, data analysts, engineers and product owner on your squad.
7	Principal Data Scientist (Open to remote work, except the fo...	Remote in Beaverton, OR	Nike	$160,000 a year	You will help promote collaboration and efficiency across our team by implementing coding standards, identifying common models and components, developing model…
8	Research Data Scientist	Hillsboro, OR	Onto Innovation	Estimated $87.1K - $110K a year	The data scientist role includes creating various Machine Learning-based tools.As the Data Research Scientist you will be part of an R&D team exploring and…
9	Data Scientist I	Vancouver, WA	ZoomInfo Technologies LLC	Estimated $92.6K - $117K a year	Have a data-centric mindset and willingness to dive into the data.Support productionization and deployment of data science models and pipelines.
10	Data Analyst/Scientist #	Portland, OR	LifeWorks NW	$56,697 - $61,658 a year	Technical expertise regarding data models, database design, data mining and segmentation.Develop and maintain databases by acquiring data from primary and…
11	Data Scientist	Portland, OR	Schrödinger	Estimated $95.7K - $121K a year	An exceptionally organized data scientist who understands javascript frameworks like Vue.js and/or React.js.Process and maintain drug discovery group database…
12	Senior Data Scientist	Beaverton, OR 97006 (Five Oaks - Triple Creek area)	Phoenix Technologies Inc.	Estimated $113K - $143K a year	Familiar with data structure and algorithms fundamentals and bash scripting for data manipulation.Analyze data covering a wide range of information from user…
13	Data scientist	Hillsboro, OR	Trellix	Estimated $84.9K - $108K a year	Develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data…
14	Senior Data Scientist at Rent-to-Own Startup	Remote in Portland, OR 97035	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
15	Data Science Engineer	Beaverton, OR 97005 (Central Beaverton area)+1 location	FlexIT Inc	Estimated $106K - $135K a year	We are looking for strong experience in Python, AWS, Machine Learning/Data Science, CI/CD integration and the ability work with cross functional team.
16	Senior Data Scientist/Machine Learning Engineer	Remote in Portland, OR 97035+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
17	Data Scientist / Data Engineer	Portland, OR	Cascade Data Labs	Estimated $83.9K - $106K a year	Engineer data pipelines and products to help stakeholders make and execute data driven decisions.Engineering data infrastructure, software libraries, and APIs…
18	Senior Data Scientist (Remote)	Remote in Portland, OR 97204	New Relic	Estimated $117K - $148K a year	Work with Statistical computer languages Python, SQL, and libraries (NumPy, Pandas) to manipulate data and draw insights from large data sets.
19	Data Analytics Manager	Portland, OR	PacificSource Health Plans	Estimated $141K - $178K a year	Experience in fostering a data driven and analytic culture.Leverage interactive and engaging visual Analytics to support leaders in better understanding data…
20	Data Science Director	Remote in Portland, OR	Swift	Estimated $137K - $174K a year	Advanced knowledge and working experience in advertising, research, social platforms or marketing data is critical.8+ years of relevant experience.
21	Senior Data Analyst	Vancouver, WA 98662 (Van Mall area)	Tarim Consulting	$41,600 - $83,200 a year	Focused on making data-driven decisions.Audit clients’ Oracle software usage by analyzing data provided by clients (e.g., contracts, orders, and technical…
22	Data Scientist	Beaverton, OR	KeyCaliber	Estimated $98.4K - $125K a year	Work with our data engineers to identify and acquire the data sources and features necessary for successfully implementing our ML models in realtime and at…
23	2022 Sr. Marketing Data Analyst (contract)	Remote in Portland, OR	Kiva.org	Estimated $111K - $141K a year	Be a strong voice in optimizing our analytics workflow and partner with data engineering in building scalable data solutions.
24	Senior Data Analyst (Virtual)	Portland, OR	Jama Software	Estimated $89K - $113K a year	You will also be a champion for data quality & governance, and will play in instrumental role in ensuring accuracy across our data ecosystem.
25	Data Reporting Analyst	Remote in Portland, OR 97201	Cambia Health Solutions	None	Advanced knowledge of health plan operations, data sources, data structures within business area.The Data Reporting Analyst serves as a data and analytic…
26	Senior Data Analyst, Tableau	Portland, OR 97209 (Pearl District area)	3Degrees	Estimated $75.5K - $95.5K a year	Analyze various data sets and clearly articulate data insights to a range of audiences, while examining big-picture questions.
27	Data Reporting Associate	Portland, OR 97201 (Downtown area)	Cambia Health Solutions	None	Develops and maintains PSD department performance dashboard, leveraging data resources from Salesforce.com, Tableau and RFPIO.
28	Senior Data Analyst	Remote in Portland, OR 97035	Trupanion	Estimated $83K - $105K a year	Extract and reconcile data from our robust data warehouse or identify and strategize new data to be collected through third party partnerships, surveys and more…
29	Sr Data Analyst	Portland, OR 97201 (Southwest Hills - Council Crest area)	Health Share of Oregon	Estimated $81.5K - $103K a year	Skilled in data integrity, data flows and data storage.Experience using an enterprise data warehouse.Maintain a strong understanding of Health Share of Oregon…
30	Data Architect	Portland, OR	CrossCountry Consulting	Estimated $142K - $180K a year	Design and implement complex data and analytics solutions to build next-generation data analytic platforms and solutions.
