	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist	Remote in Durham, NC 27713	TARGET PHARMASOLUTIONS	Estimated $111K - $140K a year	Healthcare/clinical data background preferred.Advanced ability to perform exploratory data analysis.Build tools to automate data analysis and collection.
1	Senior Data Scientist - Delivery Insights	Remote in Raleigh, NC	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
2	Senior Data Scientist - Remote	Remote in Raleigh, NC 27513	The HT Group	Estimated $119K - $151K a year	Develop and perform preliminary exploratory analysis with data stored in Amazon Redshift, collected through REST APIs, and other unstructured data.
3	Senior Data Analyst	Remote in North Carolina	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Data Scientist _ Morrisville, NC	Morrisville, NC 27560	Kelly	$30 an hour	Assisting with data collection, ingestion, wrangling, cleansing, and verifying the integrity of data used for analysis.Weekly pay and service bonus plans.
5	Data Scientist	Remote in Raleigh, NC 27601+2 locations	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
6	Data Scientist	Raleigh, NC	Piper Companies	$90,000 - $130,000 a year	Teach and mentor other data scientists on the team.2+ years of experience in data science, software engineering, analytics, and/or data production.
7	DATA SCIENTIST	Durham, NC 27701	Durham County	$65,072 - $117,129 a year	Updates existing dashboards, clean databases and gathers data.Ability to work with large and complex data sets.Codes applications to be used by management.
8	Data Scientist	Durham, NC	Sift Media	Estimated $80.4K - $102K a year	Provide the data science team with valuable insights, analyses, and reports.Experiment result analysis (slicing and dicing the data all ways that are relevant)…
9	Data Scientist	Raleigh, NC	PrecisionHawk	Estimated $103K - $131K a year	Proven experience as a data scientist, machine learning engineer, or other relevant data experience.Manage data mining, collection, and data processing efforts…
10	Data Scientist	Durham, NC	Exclusive Jets Llc	Estimated $83K - $105K a year	Comfort with spatial and temporal data.Wrangle diverse and sometimes-messy data sets.Have developed predictive models with real-world (untransformed) data,…
11	Biological Data Scientist	Research Triangle Park, NC	Locus Biosciences	None	Familiarity working with genomics data and associated QC measures.30% effort: Experimental Design & Data Analysis – Work with bench scientists to design…
12	Data Scientist	Hybrid remote in Raleigh, NC+1 location	Comcentric	Estimated $91.3K - $116K a year	Create data visualizations, reports, dashboards, and data audits.Build, deploy, and maintain data management systems and front-end data.
13	Data Scientist	Durham, NC 27703	Infinia ML	Estimated $98.8K - $125K a year	As our data scientists build ML algorithms and data processing pipelines, our engineers need to package that technology into consumable software.
14	Principal Data Scientist	Raleigh, NC	Bay State	Estimated $113K - $144K a year	Create data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.
15	Senior Data Scientist	Research Triangle Park, NC 27709	AgBiome	Estimated $119K - $150K a year	Drive novel insights from large and complex data sets by developing and applying cutting-edge data wrangling and analytics capabilities.
16	Senior Data Scientist	Durham, NC	Blue Cross and Blue Shield of North Carolina	Estimated $113K - $143K a year	Leverage existing data sets and engineer new data sets including development of SQL queries, data integration and resolution of data quality issues.
17	Data Scientist	Remote in Durham, NC	Hyperspace Ventures	Estimated $97K - $123K a year	Building key data sets to empower operational and exploratory analysis.Influencing product teams through presentation of data-based recommendations.
18	Senior Data Scientist at Rent-to-Own Startup	Remote in Durham, NC 27517+11 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
19	Marketing Data Scientist	Durham, NC 27709	Rangam Consultants Inc.	$54 - $60 an hour	Experience with enterprise-wide data initiatives and working with complex data and system infrastructures.Use advanced analytics and machine learning methods…
20	Sr Data Analyst (Contract)	Cary, NC+1 location	Epic Games	Estimated $101K - $128K a year	3-5 years experience in a statistical and/or data science role.Experience with data visualization tools (e.g., SumoLogic, Tableau).In This Role You Will.
