	Title	Location	Company	Salary	Synopsis
0	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$42.00 - $56.50 an hour	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.
1	Senior Data Scientist	Remote in Washington, DC 20001	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
2	Senior Big Data/Machine Learning Engineer (BHJOB1435_28491)	McLean, VA 22102	Astyra Corporation	$80 - $85 an hour	AML Customer Data Team - provides central location for customer data, reforming searching for different sanction lists.Job Types: Full-time, Contract.
3	Data Scientist I (Contractor)	Remote in Gaithersburg, MD 20878	Novavax, Inc.	Estimated $88.6K - $112K a year	Develop data wrangling/ETL pipelines for more efficient and repeatable data science projects.You will be creating value from data assets using advanced…
4	Data Scientist (Remote)	Remote in Reston, VA 20190	Improvix Technologies	Estimated $107K - $135K a year	Strong data visualization skills (Tableau preferred).Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the…
5	Data Scientist	Washington, DC 20591 (Southwest Federal Center area)	US Federal Aviation Administration	$112,187 - $173,922 a year	Identifies risks in the NAS through the use of data sets, such as voice data, track data, incident/accident data, maps, etc.
6	Data Scientist	Remote in McLean, VA	SYNTASA	Estimated $97.9K - $124K a year	Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches.
7	Data Scientist	Reston, VA	ISE Data Systems	Estimated $88.8K - $112K a year	Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s…
8	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Experience organizing and analyzing data sets using data analytical tools, and creating and implementing data collection and analysis tools, utilizing…
9	Data Scientist	Reston, VA+2 locations	Varen Technologies	Estimated $123K - $156K a year	Explores and operationalizes data sources using scientific processes and technologies to uncover and.3+ years of experience with ML tools to build models and…
10	Data Scientist	Chantilly, VA 20151+1 location	Dezign Concepts LLC	Estimated $135K - $171K a year	Demonstrated experience ETLing data into common data models utilizing common data engineering services.Demonstrated experience designing and building data…
11	Junior Data Scientist	Reston, VA 20191	Dezign Concepts LLC	$100,000 - $125,000 a year	The Sponsor manages a large number of data scientists of varying levels of experience, and provides them challenging and exciting project work in a fast-paced…
12	Data Scientist (ALL LEVELS)	Remote in Reston, VA 20191+2 locations	Noblis	Estimated $108K - $137K a year	The data scientist will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object…
13	Data Scientist	Bethesda, MD 20817	Technical Resources International, Inc.	Estimated $89.3K - $113K a year	Validating the methods used in data extraction and data transformation.Producing reports based on data extracted.Proficiency with SQL (1+ years preferred).
14	Principal Data Scientist	Dulles, VA 20166	Global Wireless Solutions, Inc.	$140,000 - $150,000 a year	Strong trend analysis, data weighting/extrapolation, bias reduction, data aggregation techniques, and automation skills are required.
15	Data Scientist	McLean, VA+1 location	Avantus Federal	Estimated $115K - $146K a year	The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical.
16	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
17	Early career data scientist / analyst / statistical genetici...	Washington, DC	Data Tecnica	None	This will focus on running and refining standard analysis, data management and data visualization workflows.Scope of research: Supporting cloud based analysis…
18	Research Data Scientist	Reston, VA 20190 (Sunset Hills area)	Metron, Inc.	Estimated $90.4K - $114K a year	At our Reston HQ, research teams of mathematicians, computer scientists, and other scientists collaborate to build advanced decision aids that exploit customer…
