	Title	Location	Company	Salary	Synopsis
0	Data Scientist - 01-2044	Hybrid remote in Richmond, VA	National Computing Group	$70 - $100 an hour	Understanding and/or Experience with data engineering is a plus.Deep knowledge of machine learning, data mining, statistical predictive modeling, and extensive…
1	Sr. Data Analyst - Direct Hire - Hybrid Role	Richmond, VA	Vaco	$80,000 - $95,000 a year	At least 3 years of experience in querying and analyzing and working with data languages and platforms (SQL) to investigate large and diverse data sets.
2	Data Scientist - Henrico	Henrico County, VA	Virginia VA Employment Commission	$70,000 a year	Ability to develop, analyze, and manage large data sets (unstructured and structured), and to integrate data from different sources and across different…
3	Data Scientist	Richmond, VA 23219 (Central Office area)	TTU	$69,177 - $158,008 a year	Understanding and/or Experience with data engineering is a plus.Deep knowledge of machine learning, data mining, statistical predictive modeling, and extensive…
4	Data Scientist	Glen Allen, VA 23060	2nd Order Solutions	Estimated $92.6K - $117K a year	Our data scientists leverage elite modeling and industry context to develop custom, practical solutions to our client’s business problems.
5	Data Scientist	Richmond, VA	SunPower	Estimated $95.7K - $121K a year	Significant experience developing automated data flows.We are looking for candidates with experience developing data models, ETL data flows, and AWS…
6	Principal Data Scientist (Remote Friendly)	Remote in Richmond, VA+4 locations	Mission Lane	Estimated $135K - $171K a year	To use distributed computing systems like Spark and Snowflake to manipulate data.You practice solid fundamentals with software engineering (test-driven…
7	Data Scientist	Remote in Richmond, VA	Circle	Estimated $115K - $146K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
8	Senior Data Analyst	Glen Allen, VA	RetailData LLC	$75,000 - $95,000 a year	At least 3 years of experience in querying and analyzing and working with data languages and platforms (SQL) to investigate large and diverse data sets.
9	Senior Data Analyst (Remote Friendly)	Remote in Richmond, VA	Mission Lane	Estimated $80.5K - $102K a year	Be a catalyst for data-driven decision making through the creation and analysis of analytical data models.Experience leveraging dbt to build analytical data…
10	Lead Data Scientist	Remote in Richmond, VA	Spring Oaks Capital	Estimated $123K - $155K a year	Rapidly develop data collection, tagging, and workflow instrumentation strategies.The Lead Data Scientist will work closely with our product and data…
11	Data Scientist	Chesterfield County, VA	Yakshna Solutions	Estimated $131K - $166K a year	Good data management practices to perform data cleansing activities.Data Scientist –Minimum 10 years of experience in IT Industry.
12	Senior Data Analyst	Remote in Richmond, VA 23173	Trupanion	Estimated $93.3K - $118K a year	Extract and reconcile data from our robust data warehouse or identify and strategize new data to be collected through third party partnerships, surveys and more…
13	Senior Business Data Analyst - Safety, Security & Emergency...	Richmond, VA 23219 (Capitol District area)	Virginia Dept of Transportation	$75,602 - $110,000 a year	Employ knowledge of Division and Agency data sources to accurately and effectively provide data and information.Respond to ad-hoc requests for information.
14	Data Engineer - Data Science Platforms & Infrastructure	Richmond, VA 23218 (City Center area)	S&P Global	$91,500 - $190,100 a year	Working with our data scientists to turn large-scale messy, diverse, and often unstructured data into a source of meaningful insights for our customers.
15	Data Science Manager (Remote Friendly)	Remote in Richmond, VA+1 location	Mission Lane	Estimated $101K - $128K a year	A low-ego, respectful, data science team committed to solving practical problems together.You have a deep understanding of the field of data science and can…
16	Sr Data Analyst	Richmond, VA 23228	Hanu Soft	Estimated $93.5K - $118K a year	Work on systems, interfaces (OLTP database, data warehouse, ETL staging, Data Marts).Define, develop ad hoc reports using system data sources and query…
17	Data Analytics - Practice Lead	Richmond, VA 23235 (Stony Point area)	Whitman, Requardt & Associates, LLP	Estimated $135K - $171K a year	Demonstrated experience leading multi-disciplined groups of data scientists, data engineers, data solutions engineers, and data visualization.
18	Statistician	Richmond, VA	NewMarket Services Corporation	Estimated $80K - $101K a year	Some statistical analysis/data modeling methods are to include.Understand statistical analysis methods that are to be applied to properly analyze data.
19	Machine Learning Engineer	Richmond, VA 23219 (City Center area)	CoStar Group	None	Experience solving streaming and batch data processing problems at scale.Experience with data visualization libraries matplotlib , seaborn, or Plotly.
20	Senior Data Scientist (Remote Friendly)	Remote in Richmond, VA	Mission Lane	Estimated $122K - $155K a year	You consider yourself a generalist data scientist and are more motivated by practical solutions than theoretical elegance.You enjoy being a technical mentor.
21	Senior Marketing Data Analyst	Remote in Richmond, VA	Circle	Estimated $91K - $115K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
22	Lead Machine Learning Engineer	Remote in Richmond, VA 23218	S&P Global	$83,200 - $190,100 a year	The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text…
23	Senior Data Analyst - Department of Family Medicine and Popu...	Richmond, VA 23284 (VCU area)	Virginia Commonwealth University	$65,000 - $80,000 a year	O Developing and implementing data analyses or data collection systems.O Managing and maintaining databases to include acquiring data from primary or secondary…
24	Data Science - R Shiny Application Developer	Richmond, VA	NewMarket Services Corporation	Estimated $87.1K - $110K a year	Partner with multiple stakeholders including clients, new product development, data engineers and data scientists to develop scalable solutions.
25	Technical Product Manager (Remote Friendly)	Remote in Richmond, VA	Mission Lane	Estimated $109K - $138K a year	Previous experience as a data scientist or ML engineer.Knowledge of Snowflake or other data warehouse platforms.Sound like a mission you could get behind?
26	Machine Learning Manager	Richmond, VA 23219 (City Center area)	CoStar Group	None	Data Scientists at CoStar play an important role in this process, by mining data from sources including billions of pageviews, millions of images, vast…
27	Postdoctoral Trainee/Fellow	Richmond, VA 23284 (VCU area)	Virginia Commonwealth University	$53,760 - $65,292 a year	We are seeking a data scientist with an interest in applying statistical genetics and machine learning to large-scale genetic studies.
28	Machine Learning Engineer	Richmond, VA	Snagajob	$112,000 - $138,000 a year	Collaborate with data scientists, developers, and product managers to integrate and validate machine learning solutions end to end.What You'll Get to Do.
29	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
30	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
31	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
32	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
33	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
34	Senior Data Scientist (Remote Friendly)	Remote in Richmond, VA	Mission Lane	Estimated $122K - $155K a year	To use distributed computing systems like Spark and Snowflake to manipulate data.You practice solid fundamentals with software engineering (test-driven…
35	Technical Product Manager (Remote Friendly)	Remote in Richmond, VA	Mission Lane	Estimated $109K - $138K a year	Previous experience as a data scientist or ML engineer.Knowledge of Snowflake or other data warehouse platforms.Able to handle fluid strategies and ambiguity.
36	Machine Learning Manager	Richmond, VA 23219 (City Center area)	CoStar Group	None	8+ years of experience in software engineering designing and building data-intensive solutions using cloud computing.3+ years of people management experience.
