	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Highland, CA 92346	Yaamava Resort & Casino at San Manuel	Estimated $86.2K - $109K a year	Data analytics and/or data science: 5 years (Preferred).Minimum five (5) years of experience in data analytics and/or data science is required.
1	Director, Data Science- SMB Labs	Remote in California	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
2	Manager, Data Scientist Vehicle Data & Monetization	California	Hyundai Motor America	Estimated $129K - $163K a year	~ Conduct exploratory data analysis.Able to aggregate, gather and manipulate data.~ Act as subject matter expert regarding vehicle data.
3	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Data Scientist	Highland, CA	Yaamava' Resort & Casino at San Manuel	Estimated $90.7K - $115K a year	Minimum five (5) years of experience in data analytics and/or data science is required.Under the direction of the Director of Financial Planning & Analysis (FP…
5	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Helping clean data and implement validation layers.Can collaborate with non-computational scientists.Desire to build a data science ecosystem from the ground…
6	Data Scientist - Ads Optimization	Remote in Riverside, CA	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
7	Senior Data Scientist	Remote in Ontario, CA	Jerry	Estimated $128K - $163K a year	You will join a team of data engineers, data analysts and data scientists.Partner with other data scientists to evolve, optimize and integrate machine learning…
8	Senior Data Scientist	Corona, CA	CEDENT	Estimated $96.8K - $123K a year	The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting…
9	Statistical Quality Analyst	Mira Loma, CA 91752	Anheuser-Busch	$88,400 - $99,450 a year	Involvement in the daily management of plant operations.Achieve significant process improvements by guiding teams and individuals in the application and use of…
10	Senior Data Analyst, Kroll Government Services	Diamond Bar, CA	Kroll	Estimated $89.4K - $113K a year	5+ years' work experience with data management, data analytics, data forensics, electronic discovery and/or technology focused role.
11	Sr. Principal Data Scientist	Remote in California	Northrop Grumman	$125,800 - $188,600 a year	Creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.
12	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
13	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
14	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
15	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	Job ID: 2206941-US-United_States Location: , , US Date Posted: 2022-05-05 Category: Information Technology Subcategory: Big Data Engineer Schedule: Full…
16	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Data Scientist It’s All About YOU Are you seeking to grow and enhance your technical career to new heights, in a full-time, W-2 opportunity? What…
17	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	You will be working with some of the most advanced analytics.
18	Director, Statistical Programming	United States	Parexel - USA	Estimated $89.4K - $113K a year	As a Director, you will be responsible to lead, manage and support the departmental or functional team and processes to ensure that Parexel delivers quality…
19	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
20	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
21	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
22	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
