	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Director, Data Science- SMB Labs	Remote in California	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
2	Data Scientist	Rocklin, CA	Amynta Group	Estimated $86.6K - $110K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
3	Data Scientist	Sacramento, CA 95825 (Campus Commons area)	Rubicon	Estimated $104K - $131K a year	Reporting to the Product Manager Data & Analytics, the data scientist will support the translation of big data into internal and external dashboards & reports…
4	Manager, Data Scientist Vehicle Data & Monetization	California	Hyundai Motor America	Estimated $129K - $163K a year	~ Conduct exploratory data analysis.Able to aggregate, gather and manipulate data.~ Act as subject matter expert regarding vehicle data.
5	Data Scientist	Remote in Sacramento, CA+1 location	Comcentric	$139,000 - $276,000 a year	Mentor and grow other software engineers, data scientists, and ML engineers across teams.Solid knowledge of data structures and algorithms.
6	Senior Data Scientist at Rent-to-Own Startup	Remote in Elk Grove, CA 95758	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
7	Data Analyst / Data Scientist	Rocklin, CA 95765+1 location	tab32	Estimated $96.5K - $122K a year	Experience with data structures and dimensional data modeling, data warehouse architectures, and data preparation (ETL).
8	Senior Data Scientist/Machine Learning Engineer	Remote in Elk Grove, CA 95758+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
9	Senior Healthcare Data Scientist	Sacramento, CA 95814 (Medical Center area)	BlueSky Technology Solutions	$115,000 - $140,000 a year	Knowledge of data-driven research, scholarly communication, and the technical and social aspects of the research data lifecycle.
10	Data Scientist (100% Remote)	Remote in Sacramento, CA 94278	Frontdoor	Estimated $126K - $160K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
11	Senior Data Scientist	California	Harnham	$100,000 - $175,000 a year	Helping clean data and implement validation layers.Can collaborate with non-computational scientists.Desire to build a data science ecosystem from the ground…
12	Data Scientist	Sacramento, CA	California Hospital Association	Estimated $71.5K - $90.5K a year	Analyze HQI and CHPSO data using a variety of techniques from simple aggregation to complex data mining to help HQI and CHPSO maintain and improve large data…
13	Data Science Mentor	Sacramento, CA	Numerdox	Estimated $74.1K - $93.9K a year	MS or PhD in relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math) with at least 2 years of experience as a data scientist.
14	Data Scientist	Sacramento, CA	US Farm Credit Administration	$75,463 - $162,980 a year	Experience using big data principles, data analytics/modelling, data governance, and multiple computer/statistical programming.Must be a U.S. citizen.
15	Game Mathematician Consultant	Remote in Loomis, CA	Powerhouse Gaming	Estimated $97.7K - $124K a year	Demonstrates outstanding data analysis and presentation skills.Analyze performance data from the marketplace to help identify future game math and industry…
16	Senior Data Analyst	Sacramento, CA	Berkshire Hathaway Homestate Companies	Estimated $107K - $136K a year	Hands-on experience with data pipelines & ETL processes (structured & unstructured), deep understanding of data analysis, Insurance business intuition, and…
17	Director of Data Science and Analytics	Sacramento, CA 95818 (Land Park area)	One Community Health - CA	$130,000 - $165,000 a year	Expertise with analytics tools, data visualization, SQL Server and relational databases as applied to data science and analytics.BS required, Master's a plus.
18	Data Plane Engineer	Remote in Elk Grove, CA 95758	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
19	Senior Data Scientist - Analytics	Remote in Sacramento, CA 95833	Woodruff Sawyer	Estimated $127K - $161K a year	Compile and analyze data from various data marts into one analytics data mart.Support our Property & Casualty and our Management Liability teams with data…
20	Senior Marketing Data Analyst	Remote in Sacramento, CA	Circle	Estimated $91.6K - $116K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
21	Artificial intelligence / Machine Learning Engineer	Sacramento, CA 95822 (Airport area)+5 locations	Cotocus	Estimated $106K - $134K a year	We are looking for engineer who is expert in Artificial intelligence / Machine Learning Engineer and exerience between 2-8 years with follwoing skills.
22	Senior Scientist – DevOps Engineer/Data system architect	Davis, CA 95618 (Interland-Univ. Research Park area)	BioConsortia	None	Have extensive experience with data science, database, and Amazon Web Services.Contribute to various aspects of projects including, experimental designs, data…
23	Lead Machine Learning Engineer	Remote in Sacramento, CA 94203	S&P Global	$83,200 - $190,100 a year	The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text…
24	Principle Engineer in Data Analysis	Sacramento, CA 95822 (Airport area)+1 location	Cotocus	Estimated $116K - $147K a year	Preferably Masters in Computer Science / Electrical Engineering with 8+ years of experience in research in areas around Artificial Intelligence,Machine-Learning…
25	NLP Engineer at Speech to Text Start Up	Remote in Elk Grove, CA 95758	Recruiting From Scratch	Estimated $127K - $160K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
26	Artificial Intelligence Researcher	Sacramento, CA 95822 (Airport area)	Cotocus	Estimated $86K - $109K a year	We are looking for engineer who is expert in Artificial Intelligence Researcher and exerience between 2-8 years with follwoing skills.
