	Title	Location	Company	Salary	Synopsis
0	Jr. Data Scientist	San Diego, CA	Mulligan Funding	Estimated $124K - $158K a year	Identify relevant data sources and data sets to deliver insights and analysis for business decision-making.Source, cleanse and verify data.
1	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
2	Data Scientist	San Diego, CA	Odyssey Systems Consulting Group, Ltd.	Estimated $115K - $145K a year	Prepare and maintain technical data, reports, documentation, and briefings.Odyssey Systems has an exciting new opportunity for a Data Scientist supporting the…
3	Algorithm Data Scientist	San Diego, CA 92121 (Sorrento Valley area)	Biolinq	Estimated $124K - $157K a year	Experience with advanced data analysis tools and methods; demonstrated understanding of statistics and statistical analysis of data.
4	Data Scientist	Remote in San Diego, CA	Circle	Estimated $117K - $149K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
5	Data Scientist 2	Remote in San Diego, CA	Dexcom	Estimated $92.6K - $117K a year	Apply data mining and machine learning techniques to extract valuable information and patterns from clinical and commercial data sets that can be leveraged in…
6	Data Annotation Specialist	San Diego, CA	Netradyne	Estimated $74.5K - $94.3K a year	Experience labeling ML data sets.Collaborate with data science team to label, or tag, various types of data that will subsequently be used to build machine…
7	Data Scientist I	Coronado, CA	Knowesis	Estimated $70.4K - $89.2K a year	Enter, clean, and conduct basic data manipulation and analysis, ensure data accuracy.Enter and analyze data within government systems.
8	Machine Learning Engineer	San Diego, CA 92123 (Kearny Mesa area)	OmniSync Incorporated	$79,200 - $128,659 a year	Direct experience on solving interdisciplinary problems via machine learning (ML).Knowledge in Algorithms, Optimization, Probability, Statistics and…
9	Senior Data Scientist	San Diego, CA 92121	firstlight.ai	Estimated $128K - $162K a year	Interpret results using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining independently.
10	Data Scientist	San Diego, CA 92130	XIFIN	Estimated $101K - $128K a year	Advanced data preparation skills, particularly using SQL on complex relational datasets.Processing, cleansing, and verifying the integrity of data used for…
