	Title	Location	Company	Salary	Synopsis
0	Bioinformatic Data Scientist	Hybrid remote in Emeryville, CA+3 locations	Harnham	$150,000 - $175,000 a year	This exciting organization is looking for experienced scientists to help build out their cross-functional data science team.Strong coding skills with Python.
1	SENIOR DATA SCIENTIST	San Francisco, CA+3 locations	Harnham	$140,000 - $160,000 a year	Work with big data sets of phenotypic and multi-omics data.Help clean data and implement validation.Industry experience applying ML to biological data.
2	Lead Data Scientist	Remote in San Francisco, CA	Harnham	$180,000 - $230,000 a year	As a lead data scientists you will….Create advanced machine learning solutions using healthcare data and sensor data for a smart device.
3	Senior Data Scientist, Analytics	Remote in San Francisco, CA 94107+3 locations	Discord	$184,700 a year	Discord is looking for experienced and passionate data scientist to join our small-but-growing Data Science team!3+ years experience writing excellent SQL.
4	Sr. Data Scientist	San Mateo, CA	PlayStation Global	Estimated $125K - $158K a year	As a senior data scientist in the Product Data Science (PDS) team you will be responsible for generating interpretable, meaningful models of human behavior to…
5	Data Scientist (Entry-Level)	Remote in Oakland, CA 94612	GreatSchools	$85,000 - $97,000 a year	We are seeking an entry-level data scientist to join our team.Build data visualizations to help colleagues and other stakeholders understand data and ratings…
6	Data Scientist	San Bruno, CA	FocusKPI Inc.	Estimated $110K - $139K a year	Produce qualitative and quantitative data.3+ years of industry experience in data science, measurement, marketing strategy, data analytics.
7	Data Scientist - All Levels	Remote in San Francisco, CA	Abnormal Security	Estimated $114K - $144K a year	We are looking for an experienced data scientist to join our team.You will work closely with a group of talented data scientists to measure and analyze the…
8	Data Scientist	Hybrid remote in San Francisco, CA	Upgrade	Estimated $112K - $142K a year	Upgrade is a fintech unicorn founded in 2017.We are the fastest-growing company in the Americas (Financial Times).2+ years experience as a Data Scientist.
9	Data Scientist	Remote in San Francisco, CA 94104+1 location	Grammarly, Inc.	Estimated $122K - $155K a year	Is a data-informed decision-maker who experiments with new ways to help our customers learn our products faster; asks questions, captures metrics, and uses the…
10	Data Scientist	San Francisco, CA	Rapid Value Solutions	$80 - $100 an hour	Appropriately document data sources, methodology, and evaluation metrics through using visual tools.Job-related experience (e.g. data analytics and modeling),…
11	Jr. Data Scientist	San Francisco, CA	Aroopa	Estimated $110K - $139K a year	Experience with statistics/machine learning packages such as Spark MLlib, Python (scikit-learn, pandas, numpy, scipy, Matplotlib), Keras, TensorFlow, PyTorch…
