	Title	Location	Company	Salary	Synopsis
0	Senior Data Scientist, Customer Engagement Analytics	Irvine, CA	Zillow	$127,100 - $203,000 a year	Extensive experience querying multi-terabyte-sized noisy data sets such as clickstream data.Serve as a mentor and resource to other data scientists on the team…
1	Data Scientist (JO-2204-159264)	Remote in Irvine, CA 92618	Ledgent Technology	$150,000 - $185,000 a year	Data Science Mathematical background- solving algorithms/solutions.Must not afraid to fail and work on their own.Nice to have - working in Cloud environments.
2	Staff Data Scientist	Remote in Irvine, CA 92612	CyberCoders	$180,000 - $225,000 a year	Work closely with data engineers to implement data systems in production.8+ years data Science experience.Large data sets / distributed applications.
3	Senior Data Scientist	Hybrid remote in Irvine, CA	Harnham	$170,000 - $200,000 a year	COMPANY: A growing start up that is working with healthcare data and financial data to create new medical products.Tackle R&D and new innovation problems.
4	Senior Data Analyst	Remote in California	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
5	Data Scientist	Cerritos, CA 90703	REVOLVE	Estimated $127K - $161K a year	Conduct complex analysis and build models to uncover key learning form data, leading to appropriate strategy recommendations.PhD in a quantitative field.
6	FUN SENIOR DATA ANALYST WANTED	Newport Beach, CA 92663	Victory Advisory Firm	$100,000 - $120,000 a year	Coding knowledge and experience querying data sources using statistical computer languages both from internal data and 3rd party providers.
7	Data Scientist	Orange, CA+1 location	Gustaine	Estimated $107K - $135K a year	You will lead and drive programs in areas such as statistical algorithms for processing massive time series data, statistical risk modeling and development of…
8	Sr. Data Scientist	Santa Ana, CA	omega solutions inc	Estimated $122K - $154K a year	Field Team Modernization/Intelligent Decision Management - build and support of new predictive data models 2) Coding Transformation - build and support of new…
9	Associate Data Scientist	Irvine, CA 92618+2 locations	Blizzard Entertainment	Estimated $94.3K - $119K a year	Blizzard data scientists design and deploy data-powered products and services that scale to the terabytes of data that Blizzard games generate every day.
10	Data Scientist (Remote)	Remote in Los Angeles, CA 90001	Steel Point Solutions L	Estimated $130K - $165K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
11	Data Scientist	Irvine, CA 92614 (San Joaquin Marsh area)	Exsilio	Estimated $86.7K - $110K a year	Perform data mining on large sets of data for various industries.Analyzing potential data patterns to help create effective solutions.
12	Senior Data Scientist	Irvine, CA	MobilityWare	Estimated $133K - $169K a year	Work with the data engineering team on data definition, ETL, data ingestion, data merge, data cleaning and troubleshoot issues for very large datasets.
13	Data Scientist Associate-CXI	Long Beach, CA 90806	SCAN Health Plan	Estimated $74K - $93.6K a year	Data sources including operational data, prospect data, call center data, core admin data, provider data, VOC data, clinical data, and external data.
14	Digital Manufacturing Data Scientist	Irvine, CA 92602 (Lower Peters Canyon area)	Caltrol Inc	$73,067 - $162,608 a year	Develop data solutions for the business needs of our manufacturing clients using data dashboarding, data structuring, data analytics and/or machine learning.
15	Data Scientist	Orange, CA	Gustaine	Estimated $107K - $135K a year	You will lead and drive programs in areas such as statistical algorithms for processing massive time series data, statistical risk modeling and development of…
16	Data Science Associate	Newport Beach, CA	Pacific Investment Management Company LLC	Estimated $98.5K - $125K a year	Your experience extends to implementing and tuning algorithms working on large data.Troubleshoot and assess impact of erroneous data, suggest solutions to…
17	Digital Marketing - Data Analyst	Costa Mesa, CA 92626	Mantek Solutions	$38 an hour	Partner with IT, BI and Operations team to help identify and mend data gaps, source issues, and data inaccuracies.No Corp to Corp and No Sponsorship.
18	Data Scientist - Ads Optimization	Remote in Long Beach, CA	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
19	Data Scientist	Irvine, CA 92618 (Irvine Health and Science Complex area)	Exponent	None	Providing expertise to multi-disciplinary engineering teams in foundational data science domains, including data management, programming, statistics, and data…
20	Data Scientist	Newport Beach, CA	Elevate Technical Consulting	$90,000 - $160,000 a year	Experience with selecting and implementing data warehousing technology.Conduct Data Analysis and Reporting.Perform Data Warehousing and ETL.
21	Sr. Data Scientist, Cloud	Irvine, CA+1 location	Rivian Automotive	Estimated $125K - $158K a year	Work with battery scientists to improve state of health estimation for batteries based on field data models.Build a scalable battery fault identification using…
22	Principal Data Scientist	Newport Beach, CA 92660	Obsidian Security	Estimated $148K - $188K a year	Experience with large volumes of data, algorithms and prototyping.7+ years of experience applying statistical/ML algorithms and techniques to real world data.
23	Data Analyst, Data Products	Remote in Costa Mesa, CA	Veritone	$80,000 a year	Experience with cloud data warehouse / data lake.Experience with ETL and data cleansing.Prioritize actionable analytics and impeccable data integrity.
24	Senior Data Scientist (Remote)	Irvine, CA 92614 (San Joaquin Marsh area)	Sureprep LLC	Estimated $104K - $132K a year	The candidate’s time will be focused on research while also helping to drive required data pipelining and ML-engineering efforts.
25	Senior Data Scientist, Computer Vision	Irvine, CA 92618	Blizzard Entertainment	Estimated $147K - $186K a year	How you think data science can support game development and business.Hands-on applied or research experience developing machine learning models on large image…
26	Senior Information Technology Data Analyst	Hybrid remote in Tustin, CA 92780	The Management Trust	$80,000 - $90,000 a year	Supervise the team of data and software analysts.Helping Employee-Owners resolve help desk issues related to the main ERP application data.
27	Data Scientist (TV Analytics)	Irvine, CA	Intone Networks	Estimated $105K - $133K a year	Roles & Responsibilities: · Develop scalable data models, machine learning algorithms to facilitate data-driven decision making · This role helps in executing…
28	Lead Data Scientist (Marketing Science)	Irvine, CA 92614+1 location	Transcend Digital	Estimated $119K - $151K a year	Experience with SQL, accessing and organizing data drawn from relational database.Build innovative data science products that integrate with real-time services…
29	Vice President of Data Science	Newport Beach, CA 92660	Vital Data Technology	Estimated $118K - $150K a year	Build, motivate and mentor a team of data scientists to grow their skills and careers.Lead a team of data scientists to explore and evaluate the landscape of…
30	Sr. Data Analyst	Remote in Santa Ana, CA 92701	FutureRecruit	$42 - $45 an hour	Partner with data stewards and data owners in developing data standards for critical data elements.Expertise in data modeling and data visualization tools.
31	Cloud CSM, Specialised in Alteryx Machine Learning, Digital...	Irvine, CA	Alteryx, Inc.	None	The Cloud CSM is responsible for ensuring the success of Alteryx's Cloud Products through creating a scalable and repeatable framework for our CSMs & customers…
32	Senior Data Analyst	Remote in Newport Beach, CA 92660	Obsidian Security	Estimated $109K - $138K a year	Work in tandem with data science and data engineering teams to deploy high quality production code.You will gain exposure and expertise in various data science…
33	Machine Learning Engineer	Irvine, CA 92606 (San Joaquin Marsh area)	Spireon	Estimated $121K - $153K a year	Collect data and analyze real world data.Research and develop statistical learning models for data analysis.As a Machine Learning Engineer, you will implement…
34	Senior Human Resources Data Analyst	Long Beach, CA	California State University	$4,500 - $11,566 a month	Minimum of four years' experience as a data or research analyst with demonstrated experience in statistical research methodology, data aggregation and analysis,…
35	Machine Learning Engineer Data Analytics	Commerce, CA 90040	Commerce Casino	Estimated $114K - $145K a year	Hands on experience writing data processing and data pipeline for model development including gathering and building datasets to collect intents, joining and…
36	Sr. Data Analyst	Remote in Irvine, CA 92614	CorVel Corporation	Estimated $73.3K - $92.9K a year	3+ years of data analysis.Develops and implements data collection and modeling systems, along with other strategies that optimize statistical efficiency and…
37	Statistician	La Mirada, CA 90638	SO CAL FCA BASEBALL	Estimated $40.3K - $51.1K a year	Relationship with Jesus and desire to grow as a disciple and servant.Passionate about baseball / previous baseball experience & knowledge.
