	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Seattle, WA 98164 (Downtown area)	Opanga Networks	From $65,000 a year	Enhancing data collection procedures to include information that is relevant for building analytic systems.Processing, cleansing, and verifying the integrity…
1	Data Scientist (All Levels)	Remote in Seattle, WA 98101	Convoy	Estimated $101K - $128K a year	Proficient with statistical data analysis and modeling.You will be responsible for defining core business logic in our data warehouse, developing insights to…
2	Data Scientist	Seattle, WA	Primary Talent Partners	$55 - $58 an hour	Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn).
3	Data Scientist, Risk Data Mining	Seattle, WA+5 locations	TikTok	Estimated $109K - $138K a year	Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks.
4	Data Scientist	Redmond, WA 98052 (Rose Hill area)	PROLIM Corporation	From $90 an hour	Analyze quantitative data from experiments to draw insights on core research problems.Minimum of 3 years experience analyzing and modeling data for human…
5	Data Scientist	Remote in Seattle, WA	Twilio	Estimated $108K - $137K a year	4+ years of experience working in product/finance analytics or data science.Experience building data sets, pipelines, and models in Data warehouse.
6	Data Scientist	Redmond, WA	sourcemantra	$63,247 - $123,235 a year	Good understanding of data protection laws and have a commitment to data protection and the ethical use of data.Ability to write production-grade Python.
7	Senior Data Scientist	Bellevue, WA	Unity Technologies	Estimated $125K - $159K a year	Good communication skills to help collaboration with other data scientists and engineers.Enthusiasm about machine learning and data science.
8	Data Scientist (New in Career) (Remote or Bellevue)	Remote in Bellevue, WA	OfferUp	Estimated $105K - $133K a year	Knowledge of data structures, and algorithm development.Use Python and SQL to analyze large amounts of data.Development of data science models end to end.
9	Data Scientist	Remote in Seattle, WA	Recurrent	Estimated $120K - $152K a year	"We're looking for a ""full-stack"" data scientist who enjoys working across the spectrum from EDA to data engineering to modeling to production deployment."
10	Data Scientists	Seattle, WA	Ars Quanta	Estimated $96.3K - $122K a year	We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries…
11	Associate Data Scientist I	Bellevue, WA	UST Global	Estimated $71.6K - $90.6K a year	Develop data-driven solutions for difficult business challenges.Creates reports depicting the trends and behaviours from the analysed data.
12	Data Scientist	Seattle, WA 98101 (Downtown area)	Red Violet Inc.	Estimated $111K - $141K a year	Develop ETL systems and data pipelines to interface new data assets with our proprietary distributed data processing platform.
13	Data Scientist, Fraud	Seattle, WA 98101 (Downtown area)	Remitly	Estimated $112K - $142K a year	You will work with other data scientists, product analysts, MLEs & SDEs, along with fraud program & product managers.
14	Lead Data Scientist, Risk Data Mining	Seattle, WA+1 location	TikTok	Estimated $133K - $169K a year	Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks.
15	Science Information and Data Visualization Designer	Seattle, WA 98107 (West Woodland area)	Cognition Studio	Estimated $87.7K - $111K a year	Science and Data Visualization Designer Cognition Studio, Inc. is a consultancy/agency working with innovation leaders in life sciences, healthcare, and…
16	Data Scientist - Measurement	Seattle, WA	Foursquare	Estimated $103K - $130K a year	Strong background manipulating big data (EDA, data quality mitigation).Conduct ad-hoc data investigation and data-driven approaches for insights extraction.
17	Immunological Data Scientist	Remote in Seattle, WA	Ozette	None	Extensive experience in data analysis of high throughput and high content biological and single-cell data.Expertise using R and BioConductor for data analysis…
18	Sr. Application Data Analyst	Seattle, WA 98104 (First Hill area)	Proliance Surgeons	$60,678 - $128,355 a year	Demonstrate knowledge in the application of data management practices, logical data design, data modeling and abstraction.
19	Senior Data Scientist	Bellevue, WA	Lamda Inc	Estimated $135K - $171K a year	Experience with geospatial modeling and data.Proficient in SQL for data extraction and manipulation.Apply multi-modal Deep Learning methodologies to utilize…
20	Data Scientist	Remote in Seattle, WA	CBI Remote	Estimated $133K - $169K a year	Exposure to big data technologies.Experience working with data warehouses Eg: Redshift and other similar database systems.
21	Senior Data Analyst	Seattle, WA	Click2Cloud, Inc.	$80,000 - $100,000 a year	Analyze and collect raw data, gather trends and insights and be able to present to stakeholders.Build power apps in and visualizations as needed in Power BI.
22	Machine Learning Engineer, Risk Data Mining	Seattle, WA+14 locations	TikTok	Estimated $114K - $144K a year	Reason and communicate in result-oriented, data-driven manner.Protect TikTok users, including and beyond content consumers, creators, advertisers;
23	Senior Data Scientist - TikTok US - Tech Services	Seattle, WA	TikTok	Estimated $127K - $161K a year	Understand underlying data sources and their limitations and communicate complex data insights through exploratory analysis and research to suggest improvement.
24	Data Scientist	Seattle, WA	unybrands	Estimated $110K - $140K a year	Experience in developing Tableau applications (or equivalent business intelligence/data visualization tools), including developing reports specifically for data…
25	Junior Data Scientist Software Developer	Remote in Bellevue, WA 98004+1 location	ITTIA	Estimated $64.2K - $81.4K a year	Remote position opening: ITTIA Embedded Data Management Software https://www.ittia.com/.We're searching for developers who are fluent in C/C++/SQL and who can…
26	Staff Data Scientist, Platform - Slack	Seattle, WA	Salesforce	$150,200 a year	Experience in building advanced data pipelines and designing data scheme and table infrastructure.Prototype foundational data pipelines and partner with the…
27	Sr. Operations Research/Data Scientist - Inventory Placement	Seattle, WA+1 location	REI	$95,000 - $200,000 a year	You will have access to scalable cloud computing and data management tools.Dedicated resources on our Data Services team to acquire, plumb and optimize data…
28	Auth0 Senior Data Analyst, Web Strategy	Remote in Seattle, WA	Okta	$103,000 a year	Build data infrastructure based on existing marketing data sources.Work with multiple data sources to combine available data channels.
29	Machine Learning / Data Scientist	Kirkland, WA	Docugami	Estimated $130K - $165K a year	We strive to transform how businesses create and manage documents for greater productivity, compliance, and insight using breakthrough artificial intelligence.
30	Sr. Data Analyst	Remote in Seattle, WA	System1	Estimated $76.6K - $97K a year	Strong data visualization skills and ability to breakdown complex data sets for technical and non-technical audiences.What You Can Bring To The Team: *.
31	Senior Data Scientist at Rent-to-Own Startup	Remote in Seattle, WA 98105+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
32	Senior Data Analyst	Remote in Seattle, WA 98108	Trupanion	Estimated $89.7K - $114K a year	Extract and reconcile data from our robust data warehouse or identify and strategize new data to be collected through third party partnerships, surveys and more…
33	Utility Analyst, Senior Utility Economist, Principal Utility...	Everett, WA 98203	Snohomish County PUD	$70,617 - $165,138 a year	Gathers data and researches various issues impacting the utility industry, new energy technologies and related utility industry issues.
34	Senior Data Analyst	Bellevue, WA	Flexport	Estimated $102K - $129K a year	Experience ELT data modeling, especially with dbt (data build tool) is a plus; building analytical narratives using data visualizations (Looker is a plus).
35	Senior Data Scientist	Seattle, WA	Shelf Engine	$150,000 - $175,000 a year	Provide technical mentorship and expand training to improve data science best practices.Experience working with big data and standard tooling (e.g. Python, SQL…
36	Data Science Consultant/Analytics	Remote in Bellevue, WA	IT Expert US	Estimated $89.9K - $114K a year	Complete accountability for delivering 1-2 projects from conception to implementation.Interviewing client intelligently to learn important figures and gather…
37	Senior Data Analyst	Remote in Seattle, WA	Smartsheet	Estimated $92.8K - $118K a year	Present discoveries/insights and give recommendations to encourage data-driven decisions.Expert in SQL, experienced in using data visualization tools (ex.…
38	Data Analyst 2 – Strategic Analytics	Seattle, WA	Nordstrom	Up to $112,700 a year	A day in the life… Partner with key stakeholders on data analysis problems.2+ years of corporate experience analyzing complex data, drawing conclusions, and…
39	Senior Data Scientist	Seattle, WA	Amperity	Estimated $117K - $148K a year	Be part of an active (and fun) group of machine learning practitioners and data scientists distributed across New York and Seattle.
40	Sr Data Analyst	Hybrid remote in Seattle, WA+1 location	West Monroe	Estimated $98.5K - $125K a year	Acquire data from people data sources (ADP, Workday, Greenhouse, Culture Amp, etc) and maintain databases/data systems and audit data for accuracy.
41	Data Scientist II	Seattle, WA 98101 (Downtown area)	Ekata	Estimated $78.5K - $99.3K a year	Proactively nurture & maintain one-on-one relationships with customer data scientists, with the aim of providing deep insights for development of fraud models.
42	Machine Learning Scientist	Bellevue, WA	Flexport	Estimated $109K - $138K a year	Perform requirements gathering and data analysis.Experience working with large data sets.Develop prototype data analysis/machine learning pipelines…
43	Principal Data Scientist	Seattle, WA 98109 (Westlake area)	Wheels Up	Estimated $147K - $186K a year	5+ years of experience in statistical modelling, data mining and insights generation.Superb database querying and data mining skills in SQL, SAS, Python, R.
44	Data Scientist	Redmond, WA 98052	Exsilio	Estimated $85.2K - $108K a year	Perform data mining on large sets of data for various industries.Analyzing potential data patterns to help create effective solutions.
45	Data Scientist	Seattle, WA	frog	Estimated $122K - $154K a year	The scientist leads efforts to identify and analyze current models, patterns and trends within our client's data.Graduate degree in a S.T.E.
46	Lead Data Scientist	Bellevue, WA	Tech Intellectuals	Up to $200,000 a year	Desirable - Experience in working as data scientist on any of BFSI related Critical use cases.Knowledge on Feature Engineering, Exploratory data analysis, Data…
47	Senior Data/ML Engineer	Seattle, WA	Acquco	Estimated $122K - $155K a year	Expertise with modern cloud data platforms (e.g. data warehouses, data lakes, cloud compute, in AWS or Azure).Experience with CI/CD workflows.
48	Data Analyst	Remote in Seattle, WA	Pacvue	Estimated $77K - $97.4K a year	Have good understanding of data warehouse and business intelligence.Use graphs, infographics and other methods to visualize data.
49	Senior Data Scientist/Machine Learning Engineer	Seattle, WA+2 locations	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
50	Senior Data Scientist	Bothell, WA 98021	Seagen	Estimated $131K - $165K a year	Extract data from various data sources; perform exploratory data analysis, cleanse, massage, and aggregate data.
51	Senior Data Analyst	Seattle, WA 98101 (Downtown area)	Vera Whole Health	None	Collaborate with internal resources to gather, curate and build data sets needed to successfully execute our data analysis.
52	Natural Language Processing Engineer II	Remote in Seattle, WA 98104	Textio	Estimated $111K - $141K a year	Our category-defining augmented writing products offer real-time language guidance to help our users consistently communicate inclusively and effectively.
53	Sr. Scientist, Data Science	Seattle, WA 98109 (South Lake Union area)	Evotec	Estimated $125K - $159K a year	Work with data engineers to develop pipelines that integrate data from various scientific and laboratory sources into databases and related data management…
54	Modulus Therapeutics - Head of Machine Learning	Remote in Seattle, WA 98103+1 location	The Allen Institute for AI	Estimated $70.1K - $88.7K a year	Select and implement deep learning architectures to develop models for mapping high-dimensional molecular data to low-dimensional functional data.
55	Senior Data Scientist/Machine Learning Engineer	Seattle, WA+1 location	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
56	Senior Data Scientist	Bothell, WA 98021	Seagen	Estimated $131K - $165K a year	Extract data from various data sources; perform exploratory data analysis, cleanse, massage, and aggregate data.Put your passion to work at Seagen and join us!
57	Lead Data Scientist	Seattle, WA	Amperity	Estimated $121K - $154K a year	The data science team at Amperity is a close-knit community of engineers and data scientists that move quickly and motivate each other to think independently,…
58	Senior Data Analyst	Seattle, WA 98101 (Downtown area)	Vera Whole Health	None	Collaborate with internal resources to gather, curate and build data sets needed to successfully execute our data analysis.Transforming healthcare isn’t easy.
59	Natural Language Processing Engineer II	Remote in Seattle, WA 98104	Textio	Estimated $111K - $141K a year	Have been a major technical contributor on projects where experimentation and data are core to development, from inception to shipping and beyond.
60	Product Manager III – Data & Technology (Brain Science)	Temporarily Remote in Seattle, WA 98109	Allen Institute	Estimated $119K - $150K a year	Track record of using qualitative and quantitative data to prioritize and drive decision-making.Strong analytical and synthesis including the ability to absorb…
61	Front End Software Engineer - Data Science Squad	Remote in Seattle, WA	98point6	Estimated $94.6K - $120K a year	Work with engineers and research scientists to make tradeoffs between frontend and backend complexity.The data science team applies machine learning to improve…
62	Machine Learning Engineer	Seattle, WA	Yellow Jacket	$90 - $110 an hour	Fast learner and experience with other common big data open source.Working with data pipelines and experience with Spark and Flink.Technologies is a big plus.
63	Applied Scientist, Autonomous Mobility	Seattle, WA	Amazon.com Services LLC	$142,800 - $184,000 a year	We are seeking an experienced Applied Scientist to join our team of motion planning scientists and engineers.PhD (OR Master's Degree plus 10+ years of industry…
64	Process Engineering Scientist-Data Management	Seattle, WA 98109 (South Lake Union area)	Eclaro	$79 - $85 an hour	Collaborate with data managers and engineers to specify data models and data API endpoints to enable development of R Shiny applications that facilitate non…
65	Data Science & Analytics Sourcing Recruiter	Seattle, WA+2 locations	Amazon.com Services LLC	$69,500 - $121,600 a year	They are the subject matter expert for the analytics job families such as Business Intelligence Engineers and Data Engineers, influencing direction of external…
66	Machine Learning Engineer	Remote in Seattle, WA	Komodo Health	Estimated $124K - $157K a year	Experience with large-scale data and computational technologies (e.g. Spark, Snowflake).Advanced our model creation process through improving creation of…
67	Staff Machine Learning Engineer, Commit Data Science	Seattle, WA+2 locations	Outreach	Estimated $153K - $193K a year	And as a MLE in the team, you will design and implement robust and scalable data / ML infrastructure, and work closely with data scientists to ship ML…
68	Data Scientist	Seattle, WA	Experfy Inc	Estimated $89.5K - $113K a year	Acquire and pre-process HLS data.Generate HLS NDVI time series to identify peak greenness from cloud-masked data.
69	Machine Learning Scientist	Bellevue, WA+1 location	Flexport	Estimated $109K - $138K a year	Perform requirements gathering and data analysis.Experience working with large data sets.Develop prototype data analysis/machine learning pipelines…
70	Senior Scientist, Machine Learning	Hybrid remote in Seattle, WA	Niantic	Estimated $153K - $194K a year	Collaborate with data engineers, product managers, and marketing to coordinate timely deployments from conception to release.
71	Data Science Manager, Lenses	Seattle, WA+1 location	Snapchat	Estimated $127K - $160K a year	Expertise in the data workflow and pipeline and lead a team responsible for data capture, measurement, and optimization capability management.
72	Scientist I - Applied Statistics and Machine Learning - Neur...	Temporarily Remote in Seattle, WA 98109	Allen Institute	Estimated $102K - $129K a year	We seek a computational scientist experienced with modern applied statistics and machine learning to model peta-scale, multimodal neuroscientific data collected…
