	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Tampa, FL	Gridiron IT	Up to $170,000 a year	The data scientist is expected to participate in the design, development, and implementation of novel analytics to address a variety of customer problem sets.
1	Data Scientist	Remote in Tampa, FL	3GIMBALS	$77,000 - $147,500 a year	Maintain knowledge of emerging data science and data management trends.Develop data scraping scripts to pull open-source data automatically.
2	Data Scientist	Remote in Tampa, FL	Florida Cancer Specialists & Research Institute	Estimated $96.9K - $123K a year	Understanding of clinical data and data quality needs in ambulatory oncology setting.Technical competencies within data modeler, SQL to create/maintain DB…
3	Sr. Data Scientist	Tampa, FL 33621 (MacDill AFB Area area)	Insight Global	Up to $160,000 a year	This Senior Data Engineer will play a vital role collaborating as part of this cross-functional Agile team to create and enhance data ingestion pipelines and…
4	Associate Data Scientist	Tampa, FL	Incedo	$60,000 - $80,000 a year	 Ability to articulate problem statements to formulate data science or analytics approaches. Good working knowledge of common data science toolkits, such as…
5	Data Scientist	Tampa, FL	Agensys Corporation	$150,000 - $185,000 a year	The data scientist is expected to participate in the design, development, and implementation of novel analytics to address a variety of customer problem sets.
6	Data Scientist	Clearwater, FL 33764	Certegy Payment Solutions, LLC	Estimated $89.7K - $114K a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
7	Data Scientist	Tampa, FL 33602 (Downtown area)	Elutions	Estimated $79.7K - $101K a year	Perform exploratory data analysis and statistical modelling with high quality data handling techniques.Ability to work with unstructured data.
8	Data Scientist	Remote in Tampa, FL	Circle	Estimated $105K - $133K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
9	Senior Data Analyst	Remote in Florida	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
10	Data Scientist - REMOTE Role in Tampa, FL	Remote in Tampa, FL 33629	RxLive	Estimated $115K - $146K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
11	Data Scientist I	Tampa, FL 33621 (MacDill AFB area)	Knowesis, Inc.	Estimated $62K - $78.6K a year	Enter and analyze data within government systems.Experience with data visualization applications is preferred.
12	Data Scientist	Tampa, FL+1 location	Spathe Systems	Estimated $108K - $137K a year	A data scientist will have skills sets of both data analysts and data engineers.Manage and integrate data across dissimilar data sets.
13	Senior Data Scientist	Oldsmar, FL	Humanity	Estimated $108K - $136K a year	Take analytical objectives and define data requirements.Interpret, document, and present/communicate analytical results to multiple business disciplines,…
14	1007-56 FLSOCO Data Scientist Mid-Level	Tampa, FL+3 locations	Global InfoTek, Inc.	Estimated $102K - $130K a year	Position Description: *A data scientist will have skills sets of both data analysts and data engineers.Manage and integrate data across dissimilar data sets.
15	Data Analyst	Tampa, FL 33607 (Tampa International Airport area)	Trellance	Estimated $90.5K - $115K a year	Responsible for source to target data mapping specification creation and maintenance (i.e. data lineage).Serve as liaison between IT and the business to lead…
16	Senior Data Analyst	Tampa, FL 33607	Slide	Estimated $80.3K - $102K a year	Identify and then perform needed data cleansing and data enrichment work on company data.Define, source, and manage ETL of relevant data for use in strategic…
17	Data Scientist	Tampa, FL 33621 (MacDill AFB area)	Occam Solutions	Estimated $108K - $136K a year	Experience with data wrangling techniques to cleanse data for data science applications.Experience with data lakes, data warehouses, and/or data lake houses.
18	Data Scientist	Tampa, FL 33602 (Downtown area)	Calhoun International, LLC	Estimated $93.4K - $118K a year	Ability to identify data and information requirements and sources, and execute data collection efforts, and identify data processing business rules from…
19	Sr. Data Analyst	Tampa, FL 33607	sticky.IO, Inc.	Estimated $85.5K - $108K a year	The ideal candidate loves working with large amounts of data, can spot that data needle in a haystack, and enjoys seeing how data insights can help a business…
20	Operations Research Analyst/ Data Scientist (OR/SA) Journeym...	Tampa, FL 33621 (MacDill AFB area)	Prescient Edge Federal	Estimated $83.7K - $106K a year	Verify and validate data for accuracy to ensure precise analysis results and apply a wide range of analytical data-mining techniques to produce accurate data…
21	Machine Learning Engineer	Tampa, FL	Dogwood Management Partners	$190,000 - $240,000 a year	Data pipelines: 1 year (Preferred).Machine learning / data science: 2 years (Preferred).The team’s mission is focused on task automation, data analytics, deep…
22	Statistical Data Analyst	Tampa, FL 33620 (Terrace Park area)	University of South Florida	$52,000 - $55,000 a year	Manages datasets and ensures data quality (data cleaning); combines, organized and cleans data collected from the field.
23	Senior Data Scientist at Rent-to-Own Startup	Remote in Clearwater, FL 33759+5 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
