	Title	Location	Company	Salary	Synopsis
0	Applied Mathematician - Reliability	Remote in Tucson, AZ	Hottinger, Bruel & Kjaer	Estimated $95.7K - $121K a year	This job will provide you with an opportunity to further your career alongside some of the best and most passionate technology experts from around the world…
1	Senior Evaluation Associate/Data Analyst	Hybrid remote in Tucson, AZ 85745	LeCroy & Milligan Associates, Inc.	$50,000 - $85,000 a year	Join our growing team! LeCroy & Milligan Associates, Inc. invites applications for a Senior Evaluation Associate/Data Analyst. As a member of a multi…
2	Senior Data Scientist at Rent-to-Own Startup	Remote in Tucson, AZ 85704	Recruiting From Scratch	$120,000 - $190,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
3	Data Scientist	Tucson, AZ	Areté	Estimated $97.9K - $124K a year	Areté, an employee-owned company, is a growing research and development firm entrusted by the US military to provide innovative solutions to their hardest…
4	Senior Research and Data Analyst (Data Scientist) (Oro Valle...	Oro Valley, AZ 85737	University of Arizona	$62,038 - $75,000 a year	SENIOR RESEARCH AND DATA ANALYST (DATA SCIENTIST) (ORO VALLEY, AZ) Posting Number req9292 Department Vet Med Administration Department Website Link https:/…
5	Head of Machine Learning - Document Analysis and NLP	Remote in Tucson, AZ 85704+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
6	Data Scientist, CyVerse	Tucson, AZ+1 location	University of Arizona	$55,000 - $75,000 a year	DATA SCIENTIST, CYVERSE Posting Number req8763 Department BIO5 Institute Department Website Link https://bio5.org/ Location Main Campus Address Tucson, AZ USA…
7	Data Plane Engineer	Remote in Tucson, AZ 85704	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
8	NLP Engineer at Speech to Text Start Up	Remote in Tucson, AZ 85704	Recruiting From Scratch	Estimated $121K - $154K a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
9	Jr. Artificial Intelligence/Machine Learning Engineer	Tucson, AZ 85711 (Rosemont West area)+1 location	Rincon Research Corp	Estimated $121K - $154K a year	Why Join Rincon Research Corporation (RRC)? At Rincon Research Corporation, our primary business is innovating, developing, and fielding digital signal…
10	Principal ML & NLP Engineer	Remote in Tucson, AZ 85704	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
11	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Responsibilities NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a…
12	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Your Job As a Senior Data Scientist embedded in the International Team team, you will be tasked with building machine learning solutions to help improve the…
13	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	Your Job We are seeking a Director of Data Science in the Small Medium Business (SMB) Labs group. In this role, you will lead teams of machine learning…
14	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	Job ID: 2207014-US-United_States Location: , , US Date Posted: 2022-05-06 Category: Information Technology Subcategory: Big Data Engineer Schedule: Full…
15	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
16	Senior Evaluation Associate/Data Analyst	Hybrid remote in Tucson, AZ 85745	LeCroy & Milligan Associates, Inc.	$50,000 - $85,000 a year	Demonstrated experience in analysis of quantitative data.Analyzing and interpreting quantitative data with varying degrees of complexity.
17	Data Scientist	Tucson, AZ	Areté	Estimated $97.9K - $124K a year	Mathematical ability and experience with physical data;Train deep neural network (DNN) and feature-based algorithms for classification and regression on…
18	Senior Data Scientist at Rent-to-Own Startup	Remote in Tucson, AZ 85704	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
19	Data Scientist, CyVerse	Tucson, AZ+1 location	University of Arizona	$55,000 - $75,000 a year	In computer science, information technology, or a data-intensive science with a demonstrated track record working with scientists.
20	Senior Research and Data Analyst (Data Scientist) (Oro Valle...	Oro Valley, AZ 85737	University of Arizona	$62,038 - $75,000 a year	In addition, the analyst will be responsible for managing a large longitudinal dataset by combining data from multiple data sources.
21	Head of Machine Learning - Document Analysis and NLP	Remote in Tucson, AZ 85704+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
22	Jr. Artificial Intelligence/Machine Learning Engineer	Tucson, AZ 85711 (Rosemont West area)+1 location	Rincon Research Corp	Estimated $121K - $154K a year	5 or more years of experience with exploratory data analysis of satellite imagery, Radio Frequency (RF), or other large time-varying scientific datasets.
23	Data Plane Engineer	Remote in Tucson, AZ 85704	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
24	NLP Engineer at Speech to Text Start Up	Remote in Tucson, AZ 85704	Recruiting From Scratch	Estimated $121K - $154K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
25	Principal ML & NLP Engineer	Remote in Tucson, AZ 85704	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
26	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
27	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
28	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
29	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
30	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
31	Applied Mathematician - Reliability	Remote in Tucson, AZ	Hottinger, Bruel & Kjaer	Estimated $95.7K - $121K a year	Work with computer scientists in incorporating math routines into reliability software.Consult with clients and conduct reliability analyses and predictions…
32	Data Science Manager - Metadata	Remote in Arizona	Indeed	$198,000 - $288,000 a year	Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring.Provide project direction and feedback.
33	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
34	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
35	(Pre Market Quality) Product Quality Lead: Process and Data...	Remote in Tucson, AZ	Roche	$121,000 - $144,000 a year	Collaborate with stakeholders to drive actions on the data.Collaborate with process owners to drive improvements in the quality of the data collected as well…
36	Senior Data Scientist/Machine Learning Engineer	Remote in Tucson, AZ 85704+4 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
