	Title	Location	Company	Salary	Synopsis
0	Data Scientist Associate	Tulsa, OK 74171+1 location	Oral Roberts University	Estimated $68.8K - $87.2K a year	The Associate will employ techniques such as data mining, statistical analysis, data modeling, machine learning, data analytics, forecasting, and integration of…
1	ADAS Software Engineer, Machine Learning	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $100K - $127K a year	The engineer develops software for data collection, data compression, data uploading/downloading using cloud and on-prem servers.
2	Director, ADAS Algorithms and R&D	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $98.8K - $125K a year	The Director will develop ADAS future strategies, roadmaps, and execution plans for Canoo.Lead and mentor the following teams: algorithm development team,…
3	Kubernetes and Docker Cloud Developer	Remote in Tulsa, OK	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
4	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
5	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
6	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
7	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
8	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
9	Battery Scientist	Tulsa, OK 74103 (Downtown area)	Ten-Nine Technologies	$80,000 - $90,000 a year	Experience with data management and automation.The Battery Scientist will assist in the creation of novel battery systems in both the single-use and…
10	Senior Full Stack Software Engineer (Enterprise)	Remote in Oklahoma	Indeed	$143,000 - $207,000 a year	Our platform integrates with all teams across Indeed and requires highly technical, innovative, flexible thinkers with excellent communication and passion for…
11	Food Scientist	Tulsa, OK 74104 (Kendall - Tennants area)	The Bama Companies	Estimated $52K - $65.8K a year	Manage Consumer Insights data and translate to business recommendations in support of effective customer and product strategies.
12	Data Analyst	Tulsa, OK 74103	Asemio	Estimated $75.8K - $96K a year	Strong data analysis and interpretation skills.Proficiency in data analysis programming languages.Experience in operational data analysis is a plus.
13	Chemist Job	Tulsa, OK	Arkema	Estimated $58.1K - $73.5K a year	Ensure all data and records are properly maintained.Create and Maintain Standard Lab Operating and plant quality control procedures to ensure manufacture of…
14	Project Manager	Tulsa, OK 74103	Asemio	Estimated $75.6K - $95.8K a year	You will oversee and manage projects to ensure they progress through the defined project scope according to an established schedule and remain within budget.
15	Food Scientist / Sr. Food Scientist	Oklahoma	CPS, Inc. (Food & Beverage Division)	Estimated $70.1K - $88.7K a year	Ability to quickly learn and master new technologiesExcellent follow-up skills, demonstrated experience in problem solving and achieving Win/Win…
16	Splunk Engineer/Architect-Tulsa, OK	Remote in Tulsa, OK 74103	iSenpai	None	This role requires the ability to design, architect and implement Splunk solutions in support of cybersecurity and IT operations analysts and data scientists.
17	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
18	Staff Product Scientist - AI Ethics	United States	Indeed	$164,000 - $239,000 a year	7+ years of professional industry experience in product analytics/data analysis.The Staff Product Scientist will help define and lead the way algorithmic…
19	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.
20	Data Scientist Associate	Tulsa, OK 74171+1 location	Oral Roberts University	Estimated $68.8K - $87.2K a year	ABOUT US Oral Roberts University is a non-profit organization whose staff and faculty actually make a difference in the lives of its students. We pride…
21	ADAS Software Engineer, Machine Learning	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $100K - $127K a year	About Canoo: About Canoo Canoo’s mission is to bring EVs to Everyone and build a world-class team to deploy this sustainable mobility revolution. We have…
22	Director, ADAS Algorithms and R&D	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $98.8K - $125K a year	About Canoo: About Canoo Canoo’s mission is to bring EVs to Everyone and build a world-class team to deploy this sustainable mobility revolution. We have…
23	Kubernetes and Docker Cloud Developer	Remote in Tulsa, OK	Frontier Technology Inc.	Estimated $103K - $130K a year	Overview: FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD customers. This position requires a…
24	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Responsibilities NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a…
25	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Your Job Delivery Insights provides development life cycle analytics for teams across Indeed. Our internally-facing products produce and visualize data that…
26	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	Good Parents is an innovative startup headquartered out of San Francisco, developing health monitoring and connected care platforms for pediatrics. Kiddo is…
27	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Your Job We’re looking for a senior leader to lead data and product science for the global platform that will personalize Indeed for job seekers and…
28	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Your Job About the Role The Job Seeker Data Science group is excited to hire a Data Science Manager to help lead our Ranking and Personalization Science…
29	Director, ADAS Algorithms and R&D	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $94.2K - $119K a year	About Canoo: About Canoo Canoo’s mission is to bring EVs to Everyone and build a world-class team to deploy this sustainable mobility revolution. We have…
30	Director, ADAS Algorithms and R&D	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $94.2K - $119K a year	Canoo’s mission is to bring EVs to Everyone and build a world-class team to deploy this sustainable mobility revolution.What's Cool About Working Here...:
31	Kubernetes and Docker Cloud Developer	Remote in Tulsa, OK	Frontier Technology Inc.	Estimated $103K - $130K a year	Experience working with data stores/databases.Candidates must be able to work both independently and together with scientists and other software engineers in…
32	Director, ADAS Algorithms and R&D	Remote in Tulsa, OK	Canoo Technologies Inc.	Estimated $94.2K - $119K a year	The Director will develop ADAS future strategies, roadmaps, and execution plans for Canoo.Lead and mentor the following teams: algorithm development team,…
